=> CSV Dump from EGI accounting portal for the period 7/2014 to 7/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,45630412.1905,,,45630412.1905
CH-CERN,29954284.0000,21193208.0000,10077244.0000,10967156.0000,72191892
DE-KIT,17515237.3781,24246031.3196,12665621.5923,7313073.2742,61739963.5642
ES-PIC,,11256614.9715,4318037.3383,4826004.9188,20400657.2286
FR-CCIN2P3,9966112.0000,24671204.0000,13064656.0000,15844108.0000,63546080
IT-INFN-CNAF,16481652.0000,27599336.0000,19373140.0000,18614916.0000,82069044
KR-KISTI-GSDC,9760054.1197,,,,9760054.1197
NDGF,9475408.0000,11023548.0000,,,20498956
NL-T1,11273812.0081,42177065.5331,,12880506.2875,66331383.8287
NRC-KI-T1,4777844.1377,4776570.1678,,10803832.3858,20358246.6913
RU-JINR-T1,,,6774442.5750,,6774442.575
TW-ASGC,,19723585.6758,49583.0470,,19773168.7228
UK-T1-RAL,2967440.3189,37828896.0013,17882888.3723,13585036.7362,72264261.4287
US-FNAL-CMS,,,65556888.0000,,65556888
US-T1-BNL,,75018824.0000,0.0000,,75018824
Total,112171843.9625,345145295.8596,149762500.9249,94834633.6025,701914274.3495
