=> CSV Dump from EGI accounting portal for the period 8/2015 to 8/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,44472606.2471,,,44472606.2471
CH-CERN,99501650.3500,74720445.1789,21737959.1450,13770834.6039,209730889.2778
DE-KIT,28683532.7218,39862560.8895,17684748.0063,12150830.9658,98381672.5834
ES-PIC,,14141377.6110,5230968.3333,5884026.0194,25256371.9637
FR-CCIN2P3,8647640.3184,38163509.4571,5897909.5153,27050762.0672,79759821.358
IT-INFN-CNAF,17103540.0859,31220709.6074,10213489.2042,21963529.0623,80501267.9598
KR-KISTI-GSDC,15085651.3845,,,,15085651.3845
NDGF,10315273.1240,17424478.9034,,,27739752.0274
NL-T1,18335392.3645,22756438.8994,,14160178.7486,55252010.0125
NRC-KI-T1,26312169.5622,24161419.0542,,10897610.3596,61371198.976
RU-JINR-T1,,,7694371.5148,,7694371.5148
TW-ASGC,,15922238.9289,,,15922238.9289
UK-T1-RAL,17071289.1485,54398396.3203,5128324.8617,9269365.5879,85867375.9184
US-FNAL-CMS,,5536.3911,40711377.2392,,40716913.6303
US-T1-BNL,,79316198.8038,0.0000,,79316198.8038
Total,241056139.0598,456565916.2921,114299147.8198,115147137.4147,927068340.5864
