CSV Dump from EGI accounting portal for the period 8/2015 to 8/2015
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2015 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,6901777.4121,0,0,6901777.4121
,,42800,31843200,Total,0,6901777.4121,0,0,6901777.4121,21.674258278377
,,,,WallClock,,477550.7791,,,477550.7791
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,192313.8083,0,0,192313.8083
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,1322574.3481,0,1322574.3481
,,27428,20406432,Total,0,192313.8083,1322574.3481,0,1514888.1564,7.4235817236448
,,,,WallClock,,30929.4378,148492.1972,,179421.635
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,3661235.9572,0,3661235.9572
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,719316.2367,0,719316.2367
,,92400,68745600,Total,0,0,4380552.1939,0,4380552.1939,6.3721200977226
,,,,WallClock,,,779909.1956,,779909.1956
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,3647697.2258,0,3647697.2258
,,60000,44640000,Total,0,0,3647697.2258,0,3647697.2258,8.1713647531362
,,,,WallClock,,,440610.3247,,440610.3247
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,5540559.0777,0,0,5540559.0777
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,7798028.9905,0,0,7798028.9905
,,53000,39432000,Total,0,13338588.0682,0,0,13338588.0682,33.826810885068
,,,,WallClock,,775559.1659,,,775559.1659
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,11653614.3665,0,0,11653614.3665
Canada,CA-WEST-T2,,,SFU-LCG2,0,4641138.5529,0,0,4641138.5529
,,53000,39432000,Total,0,16294752.9194,0,0,16294752.9194,41.323678533678
,,,,WallClock,,1243849.0216,,,1243849.0216
China,CN-IHEP,,,BEIJING-LCG2,0,5535072.1938,2104006.3642,0,7639078.558
,,46240,34402560,Total,0,5535072.1938,2104006.3642,0,7639078.558,22.204971252139
,,,,WallClock,,468217.8603,240534.9403,,708752.8006
Czech Republic,CZ-Prague-T2,,,praguelcg2,4683372.9687,11419361.1960,0,0,16102734.1647
,,66000,49104000,Total,4683372.9687,11419361.196,0,0,16102734.1647,32.793121058773
,,,,WallClock,2258738.3281,1933222.5816,,,4191960.9097
Estonia,EE-NICPB,,,T2_Estonia,0,0,540742.2828,0,540742.2828
,,180000,133920000,Total,0,0,540742.2828,0,540742.2828,0.4037800797491
,,,,WallClock,,,124477.1055,,124477.1055
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,1665123.4752,0,1665123.4752
,,32000,23808000,Total,0,0,1665123.4752,0,1665123.4752,6.9939662096774
,,,,WallClock,,,262869.2503,,262869.2503
France,FR-GRIF,,,GRIF,20009110.7959,32232169.2453,9330910.2421,682097.2356,62254287.5189
,,174236,129631584,Total,20009110.7959,32232169.2453,9330910.2421,682097.2356,62254287.5189,48.024012048561
,,,,WallClock,2103789.2401,2204415.2039,1121951.7511,69031.6122,5499187.8073
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,5194159.3029,2794000.1521,0,7988159.455
,,69600,51782400,Total,0,5194159.3029,2794000.1521,0,7988159.455,15.426398650893
,,,,WallClock,,530782.1625,428075.2279,,958857.3904
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,7498777.8946,0,2842353.2706,10341131.1652
,,24056,17897664,Total,0,7498777.8946,0,2842353.2706,10341131.1652,57.779222837126
,,,,WallClock,,638476.4671,,263514.9516,901991.4187
France,FR-IN2P3-IPHC,,,IN2P3-IRES,5098378.6459,0,3126890.5086,0,8225269.1545
,,60000,44640000,Total,5098378.6459,0,3126890.5086,0,8225269.1545,18.425782156138
,,,,WallClock,439885.7564,,326062.6964,,765948.4528
France,FR-IN2P3-LAPP,,,IN2P3-LAPP,0,6529125.8391,0,2010441.6192,8539567.4583
,,60000,44640000,Total,0,6529125.8391,0,2010441.6192,8539567.4583,19.129855417339
,,,,WallClock,,389426.6318,,183750.9198,573177.5516
France,FR-IN2P3-LPC,,,IN2P3-LPC,5904836.1373,6124467.1604,0,3379460.2262,15408763.5239
,,59200,44044800,Total,5904836.1373,6124467.1604,0,3379460.2262,15408763.5239,34.984296724926
,,,,WallClock,534617.7481,431651.9603,,279642.489,1245912.1974
France,FR-IN2P3-LPSC,,,IN2P3-LPSC,2049510.7900,4914811.9831,0,0,6964322.7731
,,36712,27313728,Total,2049510.79,4914811.9831,0,0,6964322.7731,25.497518219044
,,,,WallClock,194777.9488,314642.2635,,,509420.2123
France,FR-IN2P3-SUBATECH,,,IN2P3-SUBATECH,2989323.5927,0,0,0,2989323.5927
,,12000,8928000,Total,2989323.5927,0,0,0,2989323.5927,33.482567122536
,,,,WallClock,358313.5947,,,,358313.5947
Germany,DE-DESY-ATLAS-T2,,,DESY-HH,0,30664716.9342,0,0,30664716.9342
Germany,DE-DESY-ATLAS-T2,,,DESY-ZN,0,12435174.1162,0,0,12435174.1162
,,82800,61603200,Total,0,43099891.0504,0,0,43099891.0504,69.963721122279
,,,,WallClock,,2467135.7583,,,2467135.7583
Germany,DE-DESY-GOE-ATLAS-T2,,,GoeGrid,0,9318751.8483,0,0,9318751.8483
,,19440,14463360,Total,0,9318751.8483,0,0,9318751.8483,64.430062228279
,,,,WallClock,,792522.1949,,,792522.1949
Germany,DE-DESY-LHCB,,,DESY-ZN,0,0,0,179220.3333,179220.3333
,,13600,10118400,Total,0,0,0,179220.3333,179220.3333,1.7712319467505
,,,,WallClock,,,,11961.4095,11961.4095
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-HH,0,0,23036783.1716,0,23036783.1716
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-ZN,0,0,0,0,0
Germany,DE-DESY-RWTH-CMS-T2,,,RWTH-Aachen,0,0,5730057.8274,0,5730057.8274
,,145652,108365088,Total,0,0,28766840.999,0,28766840.999,26.54622584628
,,,,WallClock,,,2593555.1822,,2593555.1822
Germany,DE-FREIBURGWUPPERTAL,,,UNI-FREIBURG,0,8592248.4260,0,0,8592248.426
Germany,DE-FREIBURGWUPPERTAL,,,wuppertalprod,0,6831557.3750,0,0,6831557.375
,,38880,28926720,Total,0,15423805.801,0,0,15423805.801,53.320272056424
,,,,WallClock,,1079157.3104,,,1079157.3104
Germany,DE-GSI,,,GSI-LCG2,0,0,0,0,0
,,53600,39878400,Total,0,0,0,0,0
,,,,WallClock,,,,,
Germany,DE-MCAT,,,LRZ-LMU,0,25104156.2341,0,0,25104156.2341
Germany,DE-MCAT,,,MPPMU,0,5166660.6133,0,0,5166660.6133
,,54772,40750368,Total,0,30270816.8474,0,0,30270816.8474,74.283542291937
,,,,WallClock,,1276976.7645,,,1276976.7645
Greece,GR-GRIDLAB-KAVALA,,,GR-12-TEIKAV,0,1124308.3675,0,0,1124308.3675
,,5488,4083072,Total,0,1124308.3675,0,0,1124308.3675,27.535844763453
,,,,WallClock,,158753.665,,,158753.665
Greece,GR-Ioannina-HEP,,,GR-07-UOI-HEPLAB,0,0,349807.4000,0,349807.4
,,7480,5565120,Total,0,0,349807.4,0,349807.4,6.2857117187051
,,,,WallClock,,,63522.3459,,63522.3459
Hungary,HU-HGCC-T2,,,BUDAPEST,4224767.1466,0,1755748.7338,0,5980515.8804
,,25600,19046400,Total,4224767.1466,0,1755748.7338,0,5980515.8804,31.399717954049
,,,,WallClock,523689.6463,,302674.5877,,826364.234
India,IN-DAE-KOLKATA-TIER2,,,IN-DAE-VECC-02,3952224.4242,0,0,0,3952224.4242
,,60000,44640000,Total,3952224.4242,0,0,0,3952224.4242,8.8535493373656
,,,,WallClock,463758.9645,,,,463758.9645
India,IN-INDIACMS-TIFR,,,INDIACMS-TIFR,0,0,351623.1103,0,351623.1103
,,24600,18302400,Total,0,0,351623.1103,0,351623.1103,1.9211858024084
,,,,WallClock,,,57027.8879,,57027.8879
Israel,IL-HEPTier-2,,,IL-TAU-HEP,0,3419724.5127,0,0,3419724.5127
Israel,IL-HEPTier-2,,,TECHNION-HEP,0,3300938.6850,0,0,3300938.685
Israel,IL-HEPTier-2,,,WEIZMANN-LCG2,0,4602382.4492,0,0,4602382.4492
,,28000,20832000,Total,0,11323045.6469,0,0,11323045.6469,54.354097767377
,,,,WallClock,,910885.0606,,,910885.0606
Italy,IT-INFN-T2,,,INFN-BARI,5405462.4891,0,2357194.6721,36.2614,7762693.4226
Italy,IT-INFN-T2,,,INFN-CATANIA,12640312.0903,0,0,121238.6400,12761550.7303
Italy,IT-INFN-T2,,,INFN-CNAF-LHCB,0,0,0,1443025.1472,1443025.1472
Italy,IT-INFN-T2,,,INFN-FRASCATI,0,12437347.3579,0,141699.0197,12579046.3776
Italy,IT-INFN-T2,,,INFN-LNL-2,11933261.5148,0,8412839.2837,620603.2784,20966704.0769
Italy,IT-INFN-T2,,,INFN-MILANO-ATLASC,0,8613888.4382,0,0,8613888.4382
Italy,IT-INFN-T2,,,INFN-NAPOLI-ATLAS,0,14131770.2688,0,92110.6930,14223880.9618
Italy,IT-INFN-T2,,,INFN-PISA,0,0.0028,8758151.1552,106.3222,8758257.4802
Italy,IT-INFN-T2,,,INFN-ROMA1,0,7648883.7834,0,0,7648883.7834
Italy,IT-INFN-T2,,,INFN-ROMA1-CMS,0,0,5093393.2617,0,5093393.2617
Italy,IT-INFN-T2,,,INFN-TORINO,1001410.1167,0,0,0.0000,1001410.1167
,,633100,471026400,Total,30980446.2109,42831889.8511,24621578.3727,2418819.3619,100852733.7966,21.411269898375
,,,,WallClock,3995300.9274,3214917.6073,3255562.7013,246810.6241,10712591.8601
Japan,JP-Tokyo-ATLAS-T2,,,TOKYO-LCG2,0,25670988.8793,0,0,25670988.8793
,,96000,71424000,Total,0,25670988.8793,0,0,25670988.8793,35.941684698841
,,,,WallClock,,798951.1695,,,798951.1695
Latin America,T2-LATINAMERICA,,,CBPF,0,0,0,844119.7964,844119.7964
Latin America,T2-LATINAMERICA,,,EELA-UTFSM,0,874171.7833,0,0,874171.7833
Latin America,T2-LATINAMERICA,,,ICN-UNAM,1884171.5028,0,0,0,1884171.5028
Latin America,T2-LATINAMERICA,,,SAMPA,10750249.3353,0,0,234922.8339,10985172.1692
Latin America,T2-LATINAMERICA,,,UERJ,0,0,152908.6256,0,152908.6256
,,158936,118248384,Total,12634420.8381,874171.7833,152908.6256,1079042.6303,14740543.8773,12.465746574008
,,,,WallClock,1122760.8449,85352.9875,30040.3295,122594.269,1360748.4309
Malaysia,MY-T2-UM,,,T2-MY-UMSIFIR,0,0,0,0,0
,,120000,89280000,Total,0,0,0,0,0
,,,,WallClock,,,,,
Mexico,T2_UNAM,,,SUPERCOMPUTO-UNAM,4788116.7639,0,0,0,4788116.7639
,,19600,14582400,Total,4788116.7639,0,0,0,4788116.7639,32.834902100477
,,,,WallClock,596877.2517,,,,596877.2517
Pakistan,PK-CIIT-ALICE,,,PK-CIIT,544058.8834,0,0,0,544058.8834
,,8000,5952000,Total,544058.8834,0,0,0,544058.8834,9.140774250672
,,,,WallClock,,,,,
Pakistan,PK-CMS-T2,,,NCP-LCG2,0,0,31876.5995,0,31876.5995
