=> CSV Dump from EGI accounting portal for the period 4/2016 to 4/2016 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,43086735.6927,,,43086735.6927
CH-CERN,77654583.1998,40858086.8035,20732896.0103,18254909.0550,157500475.0686
DE-KIT,33078358.3002,39669888.2728,8600252.7217,19017602.3215,100366101.6162
ES-PIC,,15916709.6449,8732432.4610,8052127.6834,32701269.7893
FR-CCIN2P3,19144902.7246,36751246.9666,12887865.1119,28111401.6116,96895416.4147
IT-INFN-CNAF,21777530.5252,27736564.6625,28100044.3683,32519505.1309,110133644.6869
KR-KISTI-GSDC,19774757.5685,,,,19774757.5685
NDGF,13307798.9058,13773576.4000,,,27081375.3058
NL-T1,12725839.3908,44912133.5149,,19333254.0748,76971226.9805
NRC-KI-T1,23624995.5435,19159886.4764,,17610377.6708,60395259.6907
RU-JINR-T1,,,20740126.5492,,20740126.5492
TW-ASGC,,15351658.6023,,,15351658.6023
UK-T1-RAL,16804081.7908,36807809.1453,6966209.8600,38095701.4161,98673802.2122
US-FNAL-CMS,,,67100869.4255,,67100869.4255
US-T1-BNL,,77358204.7872,279.1917,,77358483.9789
Total,237892847.9492,411382500.9691,173860975.6996,180994878.9641,1004131203.582
