=> CSV Dump from EGI accounting portal for the period 3/2015 to 3/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,39602162.0300,,,39602162.03
CH-CERN,36926005.7316,17723078.8558,13930337.2711,11499401.7884,80078823.6469
DE-KIT,41558857.1801,28869182.8902,17480870.0170,12092300.4352,100001210.5225
ES-PIC,,11174105.2120,5108825.0393,4812356.3820,21095286.6333
FR-CCIN2P3,16805293.6648,27237827.0264,14991718.8655,18371709.2053,77406548.762
IT-INFN-CNAF,21902369.2900,18908823.1762,17400748.6593,19922159.2212,78134100.3467
KR-KISTI-GSDC,35127135.4960,,,,35127135.496
NDGF,10137671.1220,8216194.9211,,,18353866.0431
NL-T1,12041989.9363,28699512.1506,,10666269.5403,51407771.6272
NRC-KI-T1,5720364.7770,4986978.6239,,8128137.0750,18835480.4759
RU-JINR-T1,,,5456949.5806,,5456949.5806
TW-ASGC,,1541831.6382,,,1541831.6382
UK-T1-RAL,5574789.2928,35829674.6605,9498379.4203,14535856.5250,65438699.8986
US-FNAL-CMS,,,47471952.0000,,47471952
US-T1-BNL,,66315104.0000,,,66315104
Total,185794476.4906,289104475.1849,131339780.8531,100028190.1724,706266922.701
