=> CSV Dump from EGI accounting portal for the period 8/2014 to 8/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,39650422.0620,,,39650422.062
CH-CERN,29731120.0000,24354512.0000,11302324.0000,13016040.0000,78403996
DE-KIT,19052584.6802,24631211.3424,11324135.9584,5641840.1993,60649772.1803
ES-PIC,,13942990.9112,9019208.3241,4788409.2390,27750608.4743
FR-CCIN2P3,12811432.0000,21917224.0000,12873624.0000,14230048.0000,61832328
IT-INFN-CNAF,15943892.5278,27916921.3457,22143648.9705,14572423.3856,80576886.2296
KR-KISTI-GSDC,9478615.4883,,,,9478615.4883
NDGF,8068080.0000,12190476.0000,,,20258556
NL-T1,12272904.5748,47145045.6930,,6569865.2136,65987815.4814
NRC-KI-T1,4641283.0339,4800703.3500,,8002164.0430,17444150.4269
RU-JINR-T1,,,3318844.0232,,3318844.0232
TW-ASGC,,10398317.2160,103568.6898,,10501885.9058
UK-T1-RAL,6659369.5542,40272504.4299,10539613.4936,8850518.5297,66322006.0074
US-FNAL-CMS,,,64926696.0000,,64926696
US-T1-BNL,,68885372.0000,0.0000,,68885372
Total,118659281.8592,336105700.3502,145551663.4596,75671308.6102,675987954.2792
