=> CSV Dump from EGI accounting portal for the period 5/2015 to 5/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,45054453.5134,,,45054453.5134
CH-CERN,54844405.2936,37099874.0441,18685434.2225,11526019.8275,122155733.3877
DE-KIT,22267229.9520,47897783.1577,16499916.0892,10637989.5611,97302918.76
ES-PIC,,13949837.4708,5667683.9757,6298026.0094,25915547.4559
FR-CCIN2P3,17435803.3307,32623107.9163,12195310.4749,28468715.8720,90722937.5939
IT-INFN-CNAF,18539441.9993,22481151.3502,20643750.1483,20621802.7587,82286146.2565
KR-KISTI-GSDC,16351284.0069,,,,16351284.0069
NDGF,10274273.1836,13374840.3315,,,23649113.5151
NL-T1,17943769.6578,39281597.9549,,17761330.6951,74986698.3078
NRC-KI-T1,10954953.5280,5849197.0555,,6980333.0738,23784483.6573
RU-JINR-T1,,,13314982.4985,,13314982.4985
TW-ASGC,,13996571.0991,,,13996571.0991
UK-T1-RAL,4972778.5089,42742156.8505,6325646.5577,19152150.1230,73192732.0401
US-FNAL-CMS,,142.8347,43577314.8531,,43577457.6878
US-T1-BNL,,82818792.0985,0.0558,,82818792.1543
Total,173583939.4608,397169505.6772,136910038.8757,121446367.9206,829109851.9343
