Time,Aalborg,Altaria,Athens,BITP,BITP_ARC,Bandung,Bari,Bari-Torrent,Birmingham,Bologna,Bratislava,CBPF,CCIN2P3,CCIN2P3-CREAM,CCIN2P31,CCIN2P32,CERN,CERN-AURORA,CERN-CORONA,CERN-CREAM,CERN-CVMFS,CERN-HW6,CERN-L,CERN-LSF,CERN-MIRAGE,CERN-SHA2,CERN-SIRIUS,CERN-TEST,CERN-TRITON,CERN-VM6,CERN-W5,CERN-ZENITH,CERN_HLT,CERN_HLTDEV,CERN_PLANCTON,CNAF,CNAF-CREAM,CNAF-DUE,CNAF_glexec,COMSATS,CSC,Cagliari,Catania,Catania-VF,Cibinong,Clermont,Cloud,CondorCloud,CondorSite,CyberSar,CyberSar-CREAM,Cyfronet,DCSC_KU,Dortmund,FZK,FZK-KIT,FZK_CREAM,FZK_glexec,GRIF_IPNO,GRIF_IRFU,GRIF_IRFU-CVMFS,GRIF_IRFU_ARC,GRIF_IRFU_SHARED,GSI,GSI-CREAM,GSI-SCLAB,GSI-SE2,GSI-SGE,GSI_2,Grenoble,HHLR_GU,HIP,Hiroshima,ICYB,ICYB_ARC,IHEP,IHEP-CREAM,IPNL,ISMA,ISS,ISS_LCG,ITEP,ITEP-CREAM,JINR,JINR-CREAM,KFKI,KISTI-CREAM,KISTI_GSDC,KISTI_GSDC-T1,KNU,KPI,Kolkata,Kolkata-CREAM,Kosice,LBL,LLNL,LUNARC,Legnaro,Legnaro-CREAM,MEPHI,Madrid,NECTEC,NERSC,NIHAM,NIKHEF,NIPNE,NSC,ORNL,ORNL_Titan,OSC,Oxford,PAKGRID,PDC,PLANCTON,PNPI,Poznan,Prague,Prague-CREAM,RAL,RAL-WMS,RAL_ARC,RRC-KI,RRC_KI_T1,SARA,SGE,SINP,SNIC,SPbSU,SPbSU-CC,SPbSU-CREAM,SUT,SaoPaulo,Strasbourg_IRES,Subatech,Subatech_CCIPL,TACC,Talca,Torino,Torino-CREAM,Torino-Torrent,TriGrid,TriGrid_Catania,Trieste,Troitsk,Troitsk-CREAM,Trujillo,Tsukuba,UF,UNAM,UNAM_T1,UPB,UiB,Vienna,WONDERLAND,WUT,Wuhan,Yerevan,ZA_CHPC,_TOTALS_,pcalice92.cern.ch
1430618502,,,587.9933627487301,394.2577913566838,,,,,,,,,43857.040879096945,,,,,65577.8528604218,,,,,,,,,,,56258.71078132172,,,66515.55116473009,0.0,,,68607.6096920285,,,,,,,,,,10537.320253252812,,,,,,,,,42823.82141850475,,,,17226.71858721099,,,,,162.88771400988168,,,,,0.0,,,,21357.592895476177,,,23407.76367720847,,15598.44095322334,1845.7932862206317,1282.647993587966,,1221.425352676888,,,,10758.029394909827,,50356.35506212861,,,,,,5613.969743929641,12898.678669370905,11673.250192315021,,21361.107905597706,,,,,,,16645.910154202338,2321.843882273061,,,,,,603.8487465031275,,,910.20028327351,,35783.103389095675,,610.8665799504155,,32506.435330624878,,14574.534578756853,,,,,,,,1404.6741178142288,22830.68695159338,13528.162985474748,1736.3810581097641,,,,9492.181124852326,,,,,493.5000223903623,254.13827761353008,,775.5823273721618,,,661.2618072393651,21094.646602535282,,11778.279186543059,,,0.0,,,,937921.8200162252,
1430635871,,,1248.2285836251633,783.708857447884,475.6707163847342,,9916.383406493313,,12589.799203689126,,5172.567691289942,,91437.43309948865,,,,,128779.4711238373,,,,,,,,,,,115867.1724709034,,,130022.23425135411,0.0,,,136146.9867901608,,,,,3921.398275509632,747.9199075408809,4384.677027583176,,,21091.987147788932,,,,,,3310.1046488414345,1329.9871318749897,,86246.2591487488,,,,34410.46344982196,61993.25041991703,,0.0,,274.2739872162737,,,,,0.0,2025.3427438876752,,,42693.89526454361,,,46775.359978092514,,32156.96601483301,4448.937388559993,2549.2671658211148,,2576.311466890958,,6547.795917073195,,21904.654475824143,,99859.84727912549,,,,,8025.2373114058755,11166.061427127155,25248.952144579005,23226.16922237128,3348.2414933564996,44135.98869234808,,,,514.5705574439645,0.0,20426.480912429193,33367.16602949456,4636.273332693019,,,,,3802.551815317329,1204.2037108710513,,,1814.6558206209809,1578.4827452747704,75913.86206975675,,1047.551594136432,,62120.48534601554,5851.571777366591,30046.006824863354,13055.78781400714,,,2697.6909303321377,1640.1397733720607,,,2806.442640468441,45506.14606587929,26833.319592710006,3198.690033819095,,,,19135.949416369127,,,,482.0971192842121,917.3255829223654,471.9600931385748,,1530.088114541362,,,1318.1089778481196,42054.17159134882,,23715.40898366673,,,0.0,,,26717.426317300426,1876166.0184890314,
1430653240,,,1638.1688867010757,1166.6052119671197,939.2662548008057,,19507.46622312355,,24972.14538060454,,10216.175002833319,,138471.65618022758,,,,,185856.69733881156,,,,,,,,,,,172084.96071766675,,,187287.18393594128,0.0,,,198010.23563270655,,,,,7538.621857686914,1469.7966684937207,8486.546707137297,,,31381.883091018237,,,,,,6509.236545185041,2665.55997457957,,126974.41665244322,,,,51395.31545809623,122012.62042824848,,0.0,,364.77328292584485,,,,,0.0,3793.2903655820096,,,61463.24478658292,,,67862.16744688743,,47634.978490682675,7035.885363062432,3799.8431267964074,,3992.889369809196,,12164.335678189314,,32878.763067802516,,143326.28023840775,,,,,15276.257976514227,16557.13913895368,37069.91307168182,34330.47992503767,6406.348634222384,64889.551547757175,,,,1008.3956949294748,0.0,40505.89773406967,48727.47481857419,6924.637955316502,,,,,7561.629979688074,1798.2070003220854,,,2683.988643716583,3171.2499086314647,112992.63175368815,,1452.1998951924618,,84087.34813161356,10460.273535877754,47377.53138604498,24903.294880686022,,,5266.978791114088,3245.7064160766618,,,4199.402241221043,65310.501192399635,39534.78154477579,4692.3983713236785,,,,28230.923666019644,,,,974.1958453617096,1211.9396785476188,665.1046750070562,,2281.6854157637786,,,1965.1358585770845,62733.25400729085,,34885.735479376955,,,0.0,,,53342.133484369144,2747824.6117730895,
1430670609,,,1869.4190082354692,1556.3793279396248,1376.65412793179,,29015.11704874372,,37071.3362705412,,15215.811636361941,,185089.29197296547,,,,,244357.75827300275,,,,,,,,,,,229646.2205761827,,,243130.1192384458,0.0,,,257666.6305098621,,,,1110.619198085845,11112.159691082545,2121.753774599768,12541.917091130854,,,41266.970190467335,,,,,,9539.424108445639,4003.516763044178,,166867.51320862107,,,,68334.9035272944,181222.1295615317,,0.0,,451.4891442228985,,,,,0.0,5547.136136769752,,,80586.16420239599,,,85461.51830550341,,61071.90132631104,9106.367190459452,5061.2366516124375,,5598.781663461872,,17619.348251871383,,43544.768203199055,,187543.81591877886,,,,,22713.7532602385,22000.10921515409,50519.336401814995,45513.11688604517,9328.2264766656,82818.69778736307,,,,1494.0215204482827,0.0,60509.53761798384,64640.281786043066,9221.76747892065,,,,,11156.628218139262,2393.2242144371658,,,3552.004580681223,4669.127027474352,148678.47033014655,,1808.261664781031,,114791.53524696804,15034.068822874746,66426.5362145443,34207.43904659474,,,7834.0296111299385,4841.104479309157,,,5590.506619581224,83874.36101001706,51692.124844145175,6087.942119782583,,,,36624.19788020246,,,,1468.2229295758411,1415.664368182385,890.295654318566,,3028.566824392366,,,2611.4336688471612,83401.61845800294,,45858.62037162418,,,0.0,,,76592.43144457726,3619569.17911879,
1430687978,,,2088.093578219822,1951.8966791724963,1823.1970429252817,,38437.09136890027,,50021.63642247503,,20398.26559000239,,232695.37751707324,,,,,311378.4628284098,,,,,,,,,,,294031.6324830499,,,301374.59900615516,0.0,,,325783.8874500341,,,,2423.6951458154886,14892.264344130357,2754.0834048985375,16756.739926039572,,,51203.52261171355,,,,,,12611.575772481114,5262.312204405883,,207882.30446042845,,,,85379.26288315647,243323.5715019946,,0.0,,542.2381612030802,,,,,0.0,7304.670262888595,,,102037.49668438347,,,102775.47257017157,,74230.08920298365,11170.195153172612,6330.241317856932,,7206.978331239817,,22894.180123742273,,54799.741654736485,,237461.9523724508,,,,,30735.815618381886,27561.74345984967,63652.15431936306,57105.201727858,12550.299340731974,99252.18229841391,,,,1990.6964212205348,0.0,80670.7588882992,81456.80887021638,11353.884722545508,,,,,14759.098100387217,2990.120517919744,,,4428.898184805791,6090.888797668122,190404.8318019418,,2048.0560581459845,,176310.00826853365,20386.197172537064,86949.34175752942,47188.05187711945,,,10553.696815230607,6459.347961134185,,,6988.1923655675455,105307.27068375936,63497.42372705781,7380.603842014409,,,,44985.777935009966,,,,1948.5347638358724,1543.0457601658293,1148.1540333773012,,3700.5832559729,,,3260.842398345016,104279.43124314261,,57255.80500548735,,,0.0,,,97211.08214024398,4582234.866555384,
1430705347,,,2328.85407279083,2320.696269831424,2288.37561698534,,47245.826215538116,,63871.573956867374,,25709.848459450815,,278060.80666528625,,,,,375973.04855050804,,,,,,,,,,,355375.9045737754,,,355691.13263674703,0.0,,,398859.4133042321,,,,3731.280171143789,18802.81102779162,3198.238492472472,21015.621805015042,,,61192.42941461649,,,,,,15746.439738883275,6489.610904744359,,246694.0884818478,,,,102224.19009997086,308880.49620062334,,0.0,,669.0647065753377,,,,,0.0,8906.03588888436,,,122675.3917380541,,,121916.46932273156,,88402.29360631778,13228.373204702344,7587.644974748651,,8467.774902438558,,27747.678089883244,,65843.95004938738,,285484.6915176632,,,,,38606.85372400606,32807.56866846385,75380.22595913352,68558.3858861214,16014.705702217581,113951.40106851347,,,,2480.157149333354,0.0,100680.6039654873,97183.810459932,13184.858510631891,,,,,18431.57795990481,3568.192776097461,,,5268.183752942424,7604.128430830898,229677.7568277645,,2180.061705466953,,250130.15640861978,25497.881751584577,106938.389906855,65292.34991039079,,,13272.022279297404,8076.500493603,,,8363.541988641027,127893.29571994698,74915.3638018348,8856.105475984534,,,,53192.54778057205,,,,2411.405649273842,1647.544295282082,1344.4416868907126,,4291.820533408982,,,3902.180885451027,124892.77042356842,,68687.85399777672,,,32.45087985264555,,,122210.76827187587,5536421.419815793,
1430722715,,,2608.403095776701,2678.469725111885,2722.5423726014337,,55264.19486469845,,76661.74700330598,,30328.91329554213,,320340.8775484388,,,,,431275.9638527837,,,,,,,,,,,409231.67581506714,,,406445.2255963713,0.0,,,463553.46630612866,,,,5008.701994040646,22646.06803219986,3438.6291325713823,25267.564910650828,,,71322.65389137247,,,,,,18877.364752484886,7541.762918995359,,284009.60447746544,,,,118963.70429000638,374548.3868908589,,0.0,,823.2268306259613,,,,,0.0,10366.9002552966,,,143438.77952469405,,,141218.95616647086,,103001.87839578404,15295.38308349507,8846.541653026485,,9519.612611558527,,32804.44408707658,,76830.15333781591,,334003.4853844906,,,,,46152.16947057621,38068.526499164254,88290.41571287184,80001.08961789477,19408.120738166366,125727.73157236596,,,,2961.6810304303817,0.0,120502.81184760074,113797.01302868607,14970.576438463137,,,,,21798.892707108298,4141.718941469634,,,6124.2089121426325,9032.638369483562,261954.4706145777,,2447.503491647447,,299033.13303974416,29670.60087191531,124417.14180848654,78730.62016418089,,,15806.96958699451,9674.018896708749,,,9737.266400198232,150372.35689964678,86892.9495362194,10515.70494934851,,,,61237.04391118938,,,,2867.0627706387377,1777.8200895494435,1471.5301692800265,,4932.54798198391,,,4544.683090544703,145574.2932899464,,80373.24841644244,,,227.60394710143723,,,150291.09692870546,6417471.926661625,
1430740084,,,2913.9510415063496,3044.8870585539025,3171.771330550062,,63303.26086270608,,88968.10323832645,,34452.18326094144,,367268.16411871737,,,,,485861.2694526564,,,,,,,,,,,464092.01715092844,,,463271.2624987341,0.0,,,519318.46257997287,,,,6288.439344772445,26219.44711875527,3856.8679918974117,29553.865884707368,,,81715.57770601712,,,,,,21948.478478548448,8664.42528744806,,322142.2742631586,,,,135918.68722326076,439997.66835719993,,0.0,,998.444838260496,,,,,0.0,11949.953115929053,,,164175.18085102967,,,160293.12968998472,,117398.1573991068,17523.03464628915,10093.72874154808,,10310.220029072312,,38204.256189234555,,88253.49101603703,,384263.31482158205,,,,,53951.001837327465,43524.350299884056,101536.61162012148,91456.87803105688,22715.28919328984,135214.28733234134,,,,3451.601471810235,0.0,140670.17845298658,131467.20770733262,16726.51726956671,,,,,24693.22934935487,4734.554313041952,,,7012.19662343113,10278.44457103334,296985.9999967961,,2896.2956877672627,,320377.96216182935,33056.25835399758,142617.3249952886,88595.83012365365,,,18342.156849691364,11262.862717934864,,,11130.952450921324,168483.28484461622,99398.4465207613,12373.700329944366,,,,69295.7958608368,,,,3321.503891426784,2054.220572348032,1581.013137864264,,5495.363006339354,,,5186.616734184095,166159.78510410132,,91746.20314826559,,,553.8566666728085,,,177402.7095153863,7274267.3460368775,
1430757453,,,3292.994052803587,3361.5256248124692,3652.4492188552726,,71667.14101312507,,100793.81963445872,,38251.843991021495,,417055.93925290776,,,,,538883.8590596669,,,,,,,,,,,517139.4629671699,,,521737.10687795246,0.0,,,567035.9189955589,,,,7596.095164890494,29366.11742795734,4404.817255400701,33515.39981516347,,,91528.84392645741,,,,,,24898.314209788616,10234.934289615647,,358151.08072546934,,,,152905.79446085333,503330.6989136529,,0.0,,1161.3911132287885,,,,,0.0,13682.077703579356,,,184330.1617079195,,,177457.77984809765,,130961.23585081653,19536.436421367845,11311.039178276933,,10867.715154887246,,43098.011969572406,,98264.11096810225,,433013.4282519077,,,,,61308.86477203457,48086.94160907622,113546.78184602424,102349.38320804613,25748.706056170835,142981.62059735128,,,,3936.3777815661083,0.0,160874.87891986434,148918.76479507377,18465.577529309878,,,,,27342.787803357554,5304.234581641648,,,7866.239666092377,11531.946047985959,328932.5764519087,,3277.8501025584105,,328340.30178529845,35623.41197152293,161614.9186392601,102511.56570658872,,,20788.279012607443,12816.308181893439,,,12520.588814658398,181782.68191426157,110864.93616656587,14295.693087813012,,,,76100.95248363585,,,,3769.953281377251,2361.9690848198056,1657.1354130584364,,6011.529723512292,,,5813.343763103205,185353.0711095146,,102669.78172193206,,,891.7629202495584,,,203585.5022553039,8078725.845249035,
1430774822,,,3746.143097660984,3664.636724624384,4131.874638335655,,80487.05258742273,,110267.13475471233,,42702.92318825377,,465839.9692931535,,,,,585329.6848688263,,,,,,,,,,,562679.9865576614,,,572448.526854231,0.0,,,609846.2558195598,,,,8894.796624770772,32523.89558797474,4693.592392428809,37404.39521474874,,,101162.59924592405,,,,,,27967.563390460822,12897.870094217622,,393420.71307589154,,,,169889.57555184737,561149.8139176106,,0.0,,1251.4382409315185,,,,,0.0,15511.057820451539,,,205508.1982488058,,,194435.1288070296,,143465.49982327095,21306.77920703423,12531.531035368114,,11810.202319482712,,47750.52990723225,,108546.3640365829,,482028.56950975076,,,,,68429.72669235212,52804.8191861575,125496.01965966866,113349.85949757566,28723.854323942207,150340.55370517998,,,,4417.883286140849,0.0,180964.06100085183,167020.37450739343,20217.835547439354,,,,,29808.3560763533,5868.083774876593,,,8724.342090707702,12623.659660866158,362012.08773623256,,3427.2323560514455,,331727.14139944373,37793.401946853926,178638.07447905402,118779.13398511274,,,23071.368610951176,14323.81152809287,,,13912.206061180026,198733.64928648242,121165.26944320256,16252.84239305706,,,,82987.76415027944,,,,4217.095543221626,2604.6194445597644,1719.1026184693046,,6711.041369273441,,,6443.994104931209,204789.8095382501,,114133.28189314598,,,1252.580537033177,,,228824.08757126582,8853876.297139231,
