=> CSV Dump from EGI accounting portal for the period 6/2015 to 6/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,47384265.9112,,,47384265.9112
CH-CERN,51344338.3369,31773973.0221,19301885.2628,8878787.9938,111298984.6156
DE-KIT,18534369.3004,45769167.7555,18524390.5975,6408075.9864,89236003.6398
ES-PIC,,17700655.6097,6457375.6543,3382072.1555,27540103.4195
FR-CCIN2P3,20643171.6711,34914354.3520,12026255.0636,11024888.4180,78608669.5047
IT-INFN-CNAF,27215293.2772,26321798.5948,12205924.6310,11352656.9431,77095673.4461
KR-KISTI-GSDC,17207103.6583,,,,17207103.6583
NDGF,10289298.4314,13037757.2367,,,23327055.6681
NL-T1,27391426.9618,32608732.8341,,8165523.1423,68165682.9382
NRC-KI-T1,15167154.4858,15356039.4332,,3184304.4118,33707498.3308
RU-JINR-T1,,,12187153.5318,,12187153.5318
TW-ASGC,,16664252.1686,,,16664252.1686
UK-T1-RAL,14541270.8964,55943125.2949,7699551.1339,8418636.7997,86602584.1249
US-FNAL-CMS,,23692.3286,54400702.2030,,54424394.5316
US-T1-BNL,,75295526.2483,,,75295526.2483
Total,202333427.0193,412793340.7897,142803238.0779,60814945.8506,818744951.7375
