Funding Agency;Storage Element;Computing Element  ML;Computing element WLCG
KR;Republic of Korea;ALICE::KISTI_GSDC::SE2;KISTI_GSDC;KR-KISTI-GSDC
KR;Republic of Korea;ALICE::KISTI_GSDC::TAPE;KISTI_GSDC-T1;KR-KISTI-GSDC
KR;Republic of Korea;;KISTI-CREAM;KR-KISTI-GSDC
RO;Romania;ALICE::ISS::FILE;ISS;Romanian Tier-2 Federation
RO;Romania;;ISS_LCG;Romanian Tier-2 Federation
RO;Romania;ALICE::NIHAM::FILE;NIHAM;Romanian Tier-2 Federation
RO;Romania;ALICE::NIPNE::EOS;;Romanian Tier-2 Federation
RO;Romania;;NIPNE;Romanian Tier-2 Federation
RU;Russia;ALICE::IHEP::SE;IHEP;Russian Data-Intensive GRID
RU;Russia;;IHEP-CREAM;Russian Data-Intensive GRID
RU;Russia;ALICE::ITEP::SE;ITEP;Russian Data-Intensive GRID
RU;Russia;;ITEP-CREAM;Russian Data-Intensive GRID
RU;Russia;ALICE::MEPHI::EOS;MEPHI;Russian Data-Intensive GRID
RU;Russia;ALICE::PNPI::SE;PNPI;Russian Data-Intensive GRID
RU;Russia;ALICE::RRC-KI::SE;RRC-KI;NRC-KI-T1
RU;Russia;ALICE::RRC_KI_T1::DCACHE_TAPE;RRC_KI_T1;NRC-KI-T1
RU;Russia;ALICE::RRC_KI_T1::EOS;;NRC-KI-T1
RU;Russia;ALICE::SPbSU::EOS;SPbSU;Russian Data-Intensive GRID
RU;Russia;ALICE::Troitsk::SE;Troitsk;Russian Data-Intensive GRID
RU;Russia;;Troitsk-CREAM;Russian Data-Intensive GRID
RU;Russia;ALICE::SPbSU::SE;;Russian Data-Intensive GRID
RU;Russia;;SPbSU-CC;Russian Data-Intensive GRID
RU;Russia;;SPbSU-CREAM;Russian Data-Intensive GRID
SK;Slovakia;ALICE::Bratislava::SE;Bratislava;Slovak Tier2 Federation
SK;Slovakia;ALICE::Kosice::SE;Kosice;Slovak Tier2 Federation
ZA;South Africa;ALICE::ZA_CHPC::EOS;ZA_CHPC;CHPC Tier2
ZA;South Africa;ALICE::ZA_CHPC::SE;;CHPC Tier2
ES;Spain;ALICE::Trujillo::SE;Trujillo;
ES;Spain;;Madrid;
SE;Sweden;ALICE::SNIC::DCACHE;SNIC;SNIC Tier-2
TH;Thailand;ALICE::SUT::SE;SUT;National e-Science Infrastructure Consortium
TH;Thailand;;NECTEC;National e-Science Infrastructure Consortium
UA;Ukraine;ALICE::BITP::SE;BITP;Ukrainian Tier-2 Federation
UA;Ukraine;;BITP_ARC;Ukrainian Tier-2 Federation
