=> CSV Dump from EGI accounting portal for the period 9/2016 to 9/2016 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,44641468.2923,,,44641468.2923
CH-CERN,93665907.3312,90363206.5847,20808624.1727,21583311.5620,226421049.6506
DE-KIT,15008534.6873,37139074.3821,10243078.9855,29077018.6317,91467706.6866
ES-PIC,,19432846.5786,8665297.5511,7936046.3236,36034190.4533
FR-CCIN2P3,13423855.4243,57026993.4720,19651579.5176,17588235.9286,107690664.3425
IT-INFN-CNAF,23472770.1180,27936146.3405,19728110.5086,32882523.0196,104019549.9867
KR-KISTI-GSDC,22061525.3592,,,,22061525.3592
NDGF,8001399.6694,31752647.0763,,,39754046.7457
NL-T1,14770756.5897,43144948.1325,,23224596.8303,81140301.5525
NRC-KI-T1,23689443.3725,24882192.1833,,15145544.6906,63717180.2464
RU-JINR-T1,,,19709070.2130,,19709070.213
TW-ASGC,,17244651.2743,,,17244651.2743
UK-T1-RAL,12963028.5052,48139995.7958,4862155.5514,49575501.8449,115540681.6973
US-FNAL-CMS,,,65597772.7255,,65597772.7255
US-T1-BNL,,93555577.6369,42.3744,,93555620.0113
Total,227057221.0568,535259747.7493,169265731.5998,197012778.8313,1128595479.2372
