CSV Dump from EGI accounting portal for the period 9/2016 to 9/2016
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2016 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,8404129.7123,0,0,8404129.7123
,,46000,33120000,Total,0,8404129.7123,0,0,8404129.7123,25.374787778684
,,,,WallClock,,414830.4006,,,414830.4006
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,46999.4361,0,0,46999.4361
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,475385.7069,0,475385.7069
,,47428,34148160,Total,0,46999.4361,475385.7069,0,522385.143,1.5297607338141
,,,,WallClock,,9446.5453,79368.6446,,88815.1899
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,5280177.3038,0,5280177.3038
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,2168063.0223,0,2168063.0223
,,128000,92160000,Total,0,0,7448240.3261,0,7448240.3261,8.08185799273
,,,,WallClock,,,590678.2039,,590678.2039
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,3992085.8270,0,3992085.827
,,100800,72576000,Total,0,0,3992085.827,0,3992085.827,5.5005591752094
,,,,WallClock,,,374492.8328,,374492.8328
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,8218384.1168,0,0,8218384.1168
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,8530960.0703,0,0,8530960.0703
,,56600,40752000,Total,0,16749344.1871,0,0,16749344.1871,41.100667911023
,,,,WallClock,,1042820.3711,,,1042820.3711
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,10125463.7463,0,0,10125463.7463
Canada,CA-WEST-T2,,,SFU-LCG2,0,6805838.1808,0,0,6805838.1808
,,56600,40752000,Total,0,16931301.9271,0,0,16931301.9271,41.547168058255
,,,,WallClock,,962283.794,,,962283.794
China,CN-IHEP,,,BEIJING-LCG2,0,3875671.2788,1481686.5431,0,5357357.8219
,,46240,33292800,Total,0,3875671.2788,1481686.5431,0,5357357.8219,16.091640901036
,,,,WallClock,,188431.2955,180531.9425,,368963.238
Czech Republic,CZ-Prague-T2,,,praguelcg2,6862734.5905,14356931.7738,0,0,21219666.3643
,,80000,57600000,Total,6862734.5905,14356931.7738,0,0,21219666.3643,36.839698549132
,,,,WallClock,1854731.0315,1298635.565,,,3153366.5965
Estonia,EE-NICPB,,,T2_Estonia,0,0,5302871.6189,0,5302871.6189
,,204000,146880000,Total,0,0,5302871.6189,0,5302871.6189,3.6103428777914
,,,,WallClock,,,130108.6553,,130108.6553
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,2671738.1091,0,2671738.1091
,,32000,23040000,Total,0,0,2671738.1091,0,2671738.1091,11.596085542969
,,,,WallClock,,,289459.625,,289459.625
France,FR-GRIF,,,GRIF,14550766.4540,35520645.9374,8707923.3049,8351637.1536,67130972.8499
,,213356,153616320,Total,14550766.454,35520645.9374,8707923.3049,8351637.1536,67130972.8499,43.700417279818
,,,,WallClock,1407383.7381,1921374.8557,325200.1372,827784.1636,4481742.8946
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,0,0,0,0
,,30920,22262400,Total,0,0,0,0,0
,,,,WallClock,,,,,
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,9975865.4297,0,3930353.4398,13906218.8695
,,48000,34560000,Total,0,9975865.4297,0,3930353.4398,13906218.8695,40.23790182147
,,,,WallClock,,537326.7887,,366008.7723,903335.561
France,FR-IN2P3-IPHC,,,IN2P3-IRES,5675211.5961,0,6782521.1989,0,12457732.795
,,80000,57600000,Total,5675211.5961,0,6782521.1989,0,12457732.795,21.628008324653
,,,,WallClock,473419.5763,,95941.281,,569360.8573
France,FR-IN2P3-LAPP,,,IN2P3-LAPP,0,7407950.3133,0,2237599.3314,9645549.6447
