,alice,atlas,auger,belle,biomed,calet.org,cernatschool.org,cms,comet.j-parc.jp,compchem,desy,dteam,dune,enmr.eu,eumed,fermilab,gaussian,ghep,gridit,gridpp,harpo.cea.fr,icecube,ific,ilc,km3net.org,lhcb,lsst,lz,na62.vo.gridpp.ac.uk,nw_ru,ops,ops.ndgf.org,ops.vo.ibergrid.eu,pheno,see,snoplus.snolab.ca,t2k.org,tut.vo.ibergrid.eu,virgo,vo.access.egi.eu,vo.agata.org,vo.complex-systems.eu,vo.cta.in2p3.fr,vo.france-grilles.fr,vo.hess-experiment.eu,vo.ipno.in2p3.fr,vo.londongrid.ac.uk,vo.moedal.org,vo.neugrid.eu,vo.northgrid.ac.uk,vo.plgrid.pl,vo.sbg.in2p3.fr,vo.southgrid.ac.uk,xenon.biggrid.nl,Total, Percent, 
ES-CMS-T2,0,0,0,0,147444.8070,0,0,17974163.1313,0,0,0,0.0384,0,0,0,0,0,0,0,0,0,0,0,250044.6019,0,0,0,0,0,0,75.4861,0,0.0192,0,0,0,0,0,0,0,0,0,486550.6875,0,0,0,0,0,0,0,0,0,0,0,18858279,1.08%
ES-LHCb-T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5910806.0883,0,0,0,0,10.9014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5910817,0.34%
FI-HIP-T2,0,0,0,0,0,0,0,2570821.9400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2570824,0.15%
FR-GRIF,22703872.8881,39892245.7665,0,0,224377.6031,0,0,25794651.5007,8.1417,842900.7428,0,0,0,0,0,0,0,0,0,0,60414.2789,0,0,143388.1650,0,8891878.2893,0,0,0,0,30.4022,0,0,0,0,0,0.0000,0,0,0,0,129408.5590,1785582.6171,22600.3022,1877026.9294,178998.4206,0,0,165730.7158,0,0,0,0,0,102713115,5.90%
FR-IN2P3-CC-T2,0,0,0,0,0,0,0,0,0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.00%
FR-IN2P3-CPPM,0,7831031.0113,0,0,79915.5523,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,4072051.4559,0,0,0,0,18.7833,0,0,0,0,0,0,0,0,0,0,0,119134.0717,227.6369,0,0,0,0,0,0,0,0,0,0,12102379,0.69%
FR-IN2P3-IPHC,2613436.1284,0,0,0,34546.1852,0,0,10237044.7112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5577,0,0,0,0,0,0,0,0,0,0,0,0,13789.7456,0,0,0,0,0,0,0,1480192.4994,0,0,14379024,0.83%
FR-IN2P3-LAPP,0,6133902.6495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203391.6958,0,2521811.2461,0,0,0,0,11.0745,0,0,0,0,0,0,0,0,0,0,0,558069.6817,0,290009.9645,0,0,0,0,0,0,0,0,0,9707196,0.56%
FR-IN2P3-LPC,5881397.0022,6068577.1501,0,0,166810.1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4367274.9601,0,0,0,0,46.8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16484106,0.95%
FR-IN2P3-LPSC,2102520.4033,4622623.4600,0,0,7460.0367,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3101,0,0,0,0,0,0,0,0,0,0,0,0,691.3133,0,0,0,0,0,0,0,0,0,0,6733325,0.39%
FR-IN2P3-SUBATECH,2652580.5141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2652600,0.15%
GR-GRIDLAB-KAVALA,0,1531.8292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9439,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,0.00%
GR-Ioannina-HEP,0,0,0,0,0,0,0,20153.9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20156,0.00%
HU-HGCC-T2,1839256.9112,0,0,0,0,0,0,3465219.3851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5304502,0.30%
IL-HEPTier-2,0,22600467.3148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64529.1873,0,75406.2391,0,0,0,0,30.0782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4719,22740519,1.31%
IN-DAE-KOLKATA-TIER2,1305422.2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305425,0.07%
IN-INDIACMS-TIFR,0,0,0,0,0,0,0,20289598.3054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20289609,1.16%
IT-INFN-T2,26414138.0497,30100221.6725,0,2530583.6858,29159.7801,2600652.2083,0,55611699.2413,0,1726167.4694,0,0,0,1845.1003,0.0350,0,0,0,48.5908,0,0,0,0,0,4.1528,3899084.1162,0,0,0,0,737.6887,0,0,0,0,0,0,0,0,0,0,0,138333.0878,0,0,0,0,0,0,0,0,0,0,0,123052675,7.06%
JP-Tokyo-ATLAS-T2,0,53512250.1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53512293,3.07%
KR-KNU-T2,0,0,0,0,0,0,0,7390296.7618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7390306,0.42%
PK-CIIT-ALICE,111054.5306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111056,0.01%
PK-CMS-T2,100690.7333,0,0,0,0,0,0,428646.2339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529343,0.03%
PL-TIER2-WLCG,2710094.0612,3747580.7806,0,701031.6428,350.4947,0,0,88040.9831,0,0,0,0,0,0,0,0,430955.5118,0,0,0,0,0,0,146569.0352,0,7522110.3119,0,0,0,0,835.1229,0,0,0,0,0,0,0,60167.2658,0,0,0,2195324.3550,0,0,0,0,0,0,0,260820.6716,0,0,0,17863880,1.03%
PT-LIP-LCG-Tier2,0,1288737.6161,0,0,48130.2325,0,0,5139283.0828,0,0,0,0,0,56088.3822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.9561,0,0,0,0,77038.9214,0,0.0603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6609494,0.38%
RO-LCG,4984778.4276,11950030.6983,258300.8094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2828914.9511,0,0,0,0,33.0925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20022058,1.15%
RU-RDIG,14050429.6475,9800340.8899,0,0,6.4826,0,0,13488901.7827,0,0,0,0,0,0,0,1369.3130,0,0,0,0,0,0,0,0,0,8806540.5803,0,0,0,381173.6850,112.2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46528875,2.67%
SE-SNIC-T2,853514.7900,1206294.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8731,0,0,0,0,0,0,0,0,0,0,0,27010.9756,0,0,0,0,0,0,0,0,0,0,0,2086828,0.12%
SI-SiGNET,0,13948330.1644,0,158676.8061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.3884,0.0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14109014,0.81%
SK-Tier2-Federation,4482248.2005,5240156.2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9722409,0.56%
T2-LATINAMERICA,17050752.3558,2821446.7802,0,0,5475.2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3770947.9620,0,0,0,0,18.9474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23648641,1.36%
T2_UNAM,4412238.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4412240,0.25%
T2_US_Caltech,0,2379640.8400,0,0,0,0,0,32605526.0707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34985167,2.01%
T2_US_Florida,0,0,0,0,0,0,0,20509350.3773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20509350,1.18%
