Time,Aalborg,Altaria,Athens,BITP,BITP_ARC,Bandung,Bari,Bari-Torrent,Birmingham,Bologna,Bratislava,CBPF,CCIN2P3,CCIN2P3-CREAM,CCIN2P31,CCIN2P32,CERN,CERN-AURORA,CERN-CORONA,CERN-CREAM,CERN-CVMFS,CERN-HW6,CERN-L,CERN-LSF,CERN-MIRAGE,CERN-SHA2,CERN-SIRIUS,CERN-TEST,CERN-TRITON,CERN-VM6,CERN-W5,CERN-ZENITH,CERN_HLT,CERN_HLTDEV,CERN_PLANCTON,CNAF,CNAF-CREAM,CNAF-DUE,CNAF_glexec,COMSATS,CSC,Cagliari,Catania,Catania-VF,Cibinong,Clermont,Cloud,CondorCloud,CondorSite,CyberSar,CyberSar-CREAM,Cyfronet,DCSC_KU,Dortmund,FZK,FZK-KIT,FZK_ARC,FZK_CREAM,FZK_glexec,GRIF_IPNO,GRIF_IRFU,GRIF_IRFU-CVMFS,GRIF_IRFU_ARC,GRIF_IRFU_SHARED,GSI,GSI-CREAM,GSI-SCLAB,GSI-SE2,GSI-SGE,GSI_2,Grenoble,HHLR_GU,HIP,Hiroshima,ICYB,ICYB_ARC,IHEP,IHEP-CREAM,IPNL,ISMA,ISS,ISS_LCG,ITEP,ITEP-CREAM,JINR,JINR-CREAM,KFKI,KISTI-CREAM,KISTI_GSDC,KISTI_GSDC-T1,KNU,KPI,Kolkata,Kolkata-CREAM,Kosice,LBL,LLNL,LUNARC,Legnaro,Legnaro-CREAM,MEPHI,Madrid,NECTEC,NERSC,NIHAM,NIKHEF,NIPNE,NSC,ORNL,ORNL_Titan,OSC,Oxford,PAKGRID,PDC,PLANCTON,PNPI,Poznan,Prague,Prague-CREAM,RAL,RAL-WMS,RAL_ARC,RRC-KI,RRC_KI_T1,SARA,SGE,SINP,SNIC,SPbSU,SPbSU-CC,SPbSU-CREAM,SUT,SaoPaulo,Strasbourg_IRES,Subatech,Subatech_CCIPL,TACC,Talca,Torino,Torino-CREAM,Torino-Torrent,TriGrid,TriGrid_Catania,Trieste,Troitsk,Troitsk-CREAM,Trujillo,Tsukuba,UF,UNAM,UNAM_T1,UPB,UiB,Vienna,WONDERLAND,WUT,Wuhan,Yerevan,ZA_CHPC,_TOTALS_,pcalice92.cern.ch
1152766499,,,,,,,,,,,,,34570.78227147362,,,,10214.765652527263,,,,,,61359.937309886416,,,,,,,,,,,,,85989.34873161593,,,,,,5138.211448264886,23245.017145396156,,,,,,,,,,,,15839.383520254483,,,,,,,,,,5254.516138082252,,,,,,,,,,,,,,,,17260.64542735046,,2952.479724856949,,,,,,,,,,,,,,,,13122.99979854244,,,,,,33170.10767280197,7526.327109320752,,,,,7886.12828018893,,,,,5550.047490676051,,,,8989.577768434156,,,,,,,7332.625522856549,,,,,,,,627.947799339841,,,,,,,,,,,,,,,,,,2.364945868476,,,,,,,395550.761438779,
1154945642,,,,,,,,,,460.63202900060406,,,73732.18494608601,,,,20723.257607669606,,,,,,118449.14537853893,,,,,,,,,,,,,177154.50691129512,,,,,,11342.106960181536,34572.60821363741,,,,,,,,,,,,96708.85969100553,,,,,,,,,,9662.923455787157,,,,,,,,,,,,2333.1017524322274,,,,35162.30991302541,,5928.167053889189,,,,,,,,,,,,,,,,18568.1851044132,,,,,,75918.15199794789,17061.92218056471,,,,,16342.573869493128,,,,,12955.009829901988,,,,14211.10409667646,,,,,,,22793.10725305617,,,,,,,,1539.0980701945587,,,,,,,,,,,,,,,,,,751.5517110652282,,,,,,,902179.480646345,
1157124784,,,,1113.3073920020915,,,,,,2030.5894900082399,,,110144.50556751387,,,,22992.62006092424,,,,,,202153.80282990946,,,,,,,,,,,,,266483.3709539801,,,,,,17446.595055497488,59830.16171883715,,,,,,,,,,,,183204.41293606552,,,,,,,,,,10961.53533694971,,,,,,,,,,,,5363.2433475134085,,,,57635.82256254463,,9942.018583182486,,,,,,,,,,,,,,,,35973.42836121992,,,29274.16002150777,,,131201.43378311823,25354.334068300173,,,,,22733.969867770436,,,,,23081.9405530288,,,,15702.508181591564,,,,,,,37082.082933824415,,,,,,,,2942.2511964364444,,,,,,,,,,,,,,,,,,2455.0679699638704,,,,,,,1496038.1202397335,
1159303927,,,,2456.4123605050177,,,,,,5790.729860580969,,,164188.2953365468,,,,23085.245798869688,,,,,,298764.5073774657,,,,,,,,,,,,,367617.0590883247,,,,,,23021.969238059795,102117.21449680178,,,,,,,,,,,,214185.84278421444,,,,,,,,,,14207.9487019527,,,,,,,,,,,,11639.756285108515,,,,87313.00890084886,,15061.907649334196,,,,,,,,1545.8088142098393,,,,,11.321032367256247,,,64248.26327272423,,,63172.33241272218,,,188765.7448114673,36845.50602976249,,,,,27786.977713914075,,,,,32492.960670969685,,,,20479.99031953384,,,,,,,46876.0654810142,,,,,,,,3948.166091844397,,,,,,,,,,,,,,,,,,3478.5206333446845,,,,,,,2126364.292458804,
1161483070,,,,5877.0182864935905,,,,,,9943.984424741748,,,208485.6492487253,,,,23159.576558431738,,,,,,381886.6318538159,,,,,,,,,,,,,461521.03818224865,,,,,,27277.764709277653,139739.1111076306,,,,,,,,,,,,264094.70054064825,,,,,,,,,,17750.629853319995,,,,,,,,,,,,18838.334014226686,,,,120380.07893200454,,19621.36578070815,,,,,,,,4321.0666924993375,,,,,3400.0705999973607,,,86260.27342811681,,,105456.46306508525,,,245252.72152571348,53919.7832949475,,,,,33135.71024974248,,,,,37326.844471900295,,,,28722.173763064482,,,,,,,52573.577442481255,,,,,,,,,,,,,,,,,,,,,,,,,,3764.6048084275953,,,,,,,2743859.824030535,
1163662213,,,,9809.467317863731,,,,,,14435.822137841547,,,232793.5675401246,,,,23235.05866352132,,,,,,464668.51997476094,,,,,,,,,,,,,561656.6211913741,,,,,,30461.647854892723,177047.8567250957,,,,,,,,,,,,309756.32798186986,,,,,,,,,,19345.50952084685,,,,,,,,,,,,22820.17465153679,,,,160491.45416317572,,24082.419813366054,,,,231.28132697875,,,,6161.849284207735,,,,155.02709701378012,11477.249657305496,,,103635.5960181443,,,139285.01073956463,,,322754.6712773743,74935.43111878558,,,,,37372.76134739073,,,,,39040.244515081904,,,,37979.01766350494,,,,,,,56514.21492288034,,,,,,,,3948.166091844397,,,,,,,,,,,,1942.2951031417228,,,,,,4295.946562101095,,,,,,,3400960.7884105872,
1165841355,,,,15086.883882888998,,,,,,18639.366882774408,,,250204.27917135417,,,,23345.65284970205,,,,,,663844.8720884951,,,,,,,,,,,,,674875.1256372046,,,,,,34485.18442298819,222710.6099086512,,,0.016179687114595918,,,,,,,,,411779.0863537992,,,,,,,,,,20649.86036963439,,,,,,,,,,,,23215.767063551943,,,,206090.2344184963,,28109.122801834976,,,,608.2738688425001,,,,7822.066858739648,,,,206.70279601837348,25283.84130637746,,,121920.86773638125,,,173809.73860456352,,,425769.7947158734,97658.17314848506,,,,,38987.197788536694,,,,,39569.12617694717,,,,50283.864390478026,,,,,,,62475.13419845128,,,,,,,,4387.885162387487,,,,,,,,,,,,4137.9910553634245,,,,,,4749.952092497919,,,,,,,4313116.894803733,
1168020498,,,,23855.999534108923,,,,,,20044.74825572764,,,258118.82298711882,,,,23610.415709917896,,,,,,874578.0867854204,,,,,,,,,,,,,756539.4475214215,,,,,,37960.22906803422,261344.43108560148,,,0.021572916152794556,,,,,,,,,541515.9588544309,,,,,,,,,,22499.601770531033,,,,,,,,,,,,23215.767063551943,,,,244027.3151384271,,30370.271603443653,,,,2149.61891349647,,,,9341.082721079367,,,,433.8158495598804,40980.535378092645,,,134940.27054252898,,,222440.4339119688,,,517142.1804059793,120121.9145479522,,,,,41199.03468108325,,,,,44035.368078072104,,,,61655.12405399682,,,,,,,65520.91387200059,,,,,,,,7366.810716888319,,,,,,,,,,,,6872.498762033049,,,,,,5008.0540123686,,,,,,,5183742.718397318,
1170199641,,,,30702.676453477197,,,,,,21661.46299551001,,,285872.6938608115,,,,23893.103392115594,,,,,,997525.9319850559,,,,,,,,,,,,,872210.8482097418,,,,,,40373.21379112964,292202.0899981405,,,8349.72174127337,,,,,,,,,623368.279410835,,,,,,,,,,23597.80660902096,,,,,,,,,,,,23223.611454012058,,,,277368.6761378479,,33766.91270087237,,,,3998.9823143413746,,,,9826.496808890364,,,,907.5884134213971,52113.78074098888,,,152686.18082744122,,,263049.85839236603,,,595424.448382551,140372.2819024147,,,,,42157.52212945454,,,,,50949.77907053701,,,,72392.5079781134,,,,,,,65520.928087408705,,,,,,,,26754.73607929977,,,,,,,,,,,,12466.668845837374,,,,,,5175.995303959433,,,,,,,5964623.720267612,
1172378783,,,,36861.48487603209,,,,,,26096.57509664222,,,330329.1934406701,,,,24040.007315883795,,,,,,1181322.0287675408,,,,,,,,,,,,,1010870.001895734,,,,,,44782.69110100762,322025.03196960344,,,47654.75265815618,,,,,,,,,739743.5317902046,,,,,,,,,,25526.13760799314,,,,,,,,,,,,27055.49413339662,,,,312643.48487520707,,41461.93515392863,,,,6297.225789018694,,,,9848.137375109438,,,,1949.4668145919304,64731.59881503762,,,180722.83616237398,,,290483.8355873407,,,678934.95359982,162560.1391960522,,,,,42602.896855342195,,,,,71297.02408057099,,,,91947.65941177613,,,,,,,72436.1678537448,,,,,,,,85129.33121424376,,,,,,,,,,,,25846.289356236928,,,,,,5227.8240841630495,,,,,,,7056704.073778236,
