Time,ALICE::BITP::SE,ALICE::Bari::SE,ALICE::Birmingham::SE,ALICE::Bratislava::SE,ALICE::CCIN2P3::SE,ALICE::CCIN2P3::TAPE,ALICE::CERN::CASTOR2,ALICE::CERN::DPM,ALICE::CERN::EOS,ALICE::CERN::OCDB,ALICE::CERN::T0ALICE,ALICE::CNAF::SE,ALICE::CNAF::TAPE,ALICE::Catania::SE,ALICE::Clermont::SE,ALICE::CyberSar_Cagliari::SE,ALICE::Cyfronet::XRD,ALICE::FZK::SE,ALICE::FZK::TAPE,ALICE::GRIF_IPNO::SE,ALICE::GRIF_IRFU::DPM,ALICE::GSI::SE2,ALICE::Grenoble::SE,ALICE::Hiroshima::EOS,ALICE::Hiroshima::SE,ALICE::IHEP::SE,ALICE::IPNL::SE,ALICE::ISMA::SE,ALICE::ISS::FILE,ALICE::ITEP::SE,ALICE::JINR::EOS,ALICE::JINR::SE,ALICE::KFKI::SE,ALICE::KISTI_GSDC::SE2,ALICE::KISTI_GSDC::TAPE,ALICE::Kolkata::EOS,ALICE::Kolkata::SE,ALICE::Kosice::SE,ALICE::LBL::EOS,ALICE::Legnaro::SE,ALICE::MEPHI::EOS,ALICE::NDGF::DCACHE,ALICE::NDGF::DCACHE_TAPE,ALICE::NIHAM::FILE,ALICE::ORNL::EOS,ALICE::PNPI::SE,ALICE::Poznan::SE,ALICE::Prague::SE,ALICE::RAL::SE,ALICE::RAL::TAPE,ALICE::RRC-KI::SE,ALICE::RRC_KI_T1::DCACHE_TAPE,ALICE::RRC_KI_T1::EOS,ALICE::SARA::DCACHE,ALICE::SARA::DCACHE_TAPE,ALICE::SNIC::DCACHE,ALICE::SPbSU::EOS,ALICE::SPbSU::SE,ALICE::SUT::SE,ALICE::SaoPaulo::SE,ALICE::Strasbourg_IRES::SE,ALICE::Subatech::EOS,ALICE::Torino::SE,ALICE::Trieste::SE,ALICE::Troitsk::SE,ALICE::Trujillo::SE,ALICE::Tsukuba::SE,ALICE::UNAM_T1::EOS,ALICE::ZA_CHPC::EOS,ALICE::ZA_CHPC::SE
1255186353,,,,,,,5565885.286795126,,,,82.08376335550156,55352.73567094344,,,,,,,,,,,,,,94.54528492883031,,,2377.973188149881,167.33694479106802,,3870.9869350535228,2534.1407649692,,,,,,,,,48667.04650801391,,44610.10358957554,,,,,,,9682.200162799505,,,5937.447301181432,9758.109723473202,,,,,,,,,,,,,,,
1257365495,,,,,,,4692333.96408724,,,,113.30877905098868,65061.90454741115,,,,,,,,,,,,,,110.26260815322095,,,2382.2840844384846,191.0075333353815,,4751.665935790079,3312.049223205037,,,,,,,,,48228.71277127962,,44808.10410277391,,,,,,,9232.767099969067,,,5940.2060911814315,9760.869978473202,,,,,,,,,,,,,,,
1259544638,,,,,278.7576753522755,,4544308.939865278,,,,116.23169293465648,74487.20907453522,,,,,,,,,,,,,,117.22549039574933,,,2431.852232649251,574.4134488371496,,6051.403429558413,3313.805290093431,,,,,,,,,48348.11643466167,,45649.46859515417,,,,,,,9516.341717615705,,,5999.436713401027,9763.840357089095,,,,,,,,,,,,,,,
1261723781,,,,,1870.545742221461,,4547020.181845836,,,,117.10171422733461,75560.14882842918,,,,,,,,,,,,,,139.25816851519664,9053.057407446897,,2683.0074638264286,5569.278809573056,,6459.1618592134855,3321.98466486687,,,,,,,,,48397.65236819185,,46464.74969291477,,,,,,,10113.545691867299,,,6166.706840657962,9763.035988368629,,,,,,,,,,,,,,,
1263902924,,,,,6792.637738371109,,4512803.01618954,,,,114.09338258555374,74057.05906638551,,,,,,77581.1315498031,205.52648540298912,,,,,,,204.28159292307086,13001.72683220018,,3265.144159699903,10169.84198836848,,6526.088372292901,3290.028655026844,,,,,,,,,48042.55541498472,5.173519544902447,47128.685766746115,,166.4695182446794,,,,,10470.250429615126,,,6449.001676822218,9761.385571711686,,,,,,,,,,,,,,,
1266082067,,,,,13249.60533307187,,4479350.35087147,,,,111.65233889799056,73951.03548751184,,,,,,86435.02842161027,204.1482393666167,,,,,,,267.3415182211797,13044.194393616119,,3906.8809300526755,10337.624394589951,,6699.62031972249,3262.4630942523386,,,,,,,,,47973.38454469118,2.99222792444103,47588.2476323305,,376.5033056923732,,,,,10548.000374539864,,,6813.600191752658,9762.079796674227,,,,,,,,,,,,,,,
1268261210,,,,,16861.932688385055,,,,,,,74827.51556865763,3252.7826528857518,,,,,105451.83699673311,206.9533765230201,,,,,,,281.9579358095497,13109.109800382948,,4187.807315255698,10598.724875720793,,6835.908871174898,3347.13441051431,,,,,,,,,48606.476415164536,5.70238627951312,47851.614807345875,,581.7627444614076,,,,,10583.558181006334,,,7006.6244943747515,9763.333422484151,,,,,,,,,,,,,,,
1270440353,,,,,17626.269924911405,,,,,,,,,,,,,121935.23106711077,716.4992580038089,,191.5659175446911,,,,,,,,,10670.836780209467,,,,,,,,,,,,49009.836459659346,479.86022547901683,,,924.6872272696694,,,,,,,,,,,,,,,,,,,,,,,,
1272619496,,,,,,,,,,,,,,,,,,148347.89760424872,12766.122372337108,,756.9968891069468,,,,,,,,,,,,,,,,,,,,,,5105.88922353557,,,1172.1087606643441,,,,,,,,,,,,,,,,,,,,,,,,
1274798639,,,,,,,,,,,,,,,,,,177455.1041268101,47984.74540374804,,1979.9809161354747,,,,,,,,,,,,,,,,,,,,,,12004.958647242358,,,1268.6180834956162,,,,,,,,,,,,,,,,,,,,,,,,
