=> CSV Dump from EGI accounting portal for the period 10/2016 to 10/2016 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,43767142.3714,,,43767142.3714
CH-CERN,98333155.3522,52592279.2270,56595489.1906,19013123.0331,226534046.8029
DE-KIT,9611071.9599,33298708.3179,17843359.7534,19615227.4928,80368367.524
ES-PIC,,17102410.5941,10305335.7230,7565437.2892,34973183.6063
FR-CCIN2P3,6848923.3721,18553640.7532,15812020.0922,11551583.6392,52766167.8567
IT-INFN-CNAF,19913556.9623,22308364.3096,23038269.8472,26981269.5352,92241460.6543
KR-KISTI-GSDC,21460524.3028,,,,21460524.3028
NDGF,8967566.3241,16944823.3229,,,25912389.647
NL-T1,14413755.5326,32123760.4389,,20877766.1600,67415282.1315
NRC-KI-T1,25039211.5680,22997780.0668,,16032916.9457,64069908.5805
RU-JINR-T1,,,22716997.8509,,22716997.8509
TW-ASGC,,17559821.6950,,,17559821.695
UK-T1-RAL,3958147.1886,42746831.1389,7774162.0630,52553901.9375,107033042.328
US-FNAL-CMS,,,129308268.8286,,129308268.8286
US-T1-BNL,,89638633.9383,63.1361,,89638697.0744
Total,208545912.5626,409634196.174,283393966.485,174191226.0327,1075765301.2543
