Time,Aalborg,Altaria,Athens,BITP,BITP_ARC,Bandung,Bari,Bari-Torrent,Birmingham,Bologna,Bratislava,CBPF,CCIN2P3,CCIN2P3-CREAM,CCIN2P31,CCIN2P32,CERN,CERN-AURORA,CERN-CORONA,CERN-CREAM,CERN-CVMFS,CERN-HW6,CERN-L,CERN-LSF,CERN-MIRAGE,CERN-SHA2,CERN-SIRIUS,CERN-TEST,CERN-TRITON,CERN-VM6,CERN-W5,CERN-ZENITH,CERN_HLT,CERN_HLTDEV,CERN_PLANCTON,CNAF,CNAF-CREAM,CNAF-DUE,CNAF_glexec,COMSATS,CSC,Cagliari,Catania,Catania-VF,Cibinong,Clermont,Cloud,CondorCloud,CondorSite,CyberSar,CyberSar-CREAM,Cyfronet,DCSC_KU,Dortmund,FZK,FZK-KIT,FZK_CREAM,FZK_glexec,GRIF_IPNO,GRIF_IRFU,GRIF_IRFU-CVMFS,GRIF_IRFU_ARC,GRIF_IRFU_SHARED,GSI,GSI-CREAM,GSI-SCLAB,GSI-SE2,GSI-SGE,GSI_2,Grenoble,HHLR_GU,HIP,Hiroshima,ICYB,ICYB_ARC,IHEP,IHEP-CREAM,IPNL,ISMA,ISS,ISS_LCG,ITEP,ITEP-CREAM,JINR,JINR-CREAM,KFKI,KISTI-CREAM,KISTI_GSDC,KISTI_GSDC-T1,KNU,KPI,Kolkata,Kolkata-CREAM,Kosice,LBL,LLNL,LUNARC,Legnaro,Legnaro-CREAM,MEPHI,Madrid,NECTEC,NERSC,NIHAM,NIKHEF,NIPNE,NSC,ORNL,ORNL_Titan,OSC,Oxford,PAKGRID,PDC,PLANCTON,PNPI,Poznan,Prague,Prague-CREAM,RAL,RAL-WMS,RAL_ARC,RRC-KI,RRC_KI_T1,SARA,SGE,SINP,SNIC,SPbSU,SPbSU-CC,SPbSU-CREAM,SUT,SaoPaulo,Strasbourg_IRES,Subatech,Subatech_CCIPL,TACC,Talca,Torino,Torino-CREAM,Torino-Torrent,TriGrid,TriGrid_Catania,Trieste,Troitsk,Troitsk-CREAM,Trujillo,Tsukuba,UF,UNAM,UNAM_T1,UPB,UiB,Vienna,WONDERLAND,WUT,Wuhan,Yerevan,ZA_CHPC,_TOTALS_,pcalice92.cern.ch
1153640695,,,,,,,,,,,,,33950.256554491934,,,,10214.329768453945,,,,,,61191.44080874762,,,,,,,,,,,,,83335.2351692017,,,,,,5043.362303490584,23245.017145396156,,,,,,,,,,,,15794.704779011006,,,,,,,,,4910.023081721169,,,,,,,,,,,,2157.430008219823,,,,16938.57109883251,,2877.880080714603,,,,,,,,,,,,,,,,13041.045905209734,,,,,,32330.58163460633,7123.01673430278,,,,,7848.051122486847,,,,,5415.6933730572555,,,,8875.914365646704,,,,,,,7098.194328424238,,,,,,,,627.947799339841,,,,,,,,,,,,,,,,,,1.1361732205014625,,,,,,,388013.9767669795,
1155789001,,,,1011.4162612259745,,,,,,441.9264597106438,,,73111.65110797172,,,,20722.816188004752,,,,,,118282.27629062056,,,,,,,,,,,,,174500.1383008473,,,,,,11203.858430525252,34552.784851705954,,,,,,,,,,,,96664.18094976197,,,,,,,,,8973.93734306499,,,,,,,,,,,,5241.849668580315,,,,34572.89156059618,,5834.141469030798,,,,,,,,,,,,,,,,18365.572174838708,,,28589.061332842688,,,74532.14559087867,16565.815917620785,,,,,16230.0203552539,,,,,12771.463049394137,,,,14097.424975410193,,,,,,,22368.107201542927,,,,,,,,1539.0980701945593,,,,,,,,,,,,,,,,,,698.7154879030704,,,,,,,892004.7925726197,
1157937308,,,,2353.5343950491915,,,,,,2011.8839207182798,,,107048.78544283529,,,,22969.33077367032,,,,,,201692.49933489636,,,,,,,,,,,,,260365.18652203036,,,,,,17308.772116281823,57729.773049504605,,,,,,,,,,,,183204.41293606532,,,,,,,,,10240.226170968066,,,,,,,,,,,,11357.002217611385,,,,56106.31471562426,,9727.923228984584,,,,,,,,1501.0228872494508,,,,,,,,35112.577548797104,,,61875.558421072514,,,128598.52117994279,24423.78256666589,,,,,22659.4935112333,,,,,22496.19219357368,,,,15702.473534844368,,,,,,,36677.483033364435,,,,,,,,2909.2064110258398,,,,,,,,,,,,,,,,,,2332.345182095081,,,,,,,1470084.4621792194,
1160085615,,,,5621.979696400426,,,,,,5675.336510862474,,,161092.5833330008,,,,23060.40017583363,,,,,,291426.6404708086,,,,,,,,,,,,,359264.4455534468,,,,,,22677.73182762335,97829.68458994223,,,,,,,,,,,,207923.97866205947,,,,,,,,,13331.223534252098,,,,,,,,,,,,18540.444521993377,,,,84319.56619694996,,14712.183592543892,,,,,,,,4247.4410157182365,,,,,11.321032367256246,,,62340.485322393,,,103186.44580767443,,,184323.52385367395,34992.60710036617,,,,,27786.97771391409,,,,,31943.55540184237,,,,19751.751720119406,,,,,,,46662.03443763516,,,,,,,,3849.031735612582,,,,,,,,,,,,,,,,,,3407.4052959900764,,,,,,,2071595.3695002205,
1162233921,,,,9555.415562450275,,,,,,9723.693795518115,,,208485.6492487252,,,,23157.711054059313,,,,,,373928.289943021,,,,,,,,,,,,,459286.35403128696,,,,,,27027.95085317488,137532.14650817218,,,,,,,,,,,,252703.05100004477,,,,,,,,,16776.399820108138,,,,,,,,,,,,22859.31729207991,,,,116650.39867412136,,19466.3111373997,,,,,,,,6123.719340294801,,,,152.83338131624757,3316.098870190551,,,84322.81378132208,,,136104.4833377588,,,238811.92582120933,52904.63997925955,,,,,33079.57663531875,,,,,37313.99489933905,,,,27993.954091918426,,,,,,,52573.57744248127,,,,,,,,,,,,,,,,,,,,,,,,,,3764.6048084275913,,,,,,,2694135.342298351,
1164382228,,,,14542.537133308342,,,,,,13969.626230298434,,,232793.56754012452,,,,23234.754342770088,,,,,,452770.6179098888,,,,,,,,,,,,,550300.6155602157,,,,,,30319.10381481861,174026.29312852342,,,0.01595073595516539,,,,,,,,,304625.9518523504,,,,,,,,,18396.86757058322,,,,,,,,,,,,23270.045128831247,,,,156873.6203338062,,23704.26873134358,,,,231.28132697874997,,,,7811.552863485923,,,,203.77784175499676,10781.748755468796,,,100934.32342470721,,,171377.83360741936,,,313879.8967979324,74427.09872755937,,,,,37310.267326506044,,,,,39040.24451508189,,,,37977.6035602708,,,,,,,56420.42279554068,,,,,,,,3849.031735612582,,,,,,,,,,,,1902.9464289632983,,,,,,4245.718921479711,,,,,,,3320242.731983939,
1166530535,,,,23071.721102775286,,,,,,18278.00480894738,,,250204.27917135408,,,,23338.798857645783,,,,,,646709.979443271,,,,,,,,,,,,,663061.8705799588,,,,,,34018.55255563356,219689.04631207892,,,0.021267647940220517,,,,,,,,,407948.8282357613,,,,,,,,,19700.80457911858,,,,,,,,,,,,23270.045128831247,,,,202982.38898755,,27730.971719812504,,,,608.2738688425,,,,9335.801933045474,,,,430.89089529650363,23979.77342488252,,,119749.85527800997,,,219220.32898581363,,,415684.23625147407,95759.6896675679,,,,,38980.837382075755,,,,,39558.382311984,,,,50146.18841719347,,,,,,,61983.591178397546,,,,,,,,4177.86749212032,,,,,,,,,,,,4108.911866197425,,,,,,4682.53423742721,,,,,,,4219066.862857383,
1168678842,,,,30062.02068232158,,,,,,19925.98933538335,,,256075.4971735716,,,,23592.243960932,,,,,,852416.621972443,,,,,,,,,,,,,744882.0367353709,,,,,,37543.11579491172,259195.91376444115,,,6397.928173171311,,,,,,,,,526039.8361791256,,,,,,,,,21500.42852080772,,,,,,,,,,,,23276.360945496825,,,,240323.49788591222,,30118.85019525277,,,,2149.618913496469,,,,9820.934359986783,,,,904.6634591580204,39815.69317514119,,,133952.30174165164,,,258105.74574407656,,,507165.7505488084,116872.41776321988,,,,,40971.756439913675,,,,,43945.07791806129,,,,60935.4511298808,,,,,,,64725.412086572454,,,,,,,,6816.330278957306,,,,,,,,,,,,6599.90704350315,,,,,,4990.863797919271,,,,,,,5079475.970293064,
1170827148,,,,35950.916912042136,,,,,,21172.012264726374,,,277728.7301976112,,,,23876.036435818,,,,,,964336.9587951091,,,,,,,,,,,,,848040.3442316009,,,,,,39596.27427283448,287981.2160263517,,,43523.49438784091,,,,,,,,,609224.8657261318,,,,,,,,,22459.480365057865,,,,,,,,,,,,26312.414285900588,,,,272344.3846685858,,33235.84745871907,,,,3823.693896116685,,,,9846.631913078243,,,,1710.5909568972463,51165.63473864382,,,148661.20491014645,,,286818.74043955014,,,585901.6929499025,136354.69977542147,,,,,41930.24388828497,,,,,49661.83517107164,,,,71303.23457378968,,,,,,,64725.42630198058,,,,,,,,22029.482061985495,,,,,,,,,,,,12117.557884938418,,,,,,5174.191936201515,,,,,,,5817558.21334588,
1172975455,,,,43837.86625123308,,,,,,25182.499683373397,,,324228.555591017,,,,24007.855017622052,,,,,,1146404.9041387562,,,,,,,,,,,,,987979.5635064782,,,,,,43678.72004738652,316045.70880020695,,,102765.15463033905,,,,,,,,,727803.2271644197,,,,,,,,,24437.92882323755,,,,,,,,,,,,36897.04854340536,,,,308694.8240645369,,40320.91238518113,,,,6114.510331866504,,,,10001.113452519516,,,,3499.25818191414,63400.97981576888,,,176305.34811315854,,,310716.95223509916,,,666942.1000195745,157280.273233545,,,,,42602.89685534222,,,,,67079.23036735792,,,,88600.97633229138,,,,,,,71640.66606831668,,,,,,,,77341.44622717393,,,,,,,,,,,,24737.129146467676,,,,,,5226.020716405133,,,,,,,6890571.791800043,
