=> CSV Dump from EGI accounting portal for the period 12/2014 to 12/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,23193808.1652,,,23193808.1652
CH-CERN,22428052.2953,4332179.1330,10880331.9391,12763476.6433,50404040.0107
DE-KIT,50900414.7775,11679725.7921,14263862.1432,26742099.1978,103586101.9106
ES-PIC,,3371460.3312,4670667.5876,16044068.7231,24086196.6419
FR-CCIN2P3,15816510.7352,5878271.7708,4510260.2605,28667956.8789,54872999.6454
IT-INFN-CNAF,17618077.8294,7984464.4410,11460261.9533,27065735.3758,64128539.5995
KR-KISTI-GSDC,11266401.9668,,,,11266401.9668
NDGF,14508215.9847,4735690.8741,,,19243906.8588
NL-T1,11812679.5517,10380467.3108,,14651817.8570,36844964.7195
NRC-KI-T1,9028617.4730,1850364.1305,,16180324.5438,27059306.1473
RU-JINR-T1,,,3811534.2510,,3811534.251
TW-ASGC,,455614.4963,433.7304,,456048.2267
UK-T1-RAL,18539624.0258,8860513.5997,7297679.8182,24146231.0264,58844048.4701
US-FNAL-CMS,,,52460816.0000,,52460816
US-T1-BNL,,24738940.0000,0.0000,,24738940
Total,171918594.6394,107461500.0447,109355847.6833,166261710.2461,554997652.6135
