CSV Dump from EGI accounting portal for the period 12/2014 to 12/2014
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2014 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,2928191.2511,0,0,2928191.2511
,,34000,17707200,Total,0,2928191.2511,0,0,2928191.2511,16.536726592008
,,,,WallClock,,237689.2164,,,237689.2164
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,132215.4992,0,0,132215.4992
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,3497576.7606,0,3497576.7606
,,27428,14284502.4,Total,0,132215.4992,3497576.7606,0,3629792.2598,25.410701459226
,,,,WallClock,,21018.7308,405332.2743,,426351.0051
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,2603919.6142,0,2603919.6142
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,1111146.2327,0,1111146.2327
,,67200,34997760,Total,0,0,3715065.8469,0,3715065.8469,10.615153218092
,,,,WallClock,,,643282.4191,,643282.4191
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,2381228.0000,0,2381228
,,54792,28535673.6,Total,0,0,2381228,0,2381228,8.3447408089221
,,,,WallClock,,,310690,,310690
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,1752627.6925,0,0,1752627.6925
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,2970948.6912,0,0,2970948.6912
,,42500,22134000,Total,0,4723576.3837,0,0,4723576.3837,21.340816769224
,,,,WallClock,,358227.0072,,,358227.0072
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,2799239.4595,0,0,2799239.4595
Canada,CA-WEST-T2,,,SFU-LCG2,0,1379170.4798,0,0,1379170.4798
,,42500,22134000,Total,0,4178409.9393,0,0,4178409.9393,18.877789551369
,,,,WallClock,,475098.4783,,,475098.4783
China,CN-IHEP,,,BEIJING-LCG2,0,49372.9620,1939783.8561,0,1989156.8181
,,38400,19998720,Total,0,49372.962,1939783.8561,0,1989156.8181,9.9464206614223
,,,,WallClock,,6972.1317,208770.5834,,215742.7151
Czech Republic,CZ-Prague-T2,,,praguelcg2,9743980.2389,3221578.2916,0,0,12965558.5305
,,48000,24998400,Total,9743980.2389,3221578.2916,0,0,12965558.5305,51.865553517425
,,,,WallClock,3170407.6497,1174598.2444,,,4345005.8941
Estonia,EE-NICPB,,,T2_Estonia,0,0,1051332.8027,0,1051332.8027
,,180000,93744000,Total,0,0,1051332.8027,0,1051332.8027,1.121493431793
,,,,WallClock,,,160774.7056,,160774.7056
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,966196.6875,0,966196.6875
,,25200,13124160,Total,0,0,966196.6875,0,966196.6875,7.3619697374918
,,,,WallClock,,,113360.9314,,113360.9314
France,FR-GRIF,,,GRIF,21503396.3565,4995018.5501,5362604.2421,3286561.9172,35147581.0659
,,146248,76165958.4,Total,21503396.3565,4995018.5501,5362604.2421,3286561.9172,35147581.0659,46.146049763223
,,,,WallClock,2188292.8213,634107.4816,651339.6366,420007.7905,3893747.73
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,2463243.1905,100558.1545,0,2563801.345
,,69400,36143520,Total,0,2463243.1905,100558.1545,0,2563801.345,7.0933914156673
,,,,WallClock,,270406.5544,12146.4707,,282553.0251
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,5740018.8412,0,3052291.5083,8792310.3495
,,24056,12528364.8,Total,0,5740018.8412,0,3052291.5083,8792310.3495,70.179233202884
,,,,WallClock,,456148.0912,,283540.5367,739688.6279
France,FR-IN2P3-IPHC,,,IN2P3-IRES,5336304.6737,0,1991847.8886,0,7328152.5623
,,50000,26040000,Total,5336304.6737,0,1991847.8886,0,7328152.5623,28.141906921275
,,,,WallClock,535845.7061,,208569.82,,744415.5261
France,FR-IN2P3-LAPP,,,IN2P3-LAPP,0,3325742.2782,0,2235371.6800,5561113.9582
,,48800,25415040,Total,0,3325742.2782,0,2235371.68,5561113.9582,21.881193018779
,,,,WallClock,,307945.3383,,204956.8783,512902.2166
France,FR-IN2P3-LPC,,,IN2P3-LPC,4327742.6329,3131781.2969,0,2797062.1959,10256586.1257
,,39080,20352864,Total,4327742.6329,3131781.2969,0,2797062.1959,10256586.1257,50.393822342153
,,,,WallClock,519374.2744,360933.9349,,303088.0506,1183396.2599
France,FR-IN2P3-LPSC,,,IN2P3-LPSC,2029618.2123,2222235.1448,0,0,4251853.3571
,,24576,12799180.8,Total,2029618.2123,2222235.1448,0,0,4251853.3571,33.21973041509
,,,,WallClock,313234.9488,288453.8617,,,601688.8105
France,FR-IN2P3-SUBATECH,,,IN2P3-SUBATECH,2948034.6674,0,0,0,2948034.6674
,,12000,6249600,Total,2948034.6674,0,0,0,2948034.6674,47.171573659114
,,,,WallClock,344725.2007,,,,344725.2007
Germany,DE-DESY-ATLAS-T2,,,DESY-HH,0,17046316.3503,0,0,17046316.3503
Germany,DE-DESY-ATLAS-T2,,,DESY-ZN,0,3209183.1528,0,0,3209183.1528
,,62400,32497920,Total,0,20255499.5031,0,0,20255499.5031,62.328602886277
,,,,WallClock,,1796540.0539,,,1796540.0539
Germany,DE-DESY-GOE-ATLAS-T2,,,GoeGrid,0,3603327.0851,0,0,3603327.0851
,,26000,13540800,Total,0,3603327.0851,0,0,3603327.0851,26.610887725245
,,,,WallClock,,582529.833,,,582529.833
Germany,DE-DESY-LHCB,,,DESY-ZN,0,0,0,31.2375,31.2375
,,12800,6666240,Total,0,0,0,31.2375,31.2375,0.00046859248991935
,,,,WallClock,,,,102.1786,102.1786
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-HH,0,0,27943214.3346,0,27943214.3346
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-ZN,0,0,0.0000,0,0
Germany,DE-DESY-RWTH-CMS-T2,,,RWTH-Aachen,0,0,3977175.4010,0,3977175.401
,,121600,63329280,Total,0,0,31920389.7356,0,31920389.7356,50.403841217838
,,,,WallClock,,,3221924.9043,,3221924.9043
Germany,DE-FREIBURGWUPPERTAL,,,UNI-FREIBURG,0,3481831.3195,0,0,3481831.3195
Germany,DE-FREIBURGWUPPERTAL,,,wuppertalprod,0,1351878.4925,0,0,1351878.4925
,,52000,27081600,Total,0,4833709.812,0,0,4833709.812,17.84868623715
,,,,WallClock,,451503.3906,,,451503.3906
Germany,DE-GSI,,,GSI-LCG2,0,0,0,0,0
,,28000,14582400,Total,0,0,0,0,0
,,,,WallClock,,,,,
Germany,DE-MCAT,,,LRZ-LMU,0,4430613.7286,0,0,4430613.7286
Germany,DE-MCAT,,,MPPMU,0,2876657.6724,0,0,2876657.6724
,,52000,27081600,Total,0,7307271.401,0,0,7307271.401,26.982421278654
,,,,WallClock,,625638.9702,,,625638.9702
Greece,GR-GRIDLAB-KAVALA,,,GR-12-TEIKAV,0,0,0,0,0
,,5488,2858150.4,Total,0,0,0,0,0
,,,,WallClock,,,,,
Greece,GR-Ioannina-HEP,,,GR-07-UOI-HEPLAB,0,0,0,0,0
,,7480,3895584,Total,0,0,0,0,0
,,,,WallClock,,,,,
Hungary,HU-HGCC-T2,,,BUDAPEST,2314642.3062,0,1026117.0888,0,3340759.395
