Time,ALICE::BITP::SE,ALICE::Bari::SE,ALICE::Birmingham::SE,ALICE::Bratislava::SE,ALICE::CCIN2P3::SE,ALICE::CCIN2P3::TAPE,ALICE::CERN::CASTOR2,ALICE::CERN::DPM,ALICE::CERN::EOS,ALICE::CERN::OCDB,ALICE::CERN::T0ALICE,ALICE::CNAF::SE,ALICE::CNAF::TAPE,ALICE::Catania::SE,ALICE::Clermont::SE,ALICE::CyberSar_Cagliari::SE,ALICE::Cyfronet::XRD,ALICE::FZK::SE,ALICE::FZK::TAPE,ALICE::GRIF_IPNO::SE,ALICE::GRIF_IRFU::DPM,ALICE::GSI::SE2,ALICE::Grenoble::SE,ALICE::Hiroshima::SE,ALICE::IHEP::SE,ALICE::IPNL::SE,ALICE::ISMA::SE,ALICE::ISS::FILE,ALICE::ITEP::SE,ALICE::JINR::EOS,ALICE::JINR::SE,ALICE::KFKI::SE,ALICE::KISTI_GSDC::SE2,ALICE::KISTI_GSDC::TAPE,ALICE::Kolkata::EOS,ALICE::Kolkata::SE,ALICE::Kosice::SE,ALICE::LBL::EOS,ALICE::Legnaro::SE,ALICE::MEPHI::EOS,ALICE::NDGF::DCACHE,ALICE::NDGF::DCACHE_TAPE,ALICE::NIHAM::FILE,ALICE::ORNL::EOS,ALICE::PNPI::SE,ALICE::Poznan::SE,ALICE::Prague::SE,ALICE::RAL::SE,ALICE::RAL::TAPE,ALICE::RRC-KI::SE,ALICE::RRC_KI_T1::DCACHE_TAPE,ALICE::RRC_KI_T1::EOS,ALICE::SARA::DCACHE,ALICE::SARA::DCACHE_TAPE,ALICE::SNIC::DCACHE,ALICE::SPbSU::EOS,ALICE::SPbSU::SE,ALICE::SUT::SE,ALICE::SaoPaulo::SE,ALICE::Strasbourg_IRES::SE,ALICE::Subatech::EOS,ALICE::Torino::SE,ALICE::Trieste::SE,ALICE::Troitsk::SE,ALICE::Trujillo::SE,ALICE::Tsukuba::SE,ALICE::UNAM_T1::EOS,ALICE::ZA_CHPC::EOS,ALICE::ZA_CHPC::SE
1467519642,14806.3701,95013.3594,177559.625,183685.984,1704863.1199999999,1773720.8800000001,50772.4453,,8213838.0,47755.3906,2.2586714E7,1991370.3800000001,3823747.0,776647.0,250513.422,10948.3906,22550.75,1856148.6199999999,4550770.0,535070.3120000002,368525.844,934841.562,238588.609,344679.469,228563.078,44843.4805,15755.6455,190210.297,94493.99219999998,,306661.375,192536.016,880475.938,1633380.1199999999,11.9044971,87800.7266,318404.188,86795.0859,956403.188,10.9621344,1565422.1199999999,792206.062,723363.5,496576.25,30212.2793,100790.531,1461726.0,168278.922,822166.5,264614.2189999999,1413312.5,176691.656,233528.266,242806.672,293259.1560000001,6572.442870000001,19401.7227,51406.7773,135238.79699999996,106678.789,297963.4060000001,522826.5,26727.9375,72188.4375,19204.3086,7.257133960000001,148859.359,4315.33691,
1467537034,14806.3701,95013.3594,177559.625,183685.984,1704863.1199999999,1773720.8800000001,50772.4453,,8213838.0,47755.3906,2.2586714E7,1991370.3800000001,3823747.0,776647.0,250513.422,10948.3906,22550.75,1856148.6199999999,4550770.0,535070.3120000002,368525.844,934841.562,238588.609,344679.469,228563.078,44843.4805,15755.6455,190210.297,94493.99219999998,,306661.375,192536.016,880475.938,1633380.1199999999,11.9044971,87800.7266,318404.188,86795.0859,956403.188,10.9621344,1565422.1199999999,792206.062,723363.5,496576.25,30212.2793,100790.531,1461726.0,168278.922,822166.5,264614.2189999999,1413312.5,176691.656,233528.266,242806.672,293259.156,6572.442870000001,19401.7227,51406.7773,135238.79699999996,106678.789,297963.406,522826.5,26727.9375,72188.4375,19204.3086,7.257133960000001,148859.359,4315.33691,
1467554426,14806.3701,95013.3594,177559.625,183685.984,1704863.1199999999,1773720.8800000001,50772.4453,,8213838.0,47755.3906,2.2586714E7,1991370.3800000001,3823747.0,776647.0,250513.422,10948.3906,22550.75,1856148.6199999999,4550770.0,535070.3120000002,368525.844,934841.562,238588.609,344679.469,228563.078,44843.4805,15755.6455,190210.297,94493.99219999998,,306661.375,192536.016,880475.938,1633380.1199999999,11.9044971,87800.7266,318404.188,86795.0859,956403.188,10.9621344,1565422.1199999999,792206.062,723363.5,496576.25,30212.2793,100790.531,1461726.0,168278.922,822166.5,264614.2189999999,1413312.5,176691.656,233528.266,242806.672,293259.156,6572.44287,19401.7227,51406.7773,135238.79699999996,106678.789,297963.406,522826.5,26727.9375,72188.4375,19204.3086,7.257133960000001,148859.359,4315.33691,
1467571818,14806.3701,95013.3594,177559.625,183685.984,1704863.1199999999,1773720.8800000001,50772.4453,,8213838.0,47755.3906,2.2586714E7,1991370.3800000001,3823747.0,776647.0,250513.422,10948.3906,22550.75,1856148.6199999999,4550770.0,535070.3120000002,368525.844,934841.562,238588.609,344679.469,228563.078,44843.4805,15755.6455,190210.297,94493.99219999998,,306661.375,192536.016,880475.938,1633380.1199999999,11.9044971,87800.7266,318404.188,86795.0859,956403.188,10.9621344,1565422.1199999999,792206.062,723363.5,496576.25,30212.2793,100790.531,1461726.0,168278.922,822166.5,264614.2189999999,1413312.5,176691.656,233528.266,242806.672,293259.156,6572.442870000001,19401.7227,51406.7773,135238.79699999996,106678.789,297963.406,522826.5,26727.9375,72188.4375,19204.3086,7.257133960000001,148859.359,4315.33691,
1467589211,14806.3701,95013.3594,177559.625,183685.984,1704863.1199999999,1773720.8800000001,50772.4453,,8213838.0,47755.3906,2.2586714E7,1991370.3800000001,3823747.0,776647.0,250513.422,10948.3906,22550.75,1856148.6199999999,4550770.0,535070.312,368525.844,934841.562,238588.609,344679.469,228563.078,44843.4805,15755.6455,190210.297,94493.99219999998,,306661.375,192536.016,880475.938,1633380.1199999999,11.9044971,87800.7266,318404.188,86795.0859,956403.188,10.9621344,1565422.1199999999,792206.062,723363.5,496576.25,30212.2793,100790.531,1461726.0,168278.922,822166.5,264614.219,1413312.5,176691.656,233528.266,242806.672,293259.156,6572.442870000001,19401.7227,51406.7773,135238.797,106678.789,297963.406,522826.5,26727.9375,72188.4375,19204.3086,7.257133960000001,148859.359,4315.33691,
1467606603,14806.3701,95013.3594,177559.625,183685.984,1704863.1199999999,1773720.8800000001,50772.4453,,8213838.0,47755.3906,2.2586714E7,1991370.3800000001,3823747.0,776647.0,250513.422,10948.3906,22550.75,1856148.6199999999,4550770.0,535070.312,368525.844,934841.562,238588.609,344679.469,228563.078,44843.4805,15755.6455,190210.297,94493.99219999998,,306661.375,192536.016,880475.938,1633380.1199999999,11.9044971,87800.7266,318404.188,86795.0859,956403.188,10.9621344,1565422.1199999999,792206.062,723363.5,496576.25,30212.2793,100790.531,1461726.0,168278.922,822166.5,264614.219,1413312.5,176691.656,233528.266,242806.672,293259.156,6572.442870000001,19401.7227,51406.7773,135238.797,106678.789,297963.406,522826.5,26727.9375,72188.4375,19204.3086,7.257133960000001,148859.359,4315.33691,
1467623995,14806.3701,95013.3594,177559.625,183685.984,1704863.1199999999,1773720.8800000001,50772.4453,,8213838.0,47755.3906,2.2586714E7,1991370.3800000001,3823747.0,776647.0,250513.422,10948.3906,22550.75,1856148.6199999999,4550770.0,535070.312,368525.844,934841.562,238588.609,344679.469,228563.078,44843.4805,15755.6455,190210.297,94493.99219999998,,306661.375,192536.016,880475.938,1633380.1199999999,11.9044971,87800.7266,318404.188,86795.0859,956403.188,10.9621344,1565422.1199999999,792206.062,723363.5,496576.25,30212.2793,100790.531,1461726.0,168278.922,822166.5,264614.219,1413312.5,176691.656,233528.266,242806.672,293259.156,6572.442870000001,19401.7227,51406.7773,135238.797,106678.789,297963.406,522826.5,26727.9375,72188.4375,19204.3086,7.257133960000001,148859.359,4315.33691,
1467641387,14806.3701,95013.3594,177559.625,183685.984,1704863.1199999999,1773720.8800000001,50772.4453,,8213838.0,47755.3906,2.2586714E7,1991370.3800000001,3823747.0,776647.0,250513.422,10948.3906,22550.75,1856148.6199999999,4550770.0,535070.312,368525.844,934841.562,238588.609,344679.469,228563.078,44843.4805,15755.6455,190210.297,94493.99219999998,,306661.375,192536.016,880475.938,1633380.1199999999,11.9044971,87800.7266,318404.188,86795.0859,956403.188,10.9621344,1565422.1199999999,792206.062,723363.5,496576.25,30212.2793,100790.531,1461726.0,168278.922,822166.5,264614.219,1413312.5,176691.656,233528.266,242806.672,293259.156,6572.442870000001,19401.7227,51406.7773,135238.797,106678.789,297963.406,522826.5,26727.9375,72188.4375,19204.3086,7.257133960000001,148859.359,4315.33691,
1467658779,14806.3701,95013.3594,177559.625,183685.984,1704863.1199999999,1773720.8800000001,50772.4453,,8213838.0,47755.3906,2.2586714E7,1991370.3800000001,3823747.0,776647.0,250513.422,10948.3906,22550.75,1856148.6199999999,4550770.0,535070.312,368525.844,934841.562,238588.609,344679.469,228563.078,44843.4805,15755.6455,190210.297,94493.99219999998,,306661.375,192536.016,880475.938,1633380.1199999999,11.9044971,87800.7266,318404.188,86795.0859,956403.188,10.9621344,1565422.1199999999,792206.062,723363.5,496576.25,30212.2793,100790.531,1461726.0,168278.922,822166.5,264614.219,1413312.5,176691.656,233528.266,242806.672,293259.156,6572.44287,19401.7227,51406.7773,135238.797,106678.789,297963.406,522826.5,26727.9375,72188.4375,19204.3086,7.257133960000001,148859.359,4315.33691,
1467676172,14806.3701,95013.3594,177559.625,183685.984,1704863.1199999999,1773720.8800000001,50772.4453,,8213838.0,47755.3906,2.2586714E7,1991370.3800000001,3823747.0,776647.0,250513.422,10948.3906,22550.75,1856148.6199999999,4550770.0,535070.312,368525.844,934841.562,238588.609,344679.469,228563.078,44843.4805,15755.6455,190210.297,94493.99219999998,,306661.375,192536.016,880475.938,1633380.1199999999,11.9044971,87800.7266,318404.188,86795.0859,956403.188,10.9621344,1565422.1199999999,792206.062,723363.5,496576.25,30212.2793,100790.531,1461726.0,168278.922,822166.5,264614.219,1413312.5,176691.656,233528.266,242806.672,293259.156,6572.442870000001,19401.7227,51406.7773,135238.797,106678.789,297963.406,522826.5,26727.9375,72188.4375,19204.3086,7.257133960000001,148859.359,4315.33691,
