=> CSV Dump from EGI accounting portal for the period 7/2016 to 7/2016 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,35982784.3584,,,35982784.3584
CH-CERN,120344544.3964,31819610.0803,39018380.2347,24631007.5516,215813542.263
DE-KIT,30599296.8915,24384769.1496,16854187.0357,25057809.8695,96896062.9463
ES-PIC,,14832923.3603,13902678.1742,7937397.1315,36672998.666
FR-CCIN2P3,18323709.4882,33131510.1089,23519687.9152,21482886.3983,96457793.9106
IT-INFN-CNAF,31675649.4385,22566865.5527,22671684.2764,27801657.5363,104715856.8039
KR-KISTI-GSDC,21291342.4100,,,,21291342.41
NDGF,10910759.6886,24370064.6810,,,35280824.3696
NL-T1,28871802.1524,32657537.5312,,17314631.9216,78843971.6052
NRC-KI-T1,24919508.8369,21620088.7869,,12479384.7741,59018982.3979
RU-JINR-T1,,,26067340.8702,,26067340.8702
TW-ASGC,,16246637.0887,,,16246637.0887
UK-T1-RAL,37457538.3444,39872553.1700,9313355.7981,36789922.8104,123433370.1229
US-FNAL-CMS,,,107185602.5740,,107185602.574
US-T1-BNL,,82251667.8852,105.5500,,82251773.4352
Total,324394151.6469,379737011.7532,258533022.4285,173494697.9933,1136158883.8219
