=> CSV Dump from EGI accounting portal for the period 12/2015 to 12/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,38390217.0045,,,38390217.0045
CH-CERN,51338375.6800,23764985.0425,35620331.8624,11053580.9239,121777273.5088
DE-KIT,16750057.1385,21937653.3812,12875142.9039,16326504.8328,67889358.2564
ES-PIC,,12481698.0819,8620423.3900,4128883.8433,25231005.3152
FR-CCIN2P3,9969897.0311,29537832.1352,6213780.0359,18851375.1926,64572884.3948
IT-INFN-CNAF,20746471.7031,25484787.6327,29496811.1794,17778152.7422,93506223.2574
KR-KISTI-GSDC,8685939.7892,,,,8685939.7892
NDGF,9872930.2569,13160114.9231,,,23033045.18
NL-T1,15924152.5520,40198706.2051,,9578666.4622,65701525.2193
NRC-KI-T1,22203529.0448,24045768.9436,,10983635.3819,57232933.3703
RU-JINR-T1,,,18516869.9305,,18516869.9305
TW-ASGC,,13530053.2830,,,13530053.283
UK-T1-RAL,10712579.5020,48670948.7671,8078585.3749,7002255.7759,74464369.4199
US-FNAL-CMS,,26002.1031,82003604.9938,,82029607.0969
US-T1-BNL,,89767938.2158,46.3357,,89767984.5515
Total,166203932.6976,380996705.7188,201425596.0065,95703055.1548,844329289.5777
