CSV Dump from EGI accounting portal for the period 2/2015 to 2/2015
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2014 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,4971426.1631,0,0,4971426.1631
,,34000,15993600,Total,0,4971426.1631,0,0,4971426.1631,31.083847058198
,,,,WallClock,,339911.8356,,,339911.8356
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,156008.0193,0,0,156008.0193
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,3008859.7440,0,3008859.744
,,27428,12902131.2,Total,0,156008.0193,3008859.744,0,3164867.7633,24.529806078084
,,,,WallClock,,25954.4953,437406.819,,463361.3143
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,3600528.1082,0,3600528.1082
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,2203637.4522,0,2203637.4522
,,67200,31610880,Total,0,0,5804165.5604,0,5804165.5604,18.361290670807
,,,,WallClock,,,887738.8555,,887738.8555
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,2090024.0000,0,2090024
,,54792,25774156.8,Total,0,0,2090024,0,2090024,8.108990785685
,,,,WallClock,,,223748,,223748
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,8312126.1790,0,0,8312126.179
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,5023855.0289,0,0,5023855.0289
,,42500,19992000,Total,0,13335981.2079,0,0,13335981.2079,66.70658867497
,,,,WallClock,,933782.2136,,,933782.2136
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,7495585.9385,0,0,7495585.9385
Canada,CA-WEST-T2,,,SFU-LCG2,0,2096522.8351,0,0,2096522.8351
,,42500,19992000,Total,0,9592108.7736,0,0,9592108.7736,47.979735762305
,,,,WallClock,,792789.4942,,,792789.4942
China,CN-IHEP,,,BEIJING-LCG2,0,49171.0098,1969642.9127,0,2018813.9225
,,38400,18063360,Total,0,49171.0098,1969642.9127,0,2018813.9225,11.176292353693
,,,,WallClock,,5511.0917,252012.461,,257523.5527
Czech Republic,CZ-Prague-T2,,,praguelcg2,10091160.4622,5588083.7895,0,0,15679244.2517
,,48000,22579200,Total,10091160.4622,5588083.7895,0,0,15679244.2517,69.441097344902
,,,,WallClock,3254881.0476,1411232.6844,,,4666113.732
Estonia,EE-NICPB,,,T2_Estonia,0,0,3711325.5109,0,3711325.5109
,,180000,84672000,Total,0,0,3711325.5109,0,3711325.5109,4.3831792220569
,,,,WallClock,,,479495.8901,,479495.8901
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,1823499.7914,0,1823499.7914
,,25200,11854080,Total,0,0,1823499.7914,0,1823499.7914,15.382887507086
,,,,WallClock,,,240440.4691,,240440.4691
France,FR-GRIF,,,GRIF,28406295.6553,10151273.0855,7612368.4059,3656130.3544,49826067.5011
,,146248,68795059.2,Total,28406295.6553,10151273.0855,7612368.4059,3656130.3544,49826067.5011,72.426810995607
,,,,WallClock,2877049.078,1113897.3349,861700.3656,464731.1142,5317377.8927
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,3122229.0210,818490.5569,0,3940719.5779
,,69400,32645760,Total,0,3122229.021,818490.5569,0,3940719.5779,12.071152817089
,,,,WallClock,,344717.9071,130290.1678,,475008.0749
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,5107837.8189,0,3667307.4772,8775145.2961
,,24056,11315942.4,Total,0,5107837.8189,0,3667307.4772,8775145.2961,77.546747640744
,,,,WallClock,,397152.9191,,339405.3624,736558.2815
France,FR-IN2P3-IPHC,,,IN2P3-IRES,4941559.3128,0,5576810.9173,0,10518370.2301
,,50000,23520000,Total,4941559.3128,0,5576810.9173,0,10518370.2301,44.72096186267
,,,,WallClock,422806.115,,524358.1085,,947164.2235
France,FR-IN2P3-LAPP,,,IN2P3-LAPP,0,6236810.0067,0,2924412.4232,9161222.4299
,,48800,22955520,Total,0,6236810.0067,0,2924412.4232,9161222.4299,39.908581595625
,,,,WallClock,,560407.7938,,265444.2299,825852.0237
France,FR-IN2P3-LPC,,,IN2P3-LPC,4368043.2666,3671951.2378,0,2384520.5258,10424515.0302
,,39080,18383232,Total,4368043.2666,3671951.2378,0,2384520.5258,10424515.0302,56.706650006919
,,,,WallClock,475794.0358,378843.1056,,246800.3211,1101437.4625
France,FR-IN2P3-LPSC,,,IN2P3-LPSC,1145252.7766,2833794.4009,0,0,3979047.1775
,,24576,11560550.4,Total,1145252.7766,2833794.4009,0,0,3979047.1775,34.419184552839
,,,,WallClock,170849.3814,353722.4573,,,524571.8387
France,FR-IN2P3-SUBATECH,,,IN2P3-SUBATECH,2668468.7692,0,0,0,2668468.7692
,,12000,5644800,Total,2668468.7692,0,0,0,2668468.7692,47.273043672052
,,,,WallClock,322660.7139,,,,322660.7139
