=> CSV Dump from EGI accounting portal for the period 2/2015 to 2/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,26920236.1473,,,26920236.1473
CH-CERN,26583067.0934,13724105.3745,14103163.1797,8634750.8147,63045086.4623
DE-KIT,42801337.2815,19682942.4324,13077264.4300,14805443.2281,90366987.372
ES-PIC,,10977375.8233,6932482.7468,5758909.1360,23668767.7061
FR-CCIN2P3,11926166.4164,18082838.9257,11178510.8465,18129944.3877,59317460.5763
IT-INFN-CNAF,16474067.1578,17666902.8080,15227252.4313,17678629.9208,67046852.3179
KR-KISTI-GSDC,14408196.1572,,,,14408196.1572
NDGF,10172631.8359,3655601.9818,,,13828233.8177
NL-T1,10072269.3573,13609080.0288,,11051619.7378,34732969.1239
NRC-KI-T1,4768209.4994,2631504.9033,,12402458.8140,19802173.2167
RU-JINR-T1,,,5629842.1324,,5629842.1324
TW-ASGC,,1674101.3532,,,1674101.3532
UK-T1-RAL,10572709.9404,20628622.4091,9232676.5672,17568545.9451,58002554.8618
US-FNAL-CMS,,,36639716.0000,,36639716
US-T1-BNL,,38875228.0000,8.0000,,38875236
Total,147778654.7393,188128540.1874,112020916.3339,106030301.9842,553958413.2448
