=> CSV Dump from EGI accounting portal for the period 2/2014 to 2/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,32484324.0000,,,32484324
CH-CERN,22838416.0000,22521752.0000,13168108.0000,12796768.0000,71325044
DE-KIT,10884770.0183,24126970.2100,10282760.5265,9848799.9886,55143300.7434
ES-PIC,,11864052.3727,4632773.4638,3525696.2321,20022522.0686
FR-CCIN2P3,5614788.0000,26398932.0000,5074428.0000,16297872.0000,53386020
IT-INFN-CNAF,11808656.0000,32915696.0000,16948968.0000,18781828.0000,80455148
KR-KISTI-GSDC,1319756.0000,,,,1319756
NDGF,3151992.0000,4852728.0000,,,8004720
NL-T1,2411135.2053,28866700.5052,0.0000,11263119.7679,42540955.4784
NRC-KI-T1,2071878.1800,1266106.2483,,7142871.8834,10480856.3117
RU-JINR-T1,,,4937221.5742,,4937221.5742
TW-ASGC,,16299032.0000,1026012.0000,,17325044
UK-T1-RAL,2354328.8790,24584424.6675,6204914.0837,11606429.5998,44750097.23
US-FNAL-CMS,,,34709748.0000,,34709748
US-T1-BNL,,71404392.0000,,,71404392
Total,62455720.2826,297585110.0037,96984933.6482,91263385.4718,548289149.4063
