=> CSV Dump from EGI accounting portal for the period 8/2016 to 8/2016 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,41507525.3602,,,41507525.3602
CH-CERN,135068328.4429,90148746.7463,38941092.8573,33558986.0822,297717154.1287
DE-KIT,23878353.3334,38124617.2805,8187092.3755,31975859.4581,102165922.4475
ES-PIC,,14721760.6785,6742088.0574,9651069.6441,31114918.38
FR-CCIN2P3,16634804.5121,46502889.8457,16190048.5271,20419544.0641,99747286.949
IT-INFN-CNAF,32575319.5906,34652911.5067,14740164.2411,36244845.8642,118213241.2026
KR-KISTI-GSDC,22919816.9422,,,,22919816.9422
NDGF,10911483.7753,30907936.8048,,,41819420.5801
NL-T1,21761679.8075,39261893.9942,,18251420.5075,79274994.3092
NRC-KI-T1,17135356.9336,12947092.9798,,10414999.7517,40497449.6651
RU-JINR-T1,,,14825924.3216,,14825924.3216
TW-ASGC,,15338614.1712,,,15338614.1712
UK-T1-RAL,22880188.2777,42129206.4276,5206256.8145,47710487.1284,117926138.6482
US-FNAL-CMS,,,57758976.4107,,57758976.4107
US-T1-BNL,,79563953.7706,74.1633,,79564027.9339
Total,303765331.6153,485807149.5661,162591717.7685,208227212.5003,1160391411.4502
