CSV Dump from EGI accounting portal for the period 8/2016 to 8/2016
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2016 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,8231801.5986,0,0,8231801.5986
,,46000,34224000,Total,0,8231801.5986,0,0,8231801.5986,24.052716218443
,,,,WallClock,,391647.313,,,391647.313
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,22918.1411,0,0,22918.1411
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,390790.0103,0,390790.0103
,,47428,35286432,Total,0,22918.1411,390790.0103,0,413708.1514,1.1724284036425
,,,,WallClock,,5895.798,78728.2111,,84624.0091
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,5327619.9879,0,5327619.9879
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,800864.6587,0,800864.6587
,,128000,95232000,Total,0,0,6128484.6466,0,6128484.6466,6.4353207394573
,,,,WallClock,,,280259.5236,,280259.5236
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,1859955.5678,0,1859955.5678
,,100800,74995200,Total,0,0,1859955.5678,0,1859955.5678,2.4800994834336
,,,,WallClock,,,270149.8589,,270149.8589
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,8599934.5635,0,0,8599934.5635
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,7299331.3517,0,0,7299331.3517
,,56600,42110400,Total,0,15899265.9152,0,0,15899265.9152,37.756150298264
,,,,WallClock,,895314.2054,,,895314.2054
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,8393383.0557,0,0,8393383.0557
Canada,CA-WEST-T2,,,SFU-LCG2,0,5700452.9745,0,0,5700452.9745
,,56600,42110400,Total,0,14093836.0302,0,0,14093836.0302,33.468777380885
,,,,WallClock,,794740.9582,,,794740.9582
China,CN-IHEP,,,BEIJING-LCG2,0,1851600.1261,325452.5053,0,2177052.6314
,,46240,34402560,Total,0,1851600.1261,325452.5053,0,2177052.6314,6.3281704367349
,,,,WallClock,,124941.2844,71918.9904,,196860.2748
Czech Republic,CZ-Prague-T2,,,praguelcg2,8235814.8997,12511026.4784,0,0,20746841.3781
,,80000,59520000,Total,8235814.8997,12511026.4784,0,0,20746841.3781,34.856924358367
,,,,WallClock,2258364.6406,1597930.8389,,,3856295.4795
Estonia,EE-NICPB,,,T2_Estonia,0,0,2935858.2929,0,2935858.2929
,,204000,151776000,Total,0,0,2935858.2929,0,2935858.2929,1.9343363199057
,,,,WallClock,,,70728.1572,,70728.1572
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,1838067.1488,0,1838067.1488
,,32000,23808000,Total,0,0,1838067.1488,0,1838067.1488,7.7203761290323
,,,,WallClock,,,225528.5537,,225528.5537
France,FR-GRIF,,,GRIF,20641512.0972,21345444.1438,4920329.7706,7295090.9511,54202376.9627
,,213356,158736864,Total,20641512.0972,21345444.1438,4920329.7706,7295090.9511,54202376.9627,34.146055047868
,,,,WallClock,2238058.2061,1281649.6461,341746.8702,733736.8886,4595191.611
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,0,0,0,0
,,30920,23004480,Total,0,0,0,0,0
,,,,WallClock,,,,,
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,5816496.4554,0,5097770.9057,10914267.3611
,,48000,35712000,Total,0,5816496.4554,0,5097770.9057,10914267.3611,30.561904572973
,,,,WallClock,,408816.8539,,473529.3857,882346.2396
France,FR-IN2P3-IPHC,,,IN2P3-IRES,6699987.8042,0,3761581.1880,0,10461568.9922
,,80000,59520000,Total,6699987.8042,0,3761581.188,0,10461568.9922,17.576560806788
,,,,WallClock,556375.1856,,58590.9744,,614966.16
France,FR-IN2P3-LAPP,,,IN2P3-LAPP,0,6421388.4303,0,556825.3244,6978213.7547
,,70400,52377600,Total,0,6421388.4303,0,556825.3244,6978213.7547,13.322897106206
,,,,WallClock,,224400.5792,,49962.4237,274363.0029
France,FR-IN2P3-LPC,,,IN2P3-LPC,4811410.7792,1874902.8839,0,2667539.7152,9353853.3783
,,68000,50592000,Total,4811410.7792,1874902.8839,0,2667539.7152,9353853.3783,18.488799372035
,,,,WallClock,1171307.0105,201284.08,,222270.9973,1594862.0878
France,FR-IN2P3-LPSC,,,IN2P3-LPSC,2392881.9200,5256761.6567,0,0,7649643.5767
,,41828,31120032,Total,2392881.92,5256761.6567,0,0,7649643.5767,24.581091615523
,,,,WallClock,223584.7914,227491.8922,,,451076.6836
France,FR-IN2P3-SUBATECH,,,IN2P3-SUBATECH,3338905.5867,0,0,0,3338905.5867
,,18000,13392000,Total,3338905.5867,0,0,0,3338905.5867,24.932090701165
