=> CSV Dump from EGI accounting portal for the period 3/2014 to 3/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,45662942.3573,,,45662942.3573
CH-CERN,33989852.0000,12831828.0000,21559004.0000,11311456.0000,79692140
DE-KIT,19053968.9715,25768551.0103,12869404.8834,10842527.9203,68534452.7855
ES-PIC,,11645292.9727,5915257.6522,3260530.2386,20821080.8635
FR-CCIN2P3,13984008.0000,28061900.0000,6025432.0000,4885692.0000,52957032
IT-INFN-CNAF,13900488.0000,26040504.0000,19340268.0000,17758916.0000,77040176
KR-KISTI-GSDC,3101492.4983,,,,3101492.4983
NDGF,4084424.0000,8162236.0000,,,12246660
NL-T1,3569782.5200,21969840.1963,,6392476.7000,31932099.4163
NRC-KI-T1,4533437.5456,2780436.5116,,20003998.6948,27317872.752
RU-JINR-T1,,,5817510.5258,,5817510.5258
TW-ASGC,,15531588.0000,1817096.0000,,17348684
UK-T1-RAL,3709168.8575,28225989.7604,8133777.1543,11715704.0030,51784639.7752
US-FNAL-CMS,,,38518316.0000,,38518316
US-T1-BNL,,72050204.0000,,,72050204
Total,99926622.3929,298731312.8086,119996066.2157,86171301.5567,604825302.9739
