CSV Dump from EGI accounting portal for the period 3/2014 to 3/2014
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2013 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,5277510.0715,0,0,5277510.0715
,,28000,14582400,Total,0,5277510.0715,0,0,5277510.0715,36.190956711515
,,,,WallClock,,497598.7794,,,497598.7794
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,207500.3041,0,0,207500.3041
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,1653136.1151,0,1653136.1151
,,20228,10534742.4,Total,0,207500.3041,1653136.1151,0,1860636.4192,17.661907131208
,,,,WallClock,,31538.7234,245260.4084,,276799.1318
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,5430596.0000,0,5430596
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,2354536.5313,0,2354536.5313
,,48000,24998400,Total,0,0,7785132.5313,0,7785132.5313,31.142523246688
,,,,WallClock,,,1208285.1301,,1208285.1301
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,5591396.0000,0,5591396
,,54792,28535673.6,Total,0,0,5591396,0,5591396,19.594406911074
,,,,WallClock,,,553509,,553509
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,1061632.2461,0,0,1061632.2461
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,5610920.0000,0,0,5610920
,,35500,18488400,Total,0,6672552.2461,0,0,6672552.2461,36.0904796851
,,,,WallClock,,608777.17,,,608777.17
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,8205464.5993,0,0,8205464.5993
Canada,CA-WEST-T2,,,SFU-LCG2,0,6281252.0000,0,0,6281252
,,35500,18488400,Total,0,14486716.5993,0,0,14486716.5993,78.355707358668
,,,,WallClock,,1079620.3777,,,1079620.3777
China,CN-IHEP,,,BEIJING-LCG2,0,3178076.0000,1775436.0000,0,4953512
,,38400,19998720,Total,0,3178076,1775436,0,4953512,24.769145225294
,,,,WallClock,,278466,219161,,497627
Czech Republic,CZ-Prague-T2,,,praguelcg2,7011638.2798,8102873.4200,0,0,15114511.6998
,,52000,27081600,Total,7011638.2798,8102873.42,0,0,15114511.6998,55.810999718628
,,,,WallClock,2500458.798,2174632.8989,,,4675091.6969
Estonia,EE-NICPB,,,T2_Estonia,0,0,8540784.0956,0,8540784.0956
,,180000,93744000,Total,0,0,8540784.0956,0,8540784.0956,9.1107527901519
,,,,WallClock,,,1423974.3975,,1423974.3975
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,2943432.0000,0,2943432
,,25200,13124160,Total,0,0,2943432,0,2943432,22.427583936801
,,,,WallClock,,,332792,,332792
France,FR-GRIF,,,GRIF,17754081.1122,10613455.6355,10492451.7800,5498312.0025,44358300.5302
,,123116,64118812.8,Total,17754081.1122,10613455.6355,10492451.78,5498312.0025,44358300.5302,69.181412744748
,,,,WallClock,1908452.342,1361688.538,1381290.1779,718970.1614,5370401.2193
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,6844784.0000,5252680.0000,0,12097464
,,95400,49684320,Total,0,6844784,5252680,0,12097464,24.348655672454
,,,,WallClock,,721033,552753,,1273786
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,10009869.1684,0,5001430.5487,15011299.7171
,,24056,12528364.8,Total,0,10009869.1684,0,5001430.5487,15011299.7171,119.81850749668
,,,,WallClock,,1031217.2446,,462693.0614,1493910.306
France,FR-IN2P3-IPHC,,,IN2P3-IRES,2288210.9434,0,6031353.7984,0,8319564.7418
,,44000,22915200,Total,2288210.9434,0,6031353.7984,0,8319564.7418,36.305878813189
,,,,WallClock,247808.4353,,612109.1871,,859917.6224
France,FR-IN2P3-LAPP,,,IN2P3-LAPP,0,4250200.0837,0,2076576.6164,6326776.7001
,,25600,13332480,Total,0,4250200.0837,0,2076576.6164,6326776.7001,47.453862297937
,,,,WallClock,,442648.9226,,189960.5605,632609.4831
France,FR-IN2P3-LPC,,,IN2P3-LPC,3066708.0027,3869834.1531,0,2080981.3067,9017523.4625
,,28108,14638646.4,Total,3066708.0027,3869834.1531,0,2080981.3067,9017523.4625,61.600801167654
,,,,WallClock,391332.8053,478492.1216,,224444.6522,1094269.5791
France,FR-IN2P3-LPSC,,,IN2P3-LPSC,730455.3406,2436784.9358,0,0,3167240.2764
,,16688,8691110.4,Total,730455.3406,2436784.9358,0,0,3167240.2764,36.442297136163
,,,,WallClock,108886.3236,320113.1445,,,428999.4681
France,FR-IN2P3-SUBATECH,,,IN2P3-SUBATECH,2423155.1200,0,0,0,2423155.12
,,12000,6249600,Total,2423155.12,0,0,0,2423155.12,38.772963389657
,,,,WallClock,308653.9166,,,,308653.9166
Germany,DE-DESY-ATLAS-T2,,,DESY-HH,0,21796683.4364,0,0,21796683.4364
Germany,DE-DESY-ATLAS-T2,,,DESY-ZN,0,7190211.3138,0,0,7190211.3138
,,57600,29998080,Total,0,28986894.7502,0,0,28986894.7502,96.62916676734
,,,,WallClock,,3181516.6966,,,3181516.6966
Germany,DE-DESY-GOE-ATLAS-T2,,,GoeGrid,0,3677693.4752,0,0,3677693.4752
,,15412,8026569.6,Total,0,3677693.4752,0,0,3677693.4752,45.818994395813
,,,,WallClock,,495809.7792,,,495809.7792
Germany,DE-DESY-LHCB,,,DESY-ZN,0,0,0,0,0
,,12800,6666240,Total,0,0,0,0,0
,,,,WallClock,,,,,
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-HH,0,0,32065605.8425,0,32065605.8425
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-ZN,0,0,0,0,0
Germany,DE-DESY-RWTH-CMS-T2,,,RWTH-Aachen,0,0,4813352.0000,0,4813352
,,106760,55600608,Total,0,0,36878957.8425,0,36878957.8425,66.328335550755
,,,,WallClock,,,4907056.2944,,4907056.2944
Germany,DE-FREIBURGWUPPERTAL,,,UNI-FREIBURG,0,7552056.0000,0,0,7552056
Germany,DE-FREIBURGWUPPERTAL,,,wuppertalprod,0,0,0,0,0
,,35440,18457152,Total,0,7552056,0,0,7552056,40.916691805973
,,,,WallClock,,729487,,,729487
Germany,DE-GSI,,,GSI-LCG2,0,0,0,0,0
,,28000,14582400,Total,0,0,0,0,0
,,,,WallClock,,,,,
Germany,DE-MCAT,,,LRZ-LMU,0,19680836.3290,0,0,19680836.329
Germany,DE-MCAT,,,MPPMU,0,13050952.0000,0,0,13050952
,,42148,21950678.4,Total,0,32731788.329,0,0,32731788.329,149.11515595345
,,,,WallClock,,2280051.2465,,,2280051.2465
Greece,GR-GRIDLAB-KAVALA,,,GR-12-TEIKAV,0,0,0,0,0
,,4992,2599833.6,Total,0,0,0,0,0
,,,,WallClock,,,,,
Greece,GR-Ioannina-HEP,,,GR-07-UOI-HEPLAB,0,0,194344.7398,0,194344.7398
,,7480,3895584,Total,0,0,194344.7398,0,194344.7398,4.9888473666593
,,,,WallClock,,,22016.2014,,22016.2014
Hungary,HU-HGCC-T2,,,BUDAPEST,560566.7075,0,1798466.2397,0,2359032.9472
,,17200,8957760,Total,560566.7075,0,1798466.2397,0,2359032.9472,26.335076483407
,,,,WallClock,82988.1767,,248662.2663,,331650.443
India,IN-DAE-KOLKATA-TIER2,,,IN-DAE-VECC-02,4508691.1078,0,0,0,4508691.1078
,,24000,12499200,Total,4508691.1078,0,0,0,4508691.1078,36.071837459997
,,,,WallClock,470764.5822,,,,470764.5822
India,IN-INDIACMS-TIFR,,,INDIACMS-TIFR,0,0,1186233.8761,0,1186233.8761
,,28400,14790720,Total,0,0,1186233.8761,0,1186233.8761,8.0201225910571
,,,,WallClock,,,127399.4409,,127399.4409
Israel,IL-HEPTier-2,,,IL-TAU-HEP,0,2613276.4438,0,0,2613276.4438
Israel,IL-HEPTier-2,,,TECHNION-HEP,0,1736412.1322,0,0,1736412.1322
Israel,IL-HEPTier-2,,,WEIZMANN-LCG2,0,2269588.0000,0,0,2269588
,,21600,11249280,Total,0,6619276.576,0,0,6619276.576,58.841779882801
,,,,WallClock,,807089.2717,,,807089.2717
Italy,IT-INFN-T2,,,INFN-BARI,3.6667,0,348140.2592,0,348143.9259
Italy,IT-INFN-T2,,,INFN-CATANIA,2504979.2250,0,0,979.7650,2505958.99
Italy,IT-INFN-T2,,,INFN-CNAF-LHCB,0,0,0,1915824.0000,1915824
Italy,IT-INFN-T2,,,INFN-FRASCATI,0,3062999.3845,0,73348.2702,3136347.6547
Italy,IT-INFN-T2,,,INFN-LNL-2,5881784.0000,0,11225168.0000,583584.0000,17690536
Italy,IT-INFN-T2,,,INFN-MILANO-ATLASC,0,6756524.0000,0,0,6756524
