CSV Dump from EGI accounting portal for the period 3/2016 to 3/2016
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2015 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,4881459.2011,0,0,4881459.2011
,,42800,31843200,Total,0,4881459.2011,0,0,4881459.2011,15.329675412961
,,,,WallClock,,271443.6794,,,271443.6794
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,55254.6433,0,0,55254.6433
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,1403694.5953,0,1403694.5953
,,27428,20406432,Total,0,55254.6433,1403694.5953,0,1458949.2386,7.1494577719417
,,,,WallClock,,7874.9302,160497.7166,,168372.6468
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,1678212.1701,0,1678212.1701
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,3625778.2642,0,3625778.2642
,,92400,68745600,Total,0,0,5303990.4343,0,5303990.4343,7.7153889620572
,,,,WallClock,,,681894.1565,,681894.1565
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,3165604.5531,0,3165604.5531
,,60000,44640000,Total,0,0,3165604.5531,0,3165604.5531,7.0914080490591
,,,,WallClock,,,438732.3833,,438732.3833
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,5283659.2309,0,0,5283659.2309
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,4095872.9697,0,0,4095872.9697
,,53000,39432000,Total,0,9379532.2006,0,0,9379532.2006,23.786600224691
,,,,WallClock,,530385.2959,,,530385.2959
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,8414368.5758,0,0,8414368.5758
Canada,CA-WEST-T2,,,SFU-LCG2,0,1916712.5603,0,0,1916712.5603
,,53000,39432000,Total,0,10331081.1361,0,0,10331081.1361,26.199739135981
,,,,WallClock,,965888.1884,,,965888.1884
China,CN-IHEP,,,BEIJING-LCG2,0,2239565.7059,1548615.9839,0,3788181.6898
,,46240,34402560,Total,0,2239565.7059,1548615.9839,0,3788181.6898,11.011336626693
,,,,WallClock,,167166.5364,174489.4013,,341655.9377
Czech Republic,CZ-Prague-T2,,,praguelcg2,7567412.2397,9578315.6379,0,0,17145727.8776
,,66000,49104000,Total,7567412.2397,9578315.6379,0,0,17145727.8776,34.917171467905
,,,,WallClock,2236500.8936,1329758.6376,,,3566259.5312
Estonia,EE-NICPB,,,T2_Estonia,0,0,2158637.8917,0,2158637.8917
,,180000,133920000,Total,0,0,2158637.8917,0,2158637.8917,1.6118861198477
,,,,WallClock,,,608133.8348,,608133.8348
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,1439393.9319,0,1439393.9319
,,32000,23808000,Total,0,0,1439393.9319,0,1439393.9319,6.0458414478327
,,,,WallClock,,,155829.8653,,155829.8653
France,FR-GRIF,,,GRIF,24810566.5193,18236153.7256,12565748.2642,10982408.3038,66594876.8129
,,174236,129631584,Total,24810566.5193,18236153.7256,12565748.2642,10982408.3038,66594876.8129,51.372416164335
,,,,WallClock,2742307.7825,1114810.1399,1438196.4042,1133360.2881,6428674.6147
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,128.7898,814791.7228,0,814920.5126
,,69600,51782400,Total,0,128.7898,814791.7228,0,814920.5126,1.573740329919
,,,,WallClock,,70.4744,99260.7226,,99331.197
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,6713476.2414,0,7425658.5767,14139134.8181
,,24056,17897664,Total,0,6713476.2414,0,7425658.5767,14139134.8181,78.999889695661
,,,,WallClock,,329117.8062,,686495.1425,1015612.9487
France,FR-IN2P3-IPHC,,,IN2P3-IRES,4534675.9931,0,6240019.8803,0,10774695.8734
,,60000,44640000,Total,4534675.9931,0,6240019.8803,0,10774695.8734,24.136863515681
,,,,WallClock,431343.9006,,344399.1288,,775743.0294
France,FR-IN2P3-LAPP,,,IN2P3-LAPP,0,5692765.2511,0,3110323.0578,8803088.3089
,,60000,44640000,Total,0,5692765.2511,0,3110323.0578,8803088.3089,19.72017990345
,,,,WallClock,,200566.8161,,277656.8088,478223.6249
France,FR-IN2P3-LPC,,,IN2P3-LPC,5274723.3565,4523442.9752,0,6812463.2081,16610629.5398
,,59200,44044800,Total,5274723.3565,4523442.9752,0,6812463.2081,16610629.5398,37.713032048732
,,,,WallClock,513413.5916,279311.9207,,556372.861,1349098.3733
France,FR-IN2P3-LPSC,,,IN2P3-LPSC,2023294.3933,5650218.3998,0,0,7673512.7931
,,36712,27313728,Total,2023294.3933,5650218.3998,0,0,7673512.7931,28.093978211616
,,,,WallClock,201860.987,205850.8877,,,407711.8747
France,FR-IN2P3-SUBATECH,,,IN2P3-SUBATECH,2621374.9675,0,0,0,2621374.9675
,,12000,8928000,Total,2621374.9675,0,0,0,2621374.9675,29.36127875784
,,,,WallClock,254980.8943,,,,254980.8943
Germany,DE-DESY-ATLAS-T2,,,DESY-HH,0,30390157.8827,0,0,30390157.8827
Germany,DE-DESY-ATLAS-T2,,,DESY-ZN,0,11652325.5961,0,0,11652325.5961
,,82800,61603200,Total,0,42042483.4788,0,0,42042483.4788,68.247239557036
,,,,WallClock,,1927095.743,,,1927095.743
Germany,DE-DESY-GOE-ATLAS-T2,,,GoeGrid,0,4945049.9100,0,0,4945049.91
,,19440,14463360,Total,0,4945049.91,0,0,4945049.91,34.190187549781
,,,,WallClock,,364841.9153,,,364841.9153
Germany,DE-DESY-LHCB,,,DESY-ZN,0,0,0,2912354.7870,2912354.787
,,13600,10118400,Total,0,0,0,2912354.787,2912354.787,28.782759991698
,,,,WallClock,,,,181420.7184,181420.7184
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-HH,0,0,43591117.8506,0,43591117.8506
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-ZN,0,0,0,0,0
Germany,DE-DESY-RWTH-CMS-T2,,,RWTH-Aachen,0,0,8858913.5638,0,8858913.5638
,,145652,108365088,Total,0,0,52450031.4144,0,52450031.4144,48.401226245855
,,,,WallClock,,,3181304.7667,,3181304.7667
Germany,DE-FREIBURGWUPPERTAL,,,UNI-FREIBURG,0,6690499.9262,0,0,6690499.9262
Germany,DE-FREIBURGWUPPERTAL,,,wuppertalprod,0,6148844.6675,0,0,6148844.6675
,,38880,28926720,Total,0,12839344.5937,0,0,12839344.5937,44.385760271818
,,,,WallClock,,763297.6983,,,763297.6983
Germany,DE-GSI,,,GSI-LCG2,0,0,0,0,0
,,53600,39878400,Total,0,0,0,0,0
,,,,WallClock,,,,,
Germany,DE-MCAT,,,LRZ-LMU,0,14278050.2189,0,0,14278050.2189
Germany,DE-MCAT,,,MPPMU,0,4241695.9348,0,0,4241695.9348
