=> CSV Dump from EGI accounting portal for the period 3/2016 to 3/2016 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,40271069.4357,,,40271069.4357
CH-CERN,121203115.0275,40981304.4082,69189386.3298,23886019.4521,255259825.2176
DE-KIT,23466504.4878,26013599.5971,9872548.4267,27213003.2209,86565655.7325
ES-PIC,,14948959.2794,4992307.4228,8903109.5255,28844376.2277
FR-CCIN2P3,13727079.6830,31172081.3900,9808201.0095,30319536.8543,85026898.9368
IT-INFN-CNAF,32130791.2260,16201006.9868,15503175.0502,44482175.4997,108317148.7627
KR-KISTI-GSDC,14604379.8455,,,,14604379.8455
NDGF,8912998.1316,13964841.9082,,,22877840.0398
NL-T1,21655794.8452,32026986.3546,,23709107.5306,77391888.7304
NRC-KI-T1,20307279.8620,13759762.0002,,21330774.5405,55397816.4027
RU-JINR-T1,,,11745630.8819,,11745630.8819
TW-ASGC,,8065982.2179,,,8065982.2179
UK-T1-RAL,17449662.4824,36510695.7811,8903656.8808,31172887.5436,94036902.6879
US-FNAL-CMS,,,74357048.6347,,74357048.6347
US-T1-BNL,,69305120.0944,260.3647,,69305380.4591
Total,273457605.591,343221409.4536,204372215.0011,211016614.1672,1032067844.2129
