=> CSV Dump from EGI accounting portal for the period 1/2015 to 1/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,25323451.4943,,,25323451.4943
CH-CERN,34034660.6673,7177105.9173,11643341.0411,13371680.6295,66226788.2552
DE-KIT,47841440.9379,16288932.3497,17479759.7274,19032733.4127,100642866.4277
ES-PIC,,8013118.8444,4453190.5774,13269548.4875,25735857.9093
FR-CCIN2P3,19088606.6998,15386040.3384,7851258.0388,17636825.9414,59962731.0184
IT-INFN-CNAF,30581311.3069,11425376.7847,17347813.9133,28326380.5580,87680882.5629
KR-KISTI-GSDC,14582490.0886,,,,14582490.0886
NDGF,13512687.6827,4193838.7720,,,17706526.4547
NL-T1,11598909.8455,14506579.1479,,11990842.3410,38096331.3344
NRC-KI-T1,6541976.0630,2811962.9582,,13869921.9571,23223860.9783
RU-JINR-T1,,,4400546.2338,,4400546.2338
TW-ASGC,,1722000.6400,389.2577,,1722389.8977
UK-T1-RAL,19189819.6611,17739515.6908,6839726.0428,17299884.5323,61068945.927
US-FNAL-CMS,,,33768620.0000,,33768620
US-T1-BNL,,59620796.0000,,,59620796
Total,196971902.9528,184208718.9377,103784644.8323,134797817.8595,619763084.5823
