CSV Dump from EGI accounting portal for the period 1/2015 to 1/2015
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2014 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,4348656.3433,0,0,4348656.3433
,,34000,17707200,Total,0,4348656.3433,0,0,4348656.3433,24.558689930085
,,,,WallClock,,294493.6625,,,294493.6625
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,70456.3336,0,0,70456.3336
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,2954831.6493,0,2954831.6493
,,27428,14284502.4,Total,0,70456.3336,2954831.6493,0,3025287.9829,21.178812521324
,,,,WallClock,,15598.7178,358816.5847,,374415.3025
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,2566059.0523,0,2566059.0523
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,1274323.3435,0,1274323.3435
,,67200,34997760,Total,0,0,3840382.3958,0,3840382.3958,10.973223417156
,,,,WallClock,,,579282.1878,,579282.1878
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,2926468.0000,0,2926468
,,54792,28535673.6,Total,0,0,2926468,0,2926468,10.255471943722
,,,,WallClock,,,261245,,261245
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,6645202.2157,0,0,6645202.2157
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,3292068.4941,0,0,3292068.4941
,,42500,22134000,Total,0,9937270.7098,0,0,9937270.7098,44.89595513599
,,,,WallClock,,751971.5158,,,751971.5158
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,4255055.4897,0,0,4255055.4897
Canada,CA-WEST-T2,,,SFU-LCG2,0,1574908.1622,0,0,1574908.1622
,,42500,22134000,Total,0,5829963.6519,0,0,5829963.6519,26.339403866902
,,,,WallClock,,593031.6579,,,593031.6579
China,CN-IHEP,,,BEIJING-LCG2,0,210800.4733,1583209.4328,0,1794009.9061
,,38400,19998720,Total,0,210800.4733,1583209.4328,0,1794009.9061,8.9706236504136
,,,,WallClock,,9314.2427,181624.5437,,190938.7864
Czech Republic,CZ-Prague-T2,,,praguelcg2,10795573.2666,4260757.2152,0,0,15056330.4818
,,48000,24998400,Total,10795573.2666,4260757.2152,0,0,15056330.4818,60.229176594502
,,,,WallClock,3270854.4525,1488903.2409,,,4759757.6934
Estonia,EE-NICPB,,,T2_Estonia,0,0,1315611.2866,0,1315611.2866
,,180000,93744000,Total,0,0,1315611.2866,0,1315611.2866,1.4034085238522
,,,,WallClock,,,216777.3642,,216777.3642
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,1995424.2509,0,1995424.2509
,,25200,13124160,Total,0,0,1995424.2509,0,1995424.2509,15.204205456959
,,,,WallClock,,,249772.2664,,249772.2664
France,FR-GRIF,,,GRIF,26636788.0055,6497186.5595,7420928.6357,3222672.8764,43777576.0771
,,146248,76165958.4,Total,26636788.0055,6497186.5595,7420928.6357,3222672.8764,43777576.0771,57.476564329689
,,,,WallClock,2628835.0484,788675.7113,843982.4987,404700.3318,4666193.5902
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,2517530.8035,323565.9340,0,2841096.7375
,,69400,36143520,Total,0,2517530.8035,323565.934,0,2841096.7375,7.8605977987202
,,,,WallClock,,274009.7137,50599.7717,,324609.4854
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,5568472.6843,0,4394450.8194,9962923.5037
,,24056,12528364.8,Total,0,5568472.6843,0,4394450.8194,9962923.5037,79.522935855923
,,,,WallClock,,477547.8445,,405956.9872,883504.8317
France,FR-IN2P3-IPHC,,,IN2P3-IRES,6108851.3350,0,3076314.6808,0,9185166.0158
,,50000,26040000,Total,6108851.335,0,3076314.6808,0,9185166.0158,35.273294991551
,,,,WallClock,551574.2058,,310075.1479,,861649.3537
France,FR-IN2P3-LAPP,,,IN2P3-LAPP,0,4147182.5317,0,2898282.3405,7045464.8722
,,48800,25415040,Total,0,4147182.5317,0,2898282.3405,7045464.8722,27.721635976965
,,,,WallClock,,389804.2897,,263088.8995,652893.1892
France,FR-IN2P3-LPC,,,IN2P3-LPC,4771036.4910,3746551.0207,0,2813239.2769,11330826.7886
,,39080,20352864,Total,4771036.491,3746551.0207,0,2813239.2769,11330826.7886,55.67190341664
,,,,WallClock,541218.756,408622.8962,,316313.6633,1266155.3155
France,FR-IN2P3-LPSC,,,IN2P3-LPSC,2117465.9111,2892425.2003,0,0,5009891.1114
,,24576,12799180.8,Total,2117465.9111,2892425.2003,0,0,5009891.1114,39.142279413695
,,,,WallClock,311229.9581,389119.7848,,,700349.7429
France,FR-IN2P3-SUBATECH,,,IN2P3-SUBATECH,3065716.5825,0,0,0,3065716.5825
,,12000,6249600,Total,3065716.5825,0,0,0,3065716.5825,49.054604814708
,,,,WallClock,340495.8523,,,,340495.8523
Germany,DE-DESY-ATLAS-T2,,,DESY-HH,0,12727528.3020,0,0,12727528.302
