=> CSV Dump from EGI accounting portal for the period 4/2014 to 4/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,42510907.8222,,,42510907.8222
CH-CERN,36990852.0000,21926364.0000,19452976.0000,11883840.0000,90254032
DE-KIT,12312440.2350,20848456.3472,18686166.7251,11986600.4310,63833663.7383
ES-PIC,,9739612.4785,7156671.4810,3392443.1820,20288727.1415
FR-CCIN2P3,10343080.0000,15612012.0000,8618240.0000,9704996.0000,44278328
IT-INFN-CNAF,18427668.0000,30508552.0000,21451312.0000,24473160.0000,94860692
KR-KISTI-GSDC,7463061.5919,,,,7463061.5919
NDGF,3258124.0000,12379836.0000,,,15637960
NL-T1,8633195.4370,36360335.8635,0.0000,14208538.9746,59202070.2751
NRC-KI-T1,4545774.6258,5032826.9272,,18102869.8467,27681471.3997
RU-JINR-T1,,,8518488.3471,,8518488.3471
TW-ASGC,,12829140.0000,858224.0000,,13687364
UK-T1-RAL,3915897.4036,28068328.2824,9677106.2586,24884992.9836,66546324.9282
US-FNAL-CMS,,,33770964.0000,,33770964
US-T1-BNL,,67180456.0000,,,67180456
Total,105890093.2933,302996827.721,128190148.8118,118637441.4179,655714511.244
