=> CSV Dump from EGI accounting portal for the period 11/2016 to 11/2016 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,38482409.9543,,,38482409.9543
CH-CERN,139218319.2949,88314036.5086,61629529.8831,26666481.1314,315828366.818
DE-KIT,24831418.0855,26107925.3458,16265611.0072,12541526.9175,79746481.356
ES-PIC,,17238988.9966,9564091.3876,7579119.7788,34382200.163
FR-CCIN2P3,10580699.9161,51100518.5842,18517319.0305,13244575.3354,93443112.8662
IT-INFN-CNAF,32717875.2402,23136667.6387,21815095.5334,19732570.3473,97402208.7596
KR-KISTI-GSDC,22035098.7747,,,,22035098.7747
NDGF,8799496.4339,19496490.0163,,,28295986.4502
NL-T1,25131714.3518,57733927.6261,,18512361.2018,101378003.1797
NRC-KI-T1,25617232.0191,25574910.1030,,11033872.3037,62226014.4258
RU-JINR-T1,,,22141770.0953,,22141770.0953
TW-ASGC,,15659350.0836,,,15659350.0836
UK-T1-RAL,11504893.7880,46901864.9424,12803930.6795,34254318.5789,105465007.9888
US-FNAL-CMS,,4022.9203,103052222.6440,,103056245.5643
US-T1-BNL,,102957891.8305,104.5842,,102957996.4147
Total,300436747.9042,512709004.5504,265789674.8448,143564825.5948,1222500252.8942
