=> CSV Dump from EGI accounting portal for the period 5/2014 to 5/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,44892568.0732,,,44892568.0732
CH-CERN,49966128.0000,27323708.0000,15887864.0000,12454864.0000,105632564
DE-KIT,20143010.7044,16085250.7747,20154733.6841,7435845.0878,63818840.251
ES-PIC,,10604144.1085,9144613.8899,4017376.2814,23766134.2798
FR-CCIN2P3,13410220.0000,17598312.0000,11641712.0000,20277012.0000,62927256
IT-INFN-CNAF,20777188.0000,28660456.0000,21404024.0000,20852816.0000,91694484
KR-KISTI-GSDC,11156840.8430,,,,11156840.843
NDGF,6478396.0000,13926080.0000,,,20404476
NL-T1,8183885.4289,31021530.8089,0.0000,11117150.3062,50322566.544
NRC-KI-T1,5572216.2978,5142249.4409,,16167506.3795,26881972.1182
RU-JINR-T1,,,9821661.4989,,9821661.4989
TW-ASGC,,16397540.0000,390252.0000,,16787792
UK-T1-RAL,4231811.2619,34522618.6646,11413059.8987,26357061.0394,76524550.8646
US-FNAL-CMS,,,50006196.0000,,50006196
US-T1-BNL,,74124356.0000,0.0000,,74124356
Total,139919696.536,320298813.8708,149864116.9716,118679631.0943,728762258.4727
