=> CSV Dump from EGI accounting portal for the period 4/2015 to 4/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,44944081.0387,,,44944081.0387
CH-CERN,53931830.8305,24653432.6336,14891117.6669,15746671.6828,109223052.8138
DE-KIT,29154319.9370,35586849.4908,15532038.3412,11414287.0857,91687494.8547
ES-PIC,,6820044.9039,4871179.3330,5179592.8715,16870817.1084
FR-CCIN2P3,16695002.3129,31014645.4289,11158283.8936,25405744.8176,84273676.453
IT-INFN-CNAF,28106456.3010,21953277.8323,16304913.9407,23206254.5527,89570902.6267
KR-KISTI-GSDC,16144500.6560,,,,16144500.656
NDGF,13089634.0097,10361614.8667,,,23451248.8764
NL-T1,18569278.9062,48021363.1209,,18879867.4774,85470509.5045
NRC-KI-T1,6361628.7462,4871126.1297,,6915688.4127,18148443.2886
RU-JINR-T1,,,6990957.2504,,6990957.2504
TW-ASGC,,8793160.2070,,,8793160.207
UK-T1-RAL,5527688.2867,33618031.6479,7033931.6091,20621096.2611,66800747.8048
US-FNAL-CMS,,0.0000,51807148.0000,,51807148
US-T1-BNL,,76030504.0000,,,76030504
Total,187580339.9862,346668131.3004,128589570.0349,127369203.1615,790207244.483
