=> CSV Dump from EGI accounting portal for the period 11/2015 to 11/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,45374097.1162,,,45374097.1162
CH-CERN,67008920.7724,39418339.4651,44228251.9834,15844740.1183,166500252.3392
DE-KIT,17665956.1652,32836783.0708,19789292.4279,10586450.0477,80878481.7116
ES-PIC,,14460292.5261,9939837.3467,4629076.4084,29029206.2812
FR-CCIN2P3,13163177.9866,30514383.8575,10305530.2587,19366967.8529,73350059.9557
IT-INFN-CNAF,18599741.1286,24474584.5675,20000824.4710,20823336.6333,83898486.8004
KR-KISTI-GSDC,10487642.2009,,,,10487642.2009
NDGF,8310229.7548,15098892.2703,,,23409122.0251
NL-T1,14910186.1905,43630335.0346,,6339473.5713,64879994.7964
NRC-KI-T1,22090171.1310,24151463.5342,,11795042.6388,58036677.304
RU-JINR-T1,,,24003103.7933,,24003103.7933
TW-ASGC,,18623115.0792,,,18623115.0792
UK-T1-RAL,8440230.3481,62535938.8782,10759853.7034,21171545.5872,102907568.5169
US-FNAL-CMS,,36254.8122,93322695.1791,,93358949.9913
US-T1-BNL,,94407179.0714,,,94407179.0714
Total,180676255.6781,445561659.2833,232349389.1635,110556632.8579,969143936.9828
