=> CSV Dump from EGI accounting portal for the period 9/2014 to 9/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,32411710.4934,,,32411710.4934
CH-CERN,30031532.0000,20731416.0000,19324040.0000,9690160.0000,79777148
DE-KIT,23443006.6073,17676310.6715,7545559.0365,4170949.0182,52835825.3335
ES-PIC,,11189347.6008,7717426.6946,3620833.4956,22527607.791
FR-CCIN2P3,15501818.6460,18419846.5610,9106541.5540,11176836.2584,54205043.0194
IT-INFN-CNAF,19429006.0446,26627098.4860,18681464.0976,11610059.2141,76347627.8423
KR-KISTI-GSDC,10325431.3105,,,,10325431.3105
NDGF,7379092.0000,8252448.0000,,,15631540
NL-T1,15575204.7178,38318663.0517,,4750859.8528,58644727.6223
NRC-KI-T1,4904648.3125,3893743.5695,,4116973.9031,12915365.7851
RU-JINR-T1,,,3043348.1319,,3043348.1319
TW-ASGC,,5768731.2182,70692.2776,,5839423.4958
UK-T1-RAL,6827845.9116,35719500.4491,9673881.9180,8545936.7036,60767164.9823
US-FNAL-CMS,,,47839496.0000,,47839496
US-T1-BNL,,59846720.0000,,,59846720
Total,133417585.5503,278855536.1012,123002449.7102,57682608.4458,592958179.8075
