=> CSV Dump from EGI accounting portal for the period 1/2014 to 1/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,36974120.0000,,,36974120
CH-CERN,22214920.0000,42880892.0000,12079144.0000,19197292.0000,96372248
DE-KIT,8721232.7536,27922556.6243,7705477.1676,12280520.5681,56629787.1136
ES-PIC,,17569336.3638,6262489.9635,4274182.0246,28106008.3519
FR-CCIN2P3,2982620.0000,28017212.0000,8099484.0000,9064528.0000,48163844
IT-INFN-CNAF,10383316.0000,38219728.0000,24769488.0000,20203640.0000,93576172
KR-KISTI-GSDC,889520.0000,,,,889520
NDGF,6218956.0000,8271844.0000,,,14490800
NL-T1,1691151.8419,31837978.6190,,12274368.9729,45803499.4338
NRC-KI-T1,599166.4361,4433841.9345,,4809174.8420,9842183.2126
RU-JINR-T1,,,1629812.8511,,1629812.8511
TW-ASGC,,17729760.0000,1492372.0000,,19222132
UK-T1-RAL,1949694.9069,30962671.7371,9022514.8490,16167532.8342,58102414.3272
US-FNAL-CMS,,,39835240.0000,,39835240
US-T1-BNL,,67231568.0000,,,67231568
Total,55650577.9385,352051509.2787,110896022.8312,98271239.2418,616869349.2902
