=> CSV Dump from EGI accounting portal for the period 5/2016 to 5/2016 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,41954489.9779,,,41954489.9779
CH-CERN,117947872.7578,33480619.4277,28340455.5532,27433933.6585,207202881.3972
DE-KIT,20960798.1943,39370178.7248,7447301.5160,22906512.6883,90684791.1234
ES-PIC,,15258962.8860,9062380.7154,7186010.2128,31507353.8142
FR-CCIN2P3,20275507.4412,41692284.2429,15954705.2711,29033526.3004,106956023.2556
IT-INFN-CNAF,21592218.5621,25737016.7820,22633165.3867,27682373.7742,97644774.505
KR-KISTI-GSDC,19748899.0942,,,,19748899.0942
NDGF,8753619.5005,17919212.1684,,,26672831.6689
NL-T1,19689736.4234,40858563.4073,,19043558.8088,79591858.6395
NRC-KI-T1,23585958.3845,22444679.5600,,13671556.6481,59702194.5926
RU-JINR-T1,,,17665556.0735,,17665556.0735
TW-ASGC,,16744427.6953,,,16744427.6953
UK-T1-RAL,12447637.2638,44200695.5857,9406788.4682,39505911.7216,105561033.0393
US-FNAL-CMS,,,78281375.0538,,78281375.0538
US-T1-BNL,,86431304.3712,163.5358,,86431467.907
Total,265002247.6218,426092434.8292,188791891.5737,186463383.8127,1066349957.8374
