=> CSV Dump from EGI accounting portal for the period 7/2015 to 7/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,48818723.9132,,,48818723.9132
CH-CERN,86824781.9375,57355630.9014,18852175.2733,14346799.5778,177379387.69
DE-KIT,19421281.0434,48436738.0329,21636073.2775,10229216.1511,99723308.5049
ES-PIC,,14613199.0937,7047460.4587,6414583.4153,28075242.9677
FR-CCIN2P3,19260728.5044,37323721.6635,9490573.6516,20975045.4028,87050069.2223
IT-INFN-CNAF,16791461.0765,29263453.9573,14910880.1248,19052796.0292,80018591.1878
KR-KISTI-GSDC,14775011.2428,,,,14775011.2428
NDGF,10711476.5755,15538215.9486,,,26249692.5241
NL-T1,14742566.8886,32788872.0677,,13308382.2264,60839821.1827
NRC-KI-T1,25623519.5607,23618159.5545,,6982572.6393,56224251.7545
RU-JINR-T1,,,13215927.9460,,13215927.946
TW-ASGC,,18614663.2430,,,18614663.243
UK-T1-RAL,3657685.3442,59172883.3281,8845161.7894,10209887.3423,81885617.804
US-FNAL-CMS,,26242.4764,62324079.2233,,62350321.6997
US-T1-BNL,,73382482.9006,,,73382482.9006
Total,211808512.1736,458952987.0809,156322331.7446,101519282.7842,928603113.7833
