=> CSV Dump from EGI accounting portal for the period 2/2016 to 2/2016 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,35136507.5474,,,35136507.5474
CH-CERN,81385142.3855,13600139.2501,65863604.9685,15153776.3142,176002662.9183
DE-KIT,17523513.0508,38779340.9490,11981433.3049,10931597.0260,79215884.3307
ES-PIC,,16937043.1959,9743495.2633,5330389.0361,32010927.4953
FR-CCIN2P3,11651162.9711,35427692.3838,8372758.7990,16130971.1328,71582585.2867
IT-INFN-CNAF,24439049.0119,24109819.8270,17659193.7213,19349882.3656,85557944.9258
KR-KISTI-GSDC,12150994.2305,,,,12150994.2305
NDGF,6418577.9489,14838116.1905,,,21256694.1394
NL-T1,16565661.7360,33930366.7679,,11154134.0166,61650162.5205
NRC-KI-T1,18475448.1575,18671507.9381,,12990593.1680,50137549.2636
RU-JINR-T1,,,19666213.6116,,19666213.6116
TW-ASGC,,10094527.6633,,,10094527.6633
UK-T1-RAL,6831981.5080,42155888.7992,10453615.0368,17442021.0935,76883506.4375
US-FNAL-CMS,,,88199222.6030,,88199222.603
US-T1-BNL,,62117172.5335,156.3161,,62117328.8496
Total,195441531.0002,345798123.0457,231939693.6245,108483364.1528,881662711.8232
