=> CSV Dump from EGI accounting portal for the period 9/2015 to 9/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,46157923.3043,,,46157923.3043
CH-CERN,77013836.8947,50802206.8570,35748121.5123,12958795.7072,176522960.9712
DE-KIT,19611804.8936,47173848.0201,16603290.3722,12550040.3191,95938983.605
ES-PIC,,14675770.3929,6866288.1414,6619262.5708,28161321.1051
FR-CCIN2P3,8879717.2143,39440561.1133,9337754.9979,27481848.7606,85139882.0861
IT-INFN-CNAF,10251953.3066,21305745.6846,18382084.4740,15312948.2002,65252731.6654
KR-KISTI-GSDC,14241854.7413,,,,14241854.7413
NDGF,10371650.5225,13722241.4084,,,24093891.9309
NL-T1,8508604.1917,18912652.8318,,6944795.1354,34366052.1589
NRC-KI-T1,19988447.9308,17101033.8223,,13851182.5560,50940664.3091
RU-JINR-T1,,,14139812.1163,,14139812.1163
TW-ASGC,,15231265.9967,,,15231265.9967
UK-T1-RAL,8679048.9344,50166845.7124,7836864.5665,22327458.2799,89010217.4932
US-FNAL-CMS,,5585.1794,66742263.8861,,66747849.0655
US-T1-BNL,,84031306.3250,0.0000,,84031306.325
Total,177546918.6299,418726986.6482,175656480.0667,118046331.5292,889976716.874
