=> CSV Dump from EGI accounting portal for the period 10/2015 to 10/2015 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,46440142.6106,,,46440142.6106
CH-CERN,77521413.4112,32694297.4962,26212070.1825,16933557.2028,153361338.2927
DE-KIT,34091780.3498,16212842.0598,12342490.6795,10671829.0387,73318942.1278
ES-PIC,,14706762.8957,7147612.9359,7159171.8156,29013547.6472
FR-CCIN2P3,12213577.8049,30572154.0401,8680295.0164,28450360.1652,79916387.0266
IT-INFN-CNAF,18872849.8497,15740965.7947,11036076.0016,26561769.0491,72211660.6951
KR-KISTI-GSDC,17200983.5909,,,,17200983.5909
NDGF,10898309.0622,17015100.0953,,,27913409.1575
NL-T1,25878848.6630,26591395.6884,,11896197.9007,64366442.2521
NRC-KI-T1,23246966.1955,20128576.7846,,14954926.3872,58330469.3673
RU-JINR-T1,,,16202544.1844,,16202544.1844
TW-ASGC,,17092298.5264,,,17092298.5264
UK-T1-RAL,21184357.8019,51729667.4075,8129132.8817,20473945.2072,101517103.2983
US-FNAL-CMS,,16684.2547,57037953.8830,,57054638.1377
US-T1-BNL,,99235259.4406,0.0000,,99235259.4406
Total,241109086.7291,388176147.0946,146788175.765,137101756.7665,913175166.3552
