CSV Dump from EGI accounting portal for the period 10/2015 to 10/2015
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2015 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,6826123.9186,0,0,6826123.9186
,,42800,31843200,Total,0,6826123.9186,0,0,6826123.9186,21.436676962742
,,,,WallClock,,496133.7916,,,496133.7916
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,170608.2705,0,0,170608.2705
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,5062805.7314,0,5062805.7314
,,27428,20406432,Total,0,170608.2705,5062805.7314,0,5233414.0019,25.645904202655
,,,,WallClock,,25574.5111,514053.3057,,539627.8168
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,5445612.6355,0,5445612.6355
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,4007785.9800,0,4007785.98
,,92400,68745600,Total,0,0,9453398.6155,0,9453398.6155,13.751278067978
,,,,WallClock,,,1377405.5878,,1377405.5878
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,5630334.4536,0,5630334.4536
,,60000,44640000,Total,0,0,5630334.4536,0,5630334.4536,12.612756392473
,,,,WallClock,,,587274.97,,587274.97
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,8443250.4433,0,0,8443250.4433
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,7929015.3686,0,0,7929015.3686
,,53000,39432000,Total,0,16372265.8119,0,0,16372265.8119,41.520252109708
,,,,WallClock,,735498.8438,,,735498.8438
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,11839409.2765,0,0,11839409.2765
Canada,CA-WEST-T2,,,SFU-LCG2,0,3285459.6631,0,0,3285459.6631
,,53000,39432000,Total,0,15124868.9396,0,0,15124868.9396,38.356839469466
,,,,WallClock,,1263447.2013,,,1263447.2013
China,CN-IHEP,,,BEIJING-LCG2,0,4603791.1182,4281235.8321,0,8885026.9503
,,46240,34402560,Total,0,4603791.1182,4281235.8321,0,8885026.9503,25.826644733125
,,,,WallClock,,402832.1924,467931.8313,,870764.0237
Czech Republic,CZ-Prague-T2,,,praguelcg2,12298882.9002,7240119.6742,0,0,19539002.5744
,,66000,49104000,Total,12298882.9002,7240119.6742,0,0,19539002.5744,39.791060961225
,,,,WallClock,3649233.9517,1153258.8911,,,4802492.8428
Estonia,EE-NICPB,,,T2_Estonia,0,0,3685138.8100,0,3685138.81
,,180000,133920000,Total,0,0,3685138.81,0,3685138.81,2.7517464232378
,,,,WallClock,,,705808.5937,,705808.5937
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,3769641.5526,0,3769641.5526
,,32000,23808000,Total,0,0,3769641.5526,0,3769641.5526,15.833507865423
,,,,WallClock,,,387373.6162,,387373.6162
France,FR-GRIF,,,GRIF,21249039.5170,21987908.8013,19541931.2219,7723637.2163,70502516.7565
,,174236,129631584,Total,21249039.517,21987908.8013,19541931.2219,7723637.2163,70502516.7565,54.386835816571
,,,,WallClock,2146226.6117,1093592.8484,2268539.5535,821174.3852,6329533.3988
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,2880662.7894,5189797.3598,0,8070460.1492
,,69600,51782400,Total,0,2880662.7894,5189797.3598,0,8070460.1492,15.58533430123
,,,,WallClock,,304508.3172,596759.5931,,901267.9103
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,8366134.4626,0,4978937.7745,13345072.2371
,,24056,17897664,Total,0,8366134.4626,0,4978937.7745,13345072.2371,74.563206891693
,,,,WallClock,,334515.3906,,461605.1663,796120.5569
France,FR-IN2P3-IPHC,,,IN2P3-IRES,4652542.9530,0,6480973.6791,0,11133516.6321
,,60000,44640000,Total,4652542.953,0,6480973.6791,0,11133516.6321,24.940673459005
,,,,WallClock,393869.1728,,604838.4534,,998707.6262
France,FR-IN2P3-LAPP,,,IN2P3-LAPP,0,5965551.6851,0,3923065.5925,9888617.2776
,,60000,44640000,Total,0,5965551.6851,0,3923065.5925,9888617.2776,22.151920424731
,,,,WallClock,,281974.1517,,352198.5556,634172.7073
France,FR-IN2P3-LPC,,,IN2P3-LPC,6200190.5342,5387635.7599,0,6172152.6422,17759978.9363
,,59200,44044800,Total,6200190.5342,5387635.7599,0,6172152.6422,17759978.9363,40.322532821809
,,,,WallClock,530654.6089,357205.3774,,507668.4571,1395528.4434
France,FR-IN2P3-LPSC,,,IN2P3-LPSC,2289501.8333,6420292.5231,0,0,8709794.3564
,,36712,27313728,Total,2289501.8333,6420292.5231,0,0,8709794.3564,31.887973536238
,,,,WallClock,202299.7753,236090.8863,,,438390.6616
France,FR-IN2P3-SUBATECH,,,IN2P3-SUBATECH,3184846.9500,0,0,0,3184846.95
,,12000,8928000,Total,3184846.95,0,0,0,3184846.95,35.672568884409
,,,,WallClock,356142.4981,,,,356142.4981
Germany,DE-DESY-ATLAS-T2,,,DESY-HH,0,26037807.0605,0,0,26037807.0605
Germany,DE-DESY-ATLAS-T2,,,DESY-ZN,0,13757369.6384,0,0,13757369.6384
,,82800,61603200,Total,0,39795176.6989,0,0,39795176.6989,64.599203773343
,,,,WallClock,,2000364.7252,,,2000364.7252
Germany,DE-DESY-GOE-ATLAS-T2,,,GoeGrid,0,7283802.1358,0,0,7283802.1358
,,19440,14463360,Total,0,7283802.1358,0,0,7283802.1358,50.360373632406
,,,,WallClock,,607264.269,,,607264.269
Germany,DE-DESY-LHCB,,,DESY-ZN,0,0,0,2060484.7460,2060484.746
,,13600,10118400,Total,0,0,0,2060484.746,2060484.746,20.363740769292
