Time,ALICE::BITP::SE,ALICE::Bari::SE,ALICE::Birmingham::SE,ALICE::Bratislava::SE,ALICE::CCIN2P3::SE,ALICE::CCIN2P3::TAPE,ALICE::CERN::CASTOR2,ALICE::CERN::DPM,ALICE::CERN::EOS,ALICE::CERN::OCDB,ALICE::CERN::T0ALICE,ALICE::CNAF::SE,ALICE::CNAF::TAPE,ALICE::Catania::SE,ALICE::Clermont::SE,ALICE::CyberSar_Cagliari::SE,ALICE::Cyfronet::XRD,ALICE::FZK::SE,ALICE::FZK::TAPE,ALICE::GRIF_IPNO::SE,ALICE::GRIF_IRFU::DPM,ALICE::GSI::SE2,ALICE::Grenoble::SE,ALICE::Hiroshima::SE,ALICE::IHEP::SE,ALICE::IPNL::SE,ALICE::ISMA::SE,ALICE::ISS::FILE,ALICE::ITEP::SE,ALICE::JINR::EOS,ALICE::JINR::SE,ALICE::KFKI::SE,ALICE::KISTI_GSDC::SE2,ALICE::KISTI_GSDC::TAPE,ALICE::Kolkata::EOS,ALICE::Kolkata::SE,ALICE::Kosice::SE,ALICE::LBL::EOS,ALICE::Legnaro::SE,ALICE::MEPHI::EOS,ALICE::NDGF::DCACHE,ALICE::NDGF::DCACHE_TAPE,ALICE::NIHAM::FILE,ALICE::ORNL::EOS,ALICE::PNPI::SE,ALICE::Poznan::SE,ALICE::Prague::SE,ALICE::RAL::SE,ALICE::RAL::TAPE,ALICE::RRC-KI::SE,ALICE::RRC_KI_T1::DCACHE_TAPE,ALICE::RRC_KI_T1::EOS,ALICE::SARA::DCACHE,ALICE::SARA::DCACHE_TAPE,ALICE::SNIC::DCACHE,ALICE::SPbSU::EOS,ALICE::SPbSU::SE,ALICE::SUT::SE,ALICE::SaoPaulo::SE,ALICE::Strasbourg_IRES::SE,ALICE::Subatech::EOS,ALICE::Torino::SE,ALICE::Trieste::SE,ALICE::Troitsk::SE,ALICE::Trujillo::SE,ALICE::Tsukuba::SE,ALICE::UNAM_T1::EOS,ALICE::ZA_CHPC::EOS,ALICE::ZA_CHPC::SE
1443853552,15029.2041,75006.1641,167544.203,166112.266,1695183.75,1374164.25,50643.4219,,7030984.5,47515.6211,1.3959262E7,1511949.0,1063692.88,973101.562,246650.234,11254.7627,22770.699199999995,1781123.5,2862836.25,409662.156,247622.406,369428.125,171042.359,218853.047,221649.141,44980.4336,15980.974600000001,194262.719,92904.6328,,317808.656,65001.5586,742278.125,1109807.25,,68505.6562,230391.938,,578822.312,50.5822563,610417.938,607833.125,744765.438,210151.312,30397.4375,102437.422,1490522.38,169303.938,675616.75,268222.094,184889.953,86601.6562,236462.312,165370.922,303325.844,190.347626,22917.8535,51462.8164,53427.9688,108215.789,233347.453,466337.281,26331.5,73055.2031,19450.0859,,133396.203,,
1443870921,15029.2041,75006.1641,167544.203,166112.266,1695183.75,1374164.25,50643.4219,,7030984.5,47515.6211,1.3959262E7,1511949.0,1063692.88,973101.562,246650.234,11254.7627,22770.699199999995,1781123.5,2862836.25,409662.156,247622.406,369428.125,171042.359,218853.047,221649.141,44980.4336,15980.974600000001,194262.719,92904.6328,,317808.656,65001.5586,742278.125,1109807.25,,68505.6562,230391.938,,578822.312,50.5822563,610417.938,607833.125,744765.438,210151.312,30397.4375,102437.422,1490522.38,169303.938,675616.75,268222.094,184889.953,86601.6562,236462.312,165370.922,303325.844,190.347626,22917.8535,51462.8164,53427.9688,108215.789,233347.453,466337.281,26331.5,73055.2031,19450.0859,,133396.203,,
1443888289,15029.2041,75006.1641,167544.20299999998,166112.266,1695183.75,1374164.25,50643.4219,,7030984.5,47515.6211,1.3959262E7,1511949.0,1063692.88,973101.5619999999,246650.234,11254.7627,22770.6992,1781123.5,2862836.25,409662.15599999996,247622.406,369428.125,171042.359,218853.04700000002,221649.141,44980.4336,15980.974600000001,194262.71899999998,92904.6328,,317808.65599999996,65001.5586,742278.125,1109807.25,,68505.6562,230391.93799999997,,578822.3119999999,50.5822563,610417.9380000001,607833.125,744765.4380000001,210151.31200000003,30397.4375,102437.422,1490522.38,169303.938,675616.75,268222.09400000004,184889.95299999998,86601.6562,236462.31200000003,165370.92200000002,303325.84400000004,190.347626,22917.853499999997,51462.8164,53427.9688,108215.78899999999,233347.45299999998,466337.28099999996,26331.5,73055.2031,19450.0859,,133396.20299999998,,
1443905658,15029.2041,75006.1641,167544.20299999998,166112.266,1695183.75,1374164.25,50643.4219,,7030984.5,47515.6211,1.3959262E7,1511949.0,1063692.88,973101.5619999999,246650.234,11254.7627,22770.6992,1781123.5,2862836.25,409662.15599999996,247622.406,369428.125,171042.359,218853.04700000002,221649.141,44980.4336,15980.974600000001,194262.71899999998,92904.6328,,317808.65599999996,65001.5586,742278.125,1109807.25,,68505.6562,230391.93799999997,,578822.3119999999,50.5822563,610417.9380000001,607833.125,744765.4380000001,210151.31200000003,30397.4375,102437.422,1490522.38,169303.938,675616.75,268222.09400000004,184889.95299999998,86601.6562,236462.31200000003,165370.92200000002,303325.84400000004,190.347626,22917.853499999997,51462.8164,53427.9688,108215.78899999999,233347.45299999998,466337.28099999996,26331.5,73055.2031,19450.0859,,133396.20299999998,,
1443923027,15029.2041,75006.1641,167544.203,166112.266,1695183.75,1374164.25,50643.4219,,7030984.5,47515.6211,1.3959262E7,1511949.0,1063692.88,973101.562,246650.234,11254.7627,22770.699199999995,1781123.5,2862836.25,409662.156,247622.406,369428.125,171042.359,218853.047,221649.141,44980.4336,15980.974599999998,194262.719,92904.6328,,317808.656,65001.5586,742278.125,1109807.25,,68505.6562,230391.93799999997,,578822.312,50.5822563,610417.938,607833.125,744765.438,210151.31200000003,30397.4375,102437.422,1490522.38,169303.93799999997,675616.75,268222.094,184889.953,86601.6562,236462.31200000003,165370.922,303325.844,190.347626,22917.8535,51462.8164,53427.9688,108215.789,233347.453,466337.281,26331.5,73055.2031,19450.0859,,133396.203,,
1443940396,15029.2041,75006.1641,167544.203,166112.266,1695183.75,1374164.25,50643.421899999994,,7030984.5,47515.6211,1.3959262E7,1511949.0,1063692.88,973101.5619999999,246650.234,11254.7627,22770.699199999995,1781123.5,2862836.25,409662.15599999996,247622.406,369428.125,171042.359,218853.04700000002,221649.141,44980.4336,15980.974599999998,194262.719,92904.6328,,317808.656,65001.5586,742278.125,1109807.25,,68505.6562,230391.93799999997,,578822.312,50.5822563,610417.938,607833.125,744765.4380000001,210151.31200000003,30397.4375,102437.422,1490522.38,169303.93799999997,675616.75,268222.094,184889.95299999998,86601.65620000001,236462.31200000003,165370.922,303325.844,190.347626,22917.853499999997,51462.8164,53427.9688,108215.78899999999,233347.45299999998,466337.28099999996,26331.5,73055.2031,19450.0859,,133396.203,,
1443957765,15029.2041,75006.1641,167544.20299999998,166112.266,1695183.75,1374164.25,50643.4219,,7030984.5,47515.6211,1.3959262E7,1511949.0,1063692.88,973101.5619999999,246650.234,11254.7627,22770.6992,1781123.5,2862836.25,409662.15599999996,247622.406,369428.125,171042.359,218853.04700000002,221649.141,44980.4336,15980.974600000001,194262.719,92904.6328,,317808.656,65001.5586,742278.125,1109807.25,,68505.6562,230391.93799999997,,578822.312,50.5822563,610417.938,607833.125,744765.4380000001,210151.31200000003,30397.4375,102437.422,1490522.38,169303.93799999997,675616.75,268222.094,184889.95299999998,86601.6562,236462.31200000003,165370.92200000002,303325.844,190.347626,22917.853499999997,51462.8164,53427.9688,108215.78899999999,233347.45299999998,466337.28099999996,26331.5,73055.2031,19450.0859,,133396.203,,
1443975134,15029.204100000003,75006.1641,167544.20299999998,166112.266,1695183.75,1374164.25,50643.4219,,7030984.5,47515.6211,1.3959262E7,1511949.0,1063692.88,973101.5619999999,246650.234,11254.7627,22770.6992,1781123.5,2862836.25,409662.15599999996,247622.40600000002,369428.125,171042.359,218853.04700000002,221649.141,44980.4336,15980.974600000001,194262.71899999998,92904.6328,,317808.65599999996,65001.5586,742278.125,1109807.25,,68505.6562,230391.93799999997,,578822.3119999999,50.5822563,610417.9380000001,607833.125,744765.4380000001,210151.31200000003,30397.4375,102437.42199999999,1490522.38,169303.93799999997,675616.75,268222.09400000004,184889.95299999998,86601.6562,236462.31200000003,165370.92200000002,303325.84400000004,190.347626,22917.853499999997,51462.8164,53427.9688,108215.78899999999,233347.45299999998,466337.28099999996,26331.5,73055.2031,19450.0859,,133396.20299999998,,
1443992502,15029.204100000003,75006.1641,167544.203,166112.266,1695183.75,1374164.25,50643.4219,,7030984.5,47515.62109999999,1.3959262E7,1511949.0,1063692.88,973101.5619999999,246650.234,11254.7627,22770.6992,1781123.5,2862836.25,409662.15599999996,247622.40600000002,369428.125,171042.359,218853.04700000002,221649.141,44980.43359999999,15980.974600000001,194262.71899999998,92904.63280000002,,317808.65599999996,65001.5586,742278.125,1109807.25,,68505.6562,230391.938,,578822.3119999999,50.5822563,610417.9380000001,607833.125,744765.438,210151.312,30397.4375,102437.42199999999,1490522.38,169303.93799999997,675616.75,268222.09400000004,184889.953,86601.6562,236462.312,165370.92200000002,303325.84400000004,190.347626,22917.8535,51462.8164,53427.9688,108215.78899999999,233347.45299999998,466337.28099999996,26331.5,73055.2031,19450.0859,,133396.20299999998,,
1444009871,15029.2041,75006.1641,167544.203,166112.266,1695183.75,1374164.25,50643.4219,,7030984.5,47515.62109999999,1.3959262E7,1511949.0,1063692.88,973101.5619999999,246650.234,11254.7627,22770.699199999995,1781123.5,2862836.25,409662.15599999996,247622.406,369428.125,171042.359,218853.04700000002,221649.141,44980.43359999999,15980.974599999998,194262.719,92904.63280000002,,317808.656,65001.5586,742278.125,1109807.25,,68505.6562,230391.938,,578822.312,50.5822563,610417.938,607833.125,744765.438,210151.312,30397.4375,102437.422,1490522.38,169303.93799999997,675616.75,268222.094,184889.953,86601.6562,236462.312,165370.922,303325.844,190.347626,22917.8535,51462.8164,53427.9688,108215.78899999999,233347.45299999998,466337.28099999996,26331.5,73055.2031,19450.0859,,133396.203,,
