=> CSV Dump from EGI accounting portal for the period 1/2016 to 1/2016 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,46799380.5486,,,46799380.5486
CH-CERN,101888297.9441,12464609.6005,78838657.7128,12341931.6845,205533496.9419
DE-KIT,21460242.2593,38710637.3878,17582158.2556,10882095.2142,88635133.1169
ES-PIC,,15466442.6841,8075650.4425,3641255.0392,27183348.1658
FR-CCIN2P3,13816626.1715,35857437.0516,6939370.5989,17750809.4312,74364243.2532
IT-INFN-CNAF,24098079.8189,21864173.5514,21217359.6537,16272092.5204,83451705.5444
KR-KISTI-GSDC,15956803.2272,,,,15956803.2272
NDGF,7144794.8703,17718987.0054,,,24863781.8757
NL-T1,18267989.9935,41468759.7028,,7799870.2193,67536619.9156
NRC-KI-T1,24514106.0731,27856822.7002,,9052858.2298,61423787.0031
RU-JINR-T1,,,19547716.5969,,19547716.5969
TW-ASGC,,14141944.9446,,,14141944.9446
UK-T1-RAL,19188026.4583,62049663.6597,11142009.2414,14228848.7177,106608548.0771
US-FNAL-CMS,,19635.7747,82043773.8239,,82063409.5986
US-T1-BNL,,83361461.1259,82.7253,,83361543.8512
Total,246334966.8162,417779955.7373,245386779.051,91969761.0563,1001471462.6608
