CSV Dump from EGI accounting portal for the period 6/2014 to 6/2014
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2014 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,5420167.8161,0,0,5420167.8161
,,34000,17136000,Total,0,5420167.8161,0,0,5420167.8161,31.630297713002
,,,,WallClock,,499365.8008,,,499365.8008
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,425082.1903,0,0,425082.1903
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,2722151.6733,0,2722151.6733
,,27428,13823712,Total,0,425082.1903,2722151.6733,0,3147233.8636,22.766922976983
,,,,WallClock,,57350.1875,277387.9834,,334738.1709
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,2728399.2925,0,2728399.2925
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,1784916.8193,0,1784916.8193
,,67200,33868800,Total,0,0,4513316.1118,0,4513316.1118,13.325881376961
,,,,WallClock,,,676216.6799,,676216.6799
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,4707012.0000,0,4707012
,,54792,27615168,Total,0,0,4707012,0,4707012,17.045023952054
,,,,WallClock,,,434129,,434129
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,9180985.2734,0,0,9180985.2734
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,6931917.6391,0,0,6931917.6391
,,42500,21420000,Total,0,16112902.9125,0,0,16112902.9125,75.223636379552
,,,,WallClock,,1245363.1836,,,1245363.1836
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,7463653.2291,0,0,7463653.2291
Canada,CA-WEST-T2,,,SFU-LCG2,0,4287872.0000,0,0,4287872
,,42500,21420000,Total,0,11751525.2291,0,0,11751525.2291,54.862396027544
,,,,WallClock,,989952.493,,,989952.493
China,CN-IHEP,,,BEIJING-LCG2,0,1596991.7899,1044164.6721,0,2641156.462
,,38400,19353600,Total,0,1596991.7899,1044164.6721,0,2641156.462,13.646848451968
,,,,WallClock,,195591.9861,164746.746,,360338.7321
Czech Republic,CZ-Prague-T2,,,praguelcg2,6757806.0492,10238692.6567,0,0,16996498.7059
,,48000,24192000,Total,6757806.0492,10238692.6567,0,0,16996498.7059,70.256691079282
,,,,WallClock,2525609.806,2729884.0475,,,5255493.8535
Estonia,EE-NICPB,,,T2_Estonia,0,0,8082985.3341,0,8082985.3341
,,180000,90720000,Total,0,0,8082985.3341,0,8082985.3341,8.9098162853836
,,,,WallClock,,,1317841.0685,,1317841.0685
