=> CSV Dump from EGI accounting portal for the period 6/2014 to 6/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,45240318.0374,,,45240318.0374
CH-CERN,31593832.0000,23161864.0000,14581492.0000,11558496.0000,80895684
DE-KIT,19746974.0269,23444309.8321,13918777.4116,8697839.5762,65807900.8468
ES-PIC,,12383899.9500,7495768.5252,3413113.7436,23292782.2188
FR-CCIN2P3,12697292.0000,20902336.0000,12669808.0000,14407200.0000,60676636
IT-INFN-CNAF,17731388.0000,28673772.0000,19284372.0000,12699000.0000,78388532
KR-KISTI-GSDC,10052888.5300,,,,10052888.53
NDGF,8344040.0000,7460344.0000,,,15804384
NL-T1,5844307.0012,28670008.5711,,10758367.3962,45272682.9685
NRC-KI-T1,4556336.2060,3911464.9589,,7179338.1617,15647139.3266
RU-JINR-T1,,,8211928.9621,,8211928.9621
TW-ASGC,,15172828.0000,187368.0000,,15360196
UK-T1-RAL,4309874.3050,43827217.4238,17660088.1820,11462881.4897,77260061.4005
US-FNAL-CMS,,,61593532.0000,,61593532
US-T1-BNL,,78857704.0000,0.0000,,78857704
Total,114876932.0691,331706066.7733,155603135.0809,80176236.3674,682362370.2907
