=> CSV Dump from EGI accounting portal for the period 11/2014 to 11/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,24764406.1415,,,24764406.1415
CH-CERN,18492832.0000,5141892.0000,15897896.0000,6666008.0000,46198628
DE-KIT,46547474.4657,16335456.7500,20562655.1140,13786203.2371,97231789.5668
ES-PIC,,6356803.2492,8228652.2081,8363671.6645,22949127.1218
FR-CCIN2P3,17525423.3687,9457766.2770,9402114.1825,19305070.3675,55690374.1957
IT-INFN-CNAF,19028751.8609,17528161.4599,14176443.9820,15253281.4498,65986638.7526
KR-KISTI-GSDC,12135798.7983,,,,12135798.7983
NDGF,18068202.9208,10991859.4912,,,29060062.412
NL-T1,11531030.8592,17908951.4821,,7295317.0914,36735299.4327
NRC-KI-T1,5524292.8972,4490416.4852,,11170538.4975,21185247.8799
RU-JINR-T1,,,5699123.4764,,5699123.4764
TW-ASGC,,2421862.0202,908.6061,,2422770.6263
UK-T1-RAL,12394324.6885,17142991.4181,10231142.0349,12665162.7418,52433620.8833
US-FNAL-CMS,,,39892656.0000,,39892656
US-T1-BNL,,40412600.0000,,,40412600
Total,161248131.8593,172953166.7744,124091591.604,94505253.0496,552798143.2873
