CSV Dump from EGI accounting portal for the period 11/2014 to 11/2014
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2014 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,3850332.5203,0,0,3850332.5203
,,34000,17136000,Total,0,3850332.5203,0,0,3850332.5203,22.469260739379
,,,,WallClock,,281992.5353,,,281992.5353
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,163899.0517,0,0,163899.0517
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,2574768.4793,0,2574768.4793
,,27428,13823712,Total,0,163899.0517,2574768.4793,0,2738667.531,19.81137577953
,,,,WallClock,,26388.9053,352825.9,,379214.8053
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,1652677.0123,0,1652677.0123
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,1738012.2756,0,1738012.2756
,,67200,33868800,Total,0,0,3390689.2879,0,3390689.2879,10.011247188858
,,,,WallClock,,,623765.0462,,623765.0462
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,2879880.0000,0,2879880
,,54792,27615168,Total,0,0,2879880,0,2879880,10.428616621126
,,,,WallClock,,,401184,,401184
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,5242383.4585,0,0,5242383.4585
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,4659710.7055,0,0,4659710.7055
,,42500,21420000,Total,0,9902094.164,0,0,9902094.164,46.228264070962
,,,,WallClock,,627804.301,,,627804.301
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,5012168.6949,0,0,5012168.6949
Canada,CA-WEST-T2,,,SFU-LCG2,0,2592373.1500,0,0,2592373.15
,,42500,21420000,Total,0,7604541.8449,0,0,7604541.8449,35.502062767974
,,,,WallClock,,701759.4435,,,701759.4435
China,CN-IHEP,,,BEIJING-LCG2,0,1675193.8725,1107436.0012,0,2782629.8737
,,38400,19353600,Total,0,1675193.8725,1107436.0012,0,2782629.8737,14.377841195953
,,,,WallClock,,167155.1087,123638.7751,,290793.8838
Czech Republic,CZ-Prague-T2,,,praguelcg2,8253575.2588,5010684.9770,0,0,13264260.2358
,,48000,24192000,Total,8253575.2588,5010684.977,0,0,13264260.2358,54.829118038194
,,,,WallClock,2624391.9975,1486958.8183,,,4111350.8158
Estonia,EE-NICPB,,,T2_Estonia,0,0,1794892.4279,0,1794892.4279
,,180000,90720000,Total,0,0,1794892.4279,0,1794892.4279,1.9784969443342
,,,,WallClock,,,458593.4956,,458593.4956
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,2709399.3389,0,2709399.3389
,,25200,12700800,Total,0,0,2709399.3389,0,2709399.3389,21.332509282092
,,,,WallClock,,,382739.9069,,382739.9069
France,FR-GRIF,,,GRIF,18135143.2000,7256136.6818,3748178.5777,2921995.3974,32061453.8569
,,146248,73708992,Total,18135143.2,7256136.6818,3748178.5777,2921995.3974,32061453.8569,43.497344064751
,,,,WallClock,1790378.0367,891616.7967,583469.7126,370537.6111,3636002.1571
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,2888156.5940,587187.9697,0,3475344.5637
,,69400,34977600,Total,0,2888156.594,587187.9697,0,3475344.5637,9.9359148818101
,,,,WallClock,,328465.9698,68468.7895,,396934.7593
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,4563128.8573,0,2846079.7849,7409208.6422
