Time,ALICE::BITP::SE,ALICE::Bari::SE,ALICE::Birmingham::SE,ALICE::Bratislava::SE,ALICE::CCIN2P3::SE,ALICE::CCIN2P3::TAPE,ALICE::CERN::CASTOR2,ALICE::CERN::DPM,ALICE::CERN::EOS,ALICE::CERN::OCDB,ALICE::CERN::T0ALICE,ALICE::CNAF::SE,ALICE::CNAF::TAPE,ALICE::Catania::SE,ALICE::Clermont::SE,ALICE::CyberSar_Cagliari::SE,ALICE::Cyfronet::XRD,ALICE::FZK::SE,ALICE::FZK::TAPE,ALICE::GRIF_IPNO::SE,ALICE::GRIF_IRFU::DPM,ALICE::GSI::SE2,ALICE::Grenoble::SE,ALICE::Hiroshima::SE,ALICE::IHEP::SE,ALICE::IPNL::SE,ALICE::ISMA::SE,ALICE::ISS::FILE,ALICE::ITEP::SE,ALICE::JINR::EOS,ALICE::JINR::SE,ALICE::KFKI::SE,ALICE::KISTI_GSDC::SE2,ALICE::KISTI_GSDC::TAPE,ALICE::Kolkata::EOS,ALICE::Kolkata::SE,ALICE::Kosice::SE,ALICE::LBL::EOS,ALICE::Legnaro::SE,ALICE::MEPHI::EOS,ALICE::NDGF::DCACHE,ALICE::NDGF::DCACHE_TAPE,ALICE::NIHAM::FILE,ALICE::ORNL::EOS,ALICE::PNPI::SE,ALICE::Poznan::SE,ALICE::Prague::SE,ALICE::RAL::SE,ALICE::RAL::TAPE,ALICE::RRC-KI::SE,ALICE::RRC_KI_T1::DCACHE_TAPE,ALICE::RRC_KI_T1::EOS,ALICE::SARA::DCACHE,ALICE::SARA::DCACHE_TAPE,ALICE::SNIC::DCACHE,ALICE::SPbSU::EOS,ALICE::SPbSU::SE,ALICE::SUT::SE,ALICE::SaoPaulo::SE,ALICE::Strasbourg_IRES::SE,ALICE::Subatech::EOS,ALICE::Torino::SE,ALICE::Trieste::SE,ALICE::Troitsk::SE,ALICE::Trujillo::SE,ALICE::Tsukuba::SE,ALICE::UNAM_T1::EOS,ALICE::ZA_CHPC::EOS,ALICE::ZA_CHPC::SE
1412311755,15313.6699,75594.1562,92820.7422,170417.67200000002,807312.875,975096.1880000001,9224039.0,,3856827.75,46628.1562,1661614.38,1412317.0,709478.3119999999,169830.641,187131.188,11984.1689,23623.0527,1457413.38,2996788.25,294550.65599999996,240539.125,234461.28100000002,150532.25,128247.39099999999,223295.188,45044.1172,16451.0508,199729.45299999998,98517.4531,,301494.34400000004,55852.8008,463787.18799999997,342301.938,,51054.6641,151197.562,,370358.875,9.95928955,599551.25,252074.45299999998,657058.875,,30946.002,105708.805,690516.75,172316.812,340311.65599999996,239034.109,,35801.9766,248003.17200000002,23337.4512,325063.65599999996,197.09197999999998,23501.1758,45888.9023,12672.6191,110832.45300000001,154940.92200000002,352581.84400000004,27096.7148,76177.1953,20247.4746,,53725.8008,,
1412329123,15313.6699,75594.1562,92820.7422,170417.672,807312.875,975096.188,9224039.0,,3856827.75,46628.1562,1661614.38,1412317.0,709478.312,169830.641,187131.188,11984.1689,23623.0527,1457413.38,2996788.25,294550.656,240539.125,234461.28100000002,150532.25,128247.39099999999,223295.188,45044.11720000001,16451.0508,199729.453,98517.4531,,301494.344,55852.8008,463787.18799999997,342301.938,,51054.6641,151197.562,,370358.875,9.95928955,599551.25,252074.453,657058.875,,30946.002,105708.805,690516.75,172316.812,340311.656,239034.109,,35801.9766,248003.172,23337.451200000003,325063.656,197.09197999999998,23501.1758,45888.9023,12672.6191,110832.45300000001,154940.922,352581.844,27096.7148,76177.1953,20247.4746,,53725.8008,,
1412346492,15313.6699,75594.1562,92820.7422,170417.67200000002,807312.875,975096.1880000001,9224039.0,,3856827.75,46628.1562,1661614.38,1412317.0,709478.3119999999,169830.64100000003,187131.188,11984.1689,23623.052700000004,1457413.38,2996788.25,294550.65599999996,240539.125,234461.281,150532.25,128247.39099999999,223295.188,45044.11720000001,16451.0508,199729.45299999998,98517.4531,,301494.34400000004,55852.8008,463787.188,342301.938,,51054.6641,151197.562,,370358.875,9.959289550000001,599551.25,252074.45299999998,657058.875,,30946.002000000004,105708.805,690516.75,172316.812,340311.65599999996,239034.10899999997,,35801.9766,248003.17200000002,23337.451200000003,325063.65599999996,197.09197999999998,23501.1758,45888.9023,12672.6191,110832.453,154940.92200000002,352581.84400000004,27096.7148,76177.1953,20247.4746,,53725.8008,,
1412363861,15313.6699,75594.1562,92820.7422,170417.67200000002,807312.875,975096.1880000001,9224039.0,,3856827.75,46628.1562,1661614.38,1412317.0,709478.3119999999,169830.641,187131.188,11984.1689,23623.0527,1457413.38,2996788.25,294550.65599999996,240539.125,234461.28100000002,150532.25,128247.39099999999,223295.188,45044.1172,16451.0508,199729.45299999998,98517.4531,,301494.34400000004,55852.8008,463787.18799999997,342301.93799999997,,51054.6641,151197.562,,370358.875,9.959289550000001,599551.25,252074.45299999998,657058.875,,30946.002,105708.805,690516.75,172316.812,340311.65599999996,239034.109,,35801.9766,248003.17200000002,23337.4512,325063.65599999996,197.09197999999998,23501.1758,45888.9023,12672.6191,110832.45300000001,154940.92200000002,352581.84400000004,27096.7148,76177.1953,20247.4746,,53725.8008,,
1412381230,15313.6699,75594.1562,92820.74219999998,170417.67200000002,807312.875,975096.1880000001,9224039.0,,3856827.75,46628.1562,1661614.38,1412317.0,709478.3119999999,169830.641,187131.188,11984.1689,23623.0527,1457413.38,2996788.25,294550.65599999996,240539.125,234461.28100000002,150532.25,128247.39099999999,223295.188,45044.11720000001,16451.0508,199729.45299999998,98517.45309999998,,301494.34400000004,55852.8008,463787.18799999997,342301.93799999997,,51054.66410000001,151197.562,,370358.875,9.95928955,599551.25,252074.45299999998,657058.875,,30946.002,105708.805,690516.75,172316.812,340311.65599999996,239034.109,,35801.97660000001,248003.17200000002,23337.451200000003,325063.65599999996,197.09197999999998,23501.175800000005,45888.9023,12672.6191,110832.45300000001,154940.92200000002,352581.84400000004,27096.7148,76177.19530000002,20247.4746,,53725.8008,,
1412398599,15313.6699,75594.1562,92820.74219999998,170417.672,807312.875,975096.188,9224039.0,,3856827.75,46628.1562,1661614.38,1412317.0,709478.312,169830.641,187131.18799999997,11984.1689,23623.0527,1457413.38,2996788.25,294550.656,240539.125,234461.281,150532.25,128247.39099999999,223295.18799999997,45044.11720000001,16451.0508,199729.453,98517.45309999998,,301494.344,55852.8008,463787.188,342301.938,,51054.66410000001,151197.56200000003,,370358.875,9.95928955,599551.25,252074.453,657058.875,,30946.002,105708.805,690516.75,172316.81200000003,340311.656,239034.109,,35801.97660000001,248003.172,23337.451200000003,325063.656,197.09197999999998,23501.175800000005,45888.9023,12672.6191,110832.453,154940.922,352581.844,27096.7148,76177.19530000002,20247.4746,,53725.8008,,
1412415968,15312.586481746652,75591.59266276882,92869.74420018069,170416.88299935148,809421.5453973261,975096.2069619743,9224039.101400932,,3858519.7512943926,46630.17154351493,1661703.9038404543,1412782.4302759017,709478.3437384916,169985.63384491715,187123.23269131465,11983.871734429944,23623.08359686385,1457467.3252955945,2996788.3007004657,294551.22323681123,240582.22516176058,234453.34161126093,150532.0155610462,128314.6348249681,223349.5246017896,45044.147701400216,16451.087436156577,199727.43451305619,98508.27631569302,,301576.70690666686,55921.0337200749,464265.38201676187,342301.9696370907,,51097.94526242345,151197.35453369402,,370357.3951548047,10.11888991635638,599620.3863719548,252074.4847384916,659587.1868657665,,30945.61500334467,105725.99002427858,691794.4840753255,172316.65198932998,340311.68459506275,239317.1919072788,,35802.19008952133,248002.94384790398,23337.481894061988,325086.22723896167,197.09197999999998,23499.910265673556,45965.42396544349,12686.11919414518,110831.8279646578,154939.8604336474,352993.00257070817,27096.787088724115,76170.56384131688,20247.315968382652,,53730.547631109075,,
1412433336,15300.976902253968,75564.12648181072,93394.81737895907,170408.42897285268,832016.8765535178,975096.4278633276,9224039.940275084,,3876650.281723155,46651.768185323046,1662663.182744625,1417769.7283483995,709478.6699973929,171646.45341900684,187037.9900680849,11980.686874460289,23623.413724035177,1458045.328109935,2996788.720137541,294557.2888378376,241044.0565689521,234368.26236662123,150529.50626833312,129035.18216450559,223931.76870596327,45044.47717954496,16451.479689196043,199705.79725461768,98409.94013046788,,302459.2781181172,56652.18218774232,469389.45708493644,342302.3059561623,,51561.723815862206,151195.132072797,,370341.5447010841,11.829080216214503,600361.2337922454,252074.8161063199,686679.2100054782,,30941.46753931333,105910.1350272311,705486.0020293018,172314.94507638263,340312.00596576417,242350.54897956282,,35804.47784256244,248000.49746443285,23337.811671806074,325328.08943067177,197.09197999999998,23486.349421245126,46785.38669711785,12830.778536982376,110825.13229993115,154928.48667170954,357398.7514546359,27097.562095343208,76099.50322344193,20245.616445101077,,53781.41363611257,,
1412450705,15287.490520507316,75532.22131904188,94004.76847877837,170398.60847350123,858264.7996561916,975096.6899013533,9224040.83887415,,3897711.6554287625,46676.856391808105,1663777.5289041712,1423563.2380724978,709479.0447589012,173575.7495740897,186938.9683767702,11976.986990030346,23623.796927171326,1458716.7528143404,2996789.1694370755,294564.3311010264,241580.5424071915,234269.42825536028,150526.5922072869,129872.20783953746,224608.13510417368,45044.86072814475,16451.935253039468,199680.6597415615,98295.70676477486,,303484.52421145025,57501.523467667415,475341.85656817455,342302.6958190716,,52100.47390343877,151192.550539103,,370323.13404627936,13.815727724858125,601221.8474202906,252075.19836782833,718150.7416397119,,30936.649435968662,106124.04750295253,721390.7989539762,172312.96458705264,340312.3838707014,245874.25557228405,,35807.135453041104,247997.65511652885,23338.195027744085,325609.04969171016,197.09198,23470.596405571574,47737.89828167435,12998.822392837195,110817.35483527335,154915.27473806211,362516.7018839277,27098.462506619093,76016.95498212505,20243.642276718423,,53840.5027550035,,
1412468074,15284.530299999999,75525.2188,94138.6484,170396.453,864026.0619999999,975096.75,9224041.0,,3902334.5,46682.3633,1664022.12,1424834.88,709479.125,173999.219,186917.234,11976.1748,23623.8809,1458864.12,2996789.25,294565.875,241698.297,234247.734,150525.953,130055.93000000001,224756.594,45044.9453,16452.0352,199675.141,98270.6328,,303709.562,57687.9492,476648.375,342302.781,,52218.72660000001,151191.984,,370319.094,14.2517853,601410.75,252075.281,725058.562,,30935.5918,106171.0,724881.812,172312.531,340312.469,246647.688,,35807.7188,247997.031,23338.2793,325670.719,197.09197999999998,23467.138700000003,47946.9688,13035.707,110815.648,154912.375,363640.062,27098.6602,75998.8359,20243.209,,53853.4727,,
1412485443,15284.530299999999,75525.2188,94138.6484,170396.453,864026.0619999999,975096.75,9224041.0,,3902334.5,46682.3633,1664022.12,1424834.88,709479.125,173999.219,186917.234,11976.1748,23623.8809,1458864.12,2996789.25,294565.875,241698.297,234247.734,150525.953,130055.93000000001,224756.594,45044.9453,16452.0352,199675.141,98270.6328,,303709.562,57687.9492,476648.375,342302.781,,52218.7266,151191.984,,370319.09400000004,14.251785300000002,601410.75,252075.281,725058.562,,30935.5918,106171.0,724881.812,172312.531,340312.469,246647.688,,35807.7188,247997.031,23338.2793,325670.719,197.09197999999998,23467.138700000003,47946.9688,13035.707,110815.64800000002,154912.375,363640.062,27098.6602,75998.8359,20243.209,,53853.4727,,
1412502812,15284.530299999999,75525.2188,94138.6484,170396.453,864026.062,975096.75,9224041.0,,3902334.5,46682.3633,1664022.12,1424834.88,709479.125,173999.219,186917.234,11976.1748,23623.8809,1458864.12,2996789.25,294565.875,241698.297,234247.734,150525.953,130055.93000000001,224756.59399999998,45044.94529999999,16452.0352,199675.141,98270.6328,,303709.562,57687.9492,476648.375,342302.781,,52218.7266,151191.984,,370319.09400000004,14.251785300000002,601410.75,252075.281,725058.562,,30935.5918,106171.0,724881.812,172312.531,340312.469,246647.68800000002,,35807.7188,247997.031,23338.2793,325670.719,197.09198,23467.138700000003,47946.9688,13035.706999999999,110815.648,154912.375,363640.06200000003,27098.6602,75998.8359,20243.209,,53853.4727,,
1412520181,15284.530299999999,75525.2188,94138.6484,170396.453,864026.062,975096.75,9224041.0,,3902334.5,46682.3633,1664022.12,1424834.88,709479.125,173999.219,186917.234,11976.1748,23623.8809,1458864.12,2996789.25,294565.875,241698.297,234247.734,150525.953,130055.93000000001,224756.59399999998,45044.94529999999,16452.0352,199675.141,98270.6328,,303709.562,57687.9492,476648.375,342302.781,,52218.7266,151191.984,,370319.094,14.2517853,601410.75,252075.281,725058.562,,30935.5918,106171.0,724881.812,172312.531,340312.469,246647.688,,35807.7188,247997.031,23338.2793,325670.719,197.09198,23467.1387,47946.9688,13035.707,110815.648,154912.375,363640.06200000003,27098.6602,75998.8359,20243.209,,53853.4727,,
1412537549,15284.530299999999,75525.2188,94138.6484,170396.45299999998,864026.0619999999,975096.75,9224041.0,,3902334.5,46682.3633,1664022.12,1424834.88,709479.125,173999.219,186917.234,11976.1748,23623.8809,1458864.12,2996789.25,294565.875,241698.29700000002,234247.734,150525.953,130055.93000000001,224756.594,45044.94529999999,16452.0352,199675.141,98270.6328,,303709.562,57687.9492,476648.375,342302.78099999996,,52218.7266,151191.984,,370319.09400000004,14.251785300000002,601410.75,252075.281,725058.5619999999,,30935.5918,106171.0,724881.8119999999,172312.531,340312.46900000004,246647.68799999997,,35807.7188,247997.031,23338.2793,325670.71900000004,197.09197999999998,23467.138700000003,47946.9688,13035.707,110815.648,154912.375,363640.062,27098.6602,75998.8359,20243.209000000003,,53853.4727,,
