=> CSV Dump from EGI accounting portal for the period 6/2016 to 6/2016 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,42250138.6305,,,42250138.6305
CH-CERN,85679093.8582,39759923.6971,22274070.5978,21258658.4381,168971746.5912
DE-KIT,21158747.9047,30145129.7076,10584289.8232,22462542.5893,84350710.0248
ES-PIC,,18930813.1696,11649489.1460,7019825.9161,37600128.2317
FR-CCIN2P3,17065923.5430,40269598.7441,16026335.2953,22512041.3784,95873898.9608
IT-INFN-CNAF,28306104.7832,25344036.4513,27989609.4905,31549323.8326,113189074.5576
KR-KISTI-GSDC,21155312.1249,,,,21155312.1249
NDGF,9493820.1123,19615880.8898,,,29109701.0021
NL-T1,21811675.0919,41097462.6141,,20355921.4645,83265059.1705
NRC-KI-T1,22932659.1053,17899216.1974,,14134555.8800,54966431.1827
RU-JINR-T1,,,26941118.2346,,26941118.2346
TW-ASGC,,17186824.6906,,,17186824.6906
UK-T1-RAL,10335812.3183,51462575.5322,9382485.0970,36992731.8225,108173604.77
US-FNAL-CMS,,,100109357.6236,,100109357.6236
US-T1-BNL,,78872051.4036,202.9542,,78872254.3578
Total,237939148.8418,422833651.7279,224956958.2622,176285601.3215,1062015360.1534
