CSV Dump from EGI accounting portal for the period 6/2016 to 6/2016
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2016 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,7756938.2145,0,0,7756938.2145
,,46000,33120000,Total,0,7756938.2145,0,0,7756938.2145,23.420707169384
,,,,WallClock,,415352.2426,,,415352.2426
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,83368.3242,0,0,83368.3242
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,2924793.6035,0,2924793.6035
,,47428,34148160,Total,0,83368.3242,2924793.6035,0,3008161.9277,8.8091479239291
,,,,WallClock,,13314.7314,309947.7995,,323262.5309
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,10631480.7150,0,10631480.715
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,3518267.4631,0,3518267.4631
,,128000,92160000,Total,0,0,14149748.1781,0,14149748.1781,15.35345939464
,,,,WallClock,,,756562.4511,,756562.4511
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,6471104.3706,0,6471104.3706
,,100800,72576000,Total,0,0,6471104.3706,0,6471104.3706,8.9163144436177
,,,,WallClock,,,767283.9339,,767283.9339
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,8138912.9039,0,0,8138912.9039
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,7451987.3624,0,0,7451987.3624
,,56600,40752000,Total,0,15590900.2663,0,0,15590900.2663,38.258000260846
,,,,WallClock,,840869.3896,,,840869.3896
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,7300135.2381,0,0,7300135.2381
Canada,CA-WEST-T2,,,SFU-LCG2,0,4597927.1266,0,0,4597927.1266
,,56600,40752000,Total,0,11898062.3647,0,0,11898062.3647,29.196266108903
,,,,WallClock,,734162.4322,,,734162.4322
China,CN-IHEP,,,BEIJING-LCG2,0,2756796.3270,2456745.3205,0,5213541.6475
,,46240,33292800,Total,0,2756796.327,2456745.3205,0,5213541.6475,15.659667097691
,,,,WallClock,,131639.4518,249209.2262,,380848.678
Czech Republic,CZ-Prague-T2,,,praguelcg2,7323860.1667,15633199.9506,0,0,22957060.1173
,,80000,57600000,Total,7323860.1667,15633199.9506,0,0,22957060.1173,39.85600714809
,,,,WallClock,2006357.0283,1599992.4665,,,3606349.4948
Estonia,EE-NICPB,,,T2_Estonia,0,0,9504488.7598,0,9504488.7598
,,204000,146880000,Total,0,0,9504488.7598,0,9504488.7598,6.4709209965959
,,,,WallClock,,,209242.3065,,209242.3065
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,2754684.6534,0,2754684.6534
,,32000,23040000,Total,0,0,2754684.6534,0,2754684.6534,11.956096585937
,,,,WallClock,,,263459.1983,,263459.1983
France,FR-GRIF,,,GRIF,16616485.3834,27118684.4579,23301292.3470,5776818.6814,72813280.8697
,,213356,153616320,Total,16616485.3834,27118684.4579,23301292.347,5776818.6814,72813280.8697,47.399443542001
,,,,WallClock,1722237.0599,1670356.1644,1344699.1561,602439.9166,5339732.297
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,0,0.0019,0,0.0019
,,30920,22262400,Total,0,0,0.0019,0,0.0019,8.534569498347E-9
,,,,WallClock,,,0.0511,,0.0511
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,8978988.7088,0,3551443.4619,12530432.1707
,,48000,34560000,Total,0,8978988.7088,0,3551443.4619,12530432.1707,36.257037530961
,,,,WallClock,,533682.9944,,330241.9421,863924.9365
France,FR-IN2P3-IPHC,,,IN2P3-IRES,2995802.1681,0,12172130.6513,0,15167932.8194
,,80000,57600000,Total,2995802.1681,0,12172130.6513,0,15167932.8194,26.333216700347
,,,,WallClock,258534.7317,,157933.0273,,416467.759
France,FR-IN2P3-LAPP,,,IN2P3-LAPP,0,7725699.9242,0,2590582.0511,10316281.9753
,,70400,50688000,Total,0,7725699.9242,0,2590582.0511,10316281.9753,20.352513366675
,,,,WallClock,,286484.281,,232387.413,518871.694
France,FR-IN2P3-LPC,,,IN2P3-LPC,5596985.5428,8130596.4216,0,5095354.2773,18822936.2417
,,68000,48960000,Total,5596985.5428,8130596.4216,0,5095354.2773,18822936.2417,38.445539709355
,,,,WallClock,538051.215,633928.9263,,422422.9912,1594403.1325
France,FR-IN2P3-LPSC,,,IN2P3-LPSC,2134207.2032,5818777.7767,0,0,7952984.9799
,,41828,30116160,Total,2134207.2032,5818777.7767,0,0,7952984.9799,26.407699321228
,,,,WallClock,204896.3224,311945.3249,,,516841.6473
France,FR-IN2P3-SUBATECH,,,IN2P3-SUBATECH,2935777.7494,0,0,0,2935777.7494
,,18000,12960000,Total,2935777.7494,0,0,0,2935777.7494,22.652606091049
,,,,WallClock,260628.2072,,,,260628.2072
Germany,DE-DESY-ATLAS-T2,,,DESY-HH,0,30821283.3539,0,0,30821283.3539
Germany,DE-DESY-ATLAS-T2,,,DESY-ZN,0,16003448.8600,0,0,16003448.86
,,100000,72000000,Total,0,46824732.2139,0,0,46824732.2139,65.034350297083
,,,,WallClock,,2912222.1546,,,2912222.1546
Germany,DE-DESY-GOE-ATLAS-T2,,,GoeGrid,0,7164401.1402,0,0,7164401.1402
,,37732,27167040,Total,0,7164401.1402,0,0,7164401.1402,26.371666328757
,,,,WallClock,,602578.0728,,,602578.0728
Germany,DE-DESY-LHCB,,,DESY-ZN,0,0,0,1092904.2386,1092904.2386
,,18000,12960000,Total,0,0,0,1092904.2386,1092904.2386,8.4329030756173
,,,,WallClock,,,,70630.9541,70630.9541
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-HH,0,0,41481820.9392,0,41481820.9392
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-ZN,0,0,0,0,0
Germany,DE-DESY-RWTH-CMS-T2,,,RWTH-Aachen,0,0,17032087.0268,0,17032087.0268
,,204000,146880000,Total,0,0,58513907.966,0,58513907.966,39.837900303649
,,,,WallClock,,,1472413.3712,,1472413.3712
Germany,DE-FREIBURGWUPPERTAL,,,UNI-FREIBURG,0,11533532.4392,0,0,11533532.4392
Germany,DE-FREIBURGWUPPERTAL,,,wuppertalprod,0,8491536.9200,0,0,8491536.92
,,75464,54334080,Total,0,20025069.3592,0,0,20025069.3592,36.855449396033
,,,,WallClock,,1537906.8257,,,1537906.8257
Germany,DE-GSI,,,GSI-LCG2,0,0,0,0,0
,,64000,46080000,Total,0,0,0,0,0
,,,,WallClock,,,,,
